SAMPLE_ID,Sample,BrNum,Position,Pos,pos,Section,Round,Combo,Slide,subslide,Glare,Excluded,Confidence,i,subslide2
Br6432A_STAR,Br6432_ant,Br6432,Anterior,A,ant,6432A,1,Star,6,D,FALSE,Yes,Excluded,1,D1
Br2720M_STAR,Br2720_mid,Br2720,Middle,M,mid,2720M,1,Star,6,A,FALSE,Yes,Excluded,1,A1
Br6432P_STAR,Br6432_post,Br6432,Posterior,P,post,6432P,1,Star,6,B,FALSE,No,OK,1,B1
Br6471A_STAR,Br6471_ant,Br6471,Anterior,A,ant,6471A,1,Star,6,C,FALSE,No,Low,1,C1
Br6432M_STAR,Br6432_mid,Br6432,Middle,M,mid,6432M,1,Star,2,B,TRUE,Yes,Excluded,1,B1
Br8325A_STAR,Br8325_ant,Br8325,Anterior,A,ant,8325A,5,Star,7,A,FALSE,No,OK,1,A1
Br8325M_STAR,Br8325_mid,Br8325,Middle,M,mid,8325M,5,Star,7,B,FALSE,No,OK,1,B1
Br8667A_STAR,Br8667_ant,Br8667,Anterior,A,ant,8667A,5,Star,7,C,FALSE,No,Low,1,C1
Br6522M_STAR,Br6522_mid,Br6522,Middle,M,mid,6522M,2,Star,5,A,FALSE,No,OK,1,A1
Br6522P_STAR,Br6522_post,Br6522,Posterior,P,post,6522P,2,Star,5,B,FALSE,No,OK,1,B1
Br6471M_STAR,Br6471_mid,Br6471,Middle,M,mid,6471M,2,Star,5,C,FALSE,No,OK,1,C1
Br8492P_STAR,Br8492_post,Br8492,Posterior,P,post,8492P,2,Star,5,D,FALSE,No,High,1,D1
Br2743A_STAR,Br2743_ant,Br2743,Anterior,A,ant,2743A,3,Star,7,A,FALSE,No,High,2,A2
Br2720P_STAR,Br2720_post,Br2720,Posterior,P,post,2720P,3,Star,7,B,FALSE,No,High,2,B2
Br8492M_STAR,Br8492_mid,Br8492,Middle,M,mid,8492M,3,Star,7,C,TRUE,Yes,Excluded,2,C2
Br3942P_STAR,Br3942_post,Br3942,Posterior,P,post,3942P,3,Star,7,D,TRUE,Yes,Excluded,1,D1
Br3942A_STAR,Br3942_ant,Br3942,Anterior,A,ant,3942A,3,Star,5,B,TRUE,Yes,Excluded,2,B2
Br6423A_STAR,Br6423_ant,Br6423,Anterior,A,ant,6423A,4,Star,8,A,FALSE,No,OK,1,A1
Br6423P_STAR,Br6423_post,Br6423,Posterior,P,post,6423P,4,Star,8,B,FALSE,No,High,1,B1
Br3942M_STAR,Br3942_mid,Br3942,Middle,M,mid,3942M,4,Star,8,C,FALSE,No,OK,1,C1
Br8667M_STAR,Br8667_mid,Br8667,Middle,M,mid,8667M,4,Star,8,D,FALSE,No,OK,1,D1
Br6432A_CIRCLE,Br6432_ant,Br6432,Anterior,A,ant,6432A,1,Circle,5,D,FALSE,Yes,Excluded,1,D1
Br2720M_CIRCLE,Br2720_mid,Br2720,Middle,M,mid,2720M,1,Circle,5,A,FALSE,No,Low,1,A1
Br6432P_CIRCLE,Br6432_post,Br6432,Posterior,P,post,6432P,1,Circle,5,B,FALSE,No,Low,1,B1
Br6471A_CIRCLE,Br6471_ant,Br6471,Anterior,A,ant,6471A,1,Circle,5,C,FALSE,Maybe,Low,1,C1
Br6432M_CIRCLE,Br6432_mid,Br6432,Middle,M,mid,6432M,1,Circle,2,A,FALSE,Yes,Excluded,1,A1
Br8325A_CIRCLE,Br8325_ant,Br8325,Anterior,A,ant,8325A,5,Circle,6,A,FALSE,No,Low,1,A1
Br8325M_CIRCLE,Br8325_mid,Br8325,Middle,M,mid,8325M,5,Circle,6,B,FALSE,No,OK,1,B1
Br8667A_CIRCLE,Br8667_ant,Br8667,Anterior,A,ant,8667A,5,Circle,6,C,FALSE,No,Low,1,C1
Br6522M_CIRCLE,Br6522_mid,Br6522,Middle,M,mid,6522M,2,Circle,4,A,FALSE,No,Low,1,A1
Br6522P_CIRCLE,Br6522_post,Br6522,Posterior,P,post,6522P,2,Circle,4,B,FALSE,No,Low,1,B1
Br6471M_CIRCLE,Br6471_mid,Br6471,Middle,M,mid,6471M,2,Circle,4,C,FALSE,No,High,1,C1
Br8492P_CIRCLE,Br8492_post,Br8492,Posterior,P,post,8492P,2,Circle,4,D,FALSE,No,High,1,D1
Br2743A_CIRCLE,Br2743_ant,Br2743,Anterior,A,ant,2743A,3,Circle,6,A,FALSE,No,OK,2,A2
Br2720P_CIRCLE,Br2720_post,Br2720,Posterior,P,post,2720P,3,Circle,6,B,FALSE,No,High,2,B2
Br8492M_CIRCLE,Br8492_mid,Br8492,Middle,M,mid,8492M,3,Circle,6,C,FALSE,No,High,2,C2
Br3942P_CIRCLE,Br3942_post,Br3942,Posterior,P,post,3942P,3,Circle,6,D,FALSE,No,High,1,D1
Br3942A_CIRCLE,Br3942_ant,Br3942,Anterior,A,ant,3942A,3,Circle,5,A,FALSE,No,High,2,A2
Br6423A_CIRCLE,Br6423_ant,Br6423,Anterior,A,ant,6423A,4,Circle,7,A,FALSE,No,OK,1,A1
Br6423P_CIRCLE,Br6423_post,Br6423,Posterior,P,post,6423P,4,Circle,7,B,FALSE,No,High,1,B1
Br3942M_CIRCLE,Br3942_mid,Br3942,Middle,M,mid,3942M,4,Circle,7,C,FALSE,No,High,1,C1
Br8667M_CIRCLE,Br8667_mid,Br8667,Middle,M,mid,8667M,4,Circle,7,D,FALSE,No,High,1,D1
