SAMPLE_ID,Sample,Dataset,BrNum,pos,library_prep,method,marker,cell_type,prop,RNAscope_prop,snRNA_prop,library_type,rna_extract,library_combo
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,Bisque,MeanRatio_top25,Astro,0.06222416313389151,NA,0.049439683586025046,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,Bisque,MeanRatio_top25,EndoMural,0,NA,0.012195121951219513,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,Bisque,MeanRatio_top25,Excit,0.20221124400886953,NA,0.11634805537244562,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,Bisque,MeanRatio_top25,Inhib,0.1704019057235578,NA,0.571193144363876,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,Bisque,MeanRatio_top25,Micro,0.028446042253704965,NA,0.004943968358602505,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,Bisque,MeanRatio_top25,OligoOPC,0.5367166448799766,NA,0.24588002636783124,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,MeanRatio_top25,Astro,0.022042450105024113,NA,0.049439683586025046,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,MeanRatio_top25,EndoMural,0.10518124417498387,NA,0.012195121951219513,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,MeanRatio_top25,Excit,0.4282042842777168,NA,0.11634805537244562,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,MeanRatio_top25,Inhib,0.2417655980252706,NA,0.571193144363876,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,MeanRatio_top25,Micro,0.021389444494345433,NA,0.004943968358602505,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,MeanRatio_top25,OligoOPC,0.18141697892265915,NA,0.24588002636783124,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,Bisque,MeanRatio_top25,Astro,0.07071625179362911,NA,0.049439683586025046,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,Bisque,MeanRatio_top25,EndoMural,0.0065274588648296245,NA,0.012195121951219513,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,Bisque,MeanRatio_top25,Excit,0.21629092866456345,NA,0.11634805537244562,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,Bisque,MeanRatio_top25,Inhib,0.15802999193245645,NA,0.571193144363876,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,Bisque,MeanRatio_top25,Micro,0.043915006358503775,NA,0.004943968358602505,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,Bisque,MeanRatio_top25,OligoOPC,0.504520362386018,NA,0.24588002636783124,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,hspe,MeanRatio_top25,Astro,0.024011686216075936,NA,0.049439683586025046,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,hspe,MeanRatio_top25,EndoMural,0.10031005317940422,NA,0.012195121951219513,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,hspe,MeanRatio_top25,Excit,0.4702863281929547,NA,0.11634805537244562,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,hspe,MeanRatio_top25,Inhib,0.23061025442074565,NA,0.571193144363876,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,hspe,MeanRatio_top25,Micro,0.02606397481310903,NA,0.004943968358602505,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,hspe,MeanRatio_top25,OligoOPC,0.14871770317771046,NA,0.24588002636783124,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,MeanRatio_top25,Astro,0.07252878746829139,NA,0.049439683586025046,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,MeanRatio_top25,EndoMural,0.012278179507714163,NA,0.012195121951219513,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,MeanRatio_top25,Excit,0.21205599461659155,NA,0.11634805537244562,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,MeanRatio_top25,Inhib,0.1589547879465839,NA,0.571193144363876,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,MeanRatio_top25,Micro,0.045005459912410894,NA,0.004943968358602505,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,MeanRatio_top25,OligoOPC,0.4991767905484083,NA,0.24588002636783124,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,MeanRatio_top25,Astro,0.023546823535808212,NA,0.049439683586025046,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,MeanRatio_top25,EndoMural,0.13816081744691788,NA,0.012195121951219513,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,MeanRatio_top25,Excit,0.4413435514357536,NA,0.11634805537244562,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,MeanRatio_top25,Inhib,0.2434307227060434,NA,0.571193144363876,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,MeanRatio_top25,Micro,0.021420537159636287,NA,0.004943968358602505,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,MeanRatio_top25,OligoOPC,0.13209754771584056,NA,0.24588002636783124,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,MeanRatio_top25,Astro,0.07878336702418343,NA,0.04644808743169399,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,MeanRatio_top25,EndoMural,0.014110954589490507,NA,0.012636612021857924,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,MeanRatio_top25,Excit,0.20639136914675216,NA,0.06181693989071038,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,MeanRatio_top25,Inhib,0.13728295083009276,NA,0.6168032786885246,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,MeanRatio_top25,Micro,0.04253930604712017,NA,0.012636612021857924,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,MeanRatio_top25,OligoOPC,0.5208920523623612,NA,0.2496584699453552,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,MeanRatio_top25,Astro,0.039414692594717776,NA,0.04644808743169399,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,MeanRatio_top25,EndoMural,0.11977613122776516,NA,0.012636612021857924,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,MeanRatio_top25,Excit,0.4144487081940782,NA,0.06181693989071038,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,MeanRatio_top25,Inhib,0.2359744347853377,NA,0.6168032786885246,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,MeanRatio_top25,Micro,0.022957710682607203,NA,0.012636612021857924,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,MeanRatio_top25,OligoOPC,0.16742832251549403,NA,0.2496584699453552,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,Bisque,MeanRatio_top25,Astro,0.08759920198685506,NA,0.04644808743169399,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,Bisque,MeanRatio_top25,EndoMural,0.027163249566113892,NA,0.012636612021857924,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,Bisque,MeanRatio_top25,Excit,0.22116674484676999,NA,0.06181693989071038,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,Bisque,MeanRatio_top25,Inhib,0.1261537583654393,NA,0.6168032786885246,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,Bisque,MeanRatio_top25,Micro,0.061114538855711234,NA,0.012636612021857924,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,Bisque,MeanRatio_top25,OligoOPC,0.4768025063791107,NA,0.2496584699453552,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,hspe,MeanRatio_top25,Astro,0.04451743640763893,NA,0.04644808743169399,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,hspe,MeanRatio_top25,EndoMural,0.1100987308248261,NA,0.012636612021857924,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,hspe,MeanRatio_top25,Excit,0.46268600204270455,NA,0.06181693989071038,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,hspe,MeanRatio_top25,Inhib,0.2249118276357483,NA,0.6168032786885246,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,hspe,MeanRatio_top25,Micro,0.03247948587616586,NA,0.012636612021857924,polyA,Cyto,polyA_Cyto
