genesymbols	Malignant	Endothelial cells	CAF	T cells CD8	NK cells	Macrophages	T cells CD4	B cells
A1BG	1	1	1	1	1	1	1	1
A1BG.AS1	1	1	1	1	1	1	1	1
A1CF	1	1	1	1	1	1	1	1
A2M	272.881800791567	296.974942303644	1	1	1	698.068657299351	1	1
A2M.AS1	1	1	1	1	1	1	1	1
A2ML1	1	1	1	1	1	1	1	1
A2MP1	1	1	1	1	1	1	1	1
A4GALT	1	80.1508473572555	1	1	1	1	1	1
A4GNT	1	1	1	1	1	1	1	1
AA06	1	1	1	1	1	1	1	1
AAAS	53.8964797700293	74.8186726917448	50.122233608696	1	30.3055339203523	1	1	1
AACS	1	1	24.9738625233007	1	1	1	1	1
AACSP1	1	1	1	1	1	1	1	1
AADAC	1	1	1	1	1	1	1	1
AADACL2	1	1	1	1	1	1	1	1
AADACL3	1	1	1	1	1	1	1	1
AADACL4	1	1	1	1	1	1	1	1
AADAT	1	1	1	1	1	1	1	1
AAED1	1	1	1	1	1	1	1	1
AAGAB	26.6842910915791	61.8966152407697	24.4950105219179	57.0424048941854	69.514360640354	1	41.8201040104148	1
AAK1	1	11.0910186353592	12.7241882208003	24.0132085080471	16.1239416362457	1	31.7689534223242	1
AAMDC	50.9743682630186	109.69880286693	62.3043129209158	1	1	51.3554216907737	1	1
AAMP	183.784847018018	116.998123791568	121.250900459163	158.900349009349	304.032431318683	100.497699782286	71.4933165456513	78.4218244323039
AANAT	1	1	1	1	1	1	1	1
AAR2	46.7483885136527	32.9874823385891	45.758912614644	1	1	52.0999761899237	1	1
AARD	1	1	1	1	1	1	1	1
AARS	86.2977541517817	47.1772603135986	84.3364501757382	1	1	47.8235547414033	1	1
AARS2	22.2741906556942	20.0678231870797	1	20.9730641747457	15.5448333413675	1	24.6867218939347	17.0741582396215
AARSD1	41.9851604044457	1	35.5795352091118	1	1	1	1	1
AASDH	1	1	1	1	1	1	1	1
AASDHPPT	59.2611135728252	1	22.0249483141008	1	1	18.98173993744	1	1
AASS	24.6821265687722	30.9657488599742	29.4927466503737	1	1	1	1	1
AATF	59.0864756269015	1	35.271277685218	148.407743446126	58.1763160964747	34.5710934570015	102.858263432623	69.3425640132705
AATK	1	1	1	1	1	1	1	1
AATK.AS1	1	1	1	1	1	1	1	1
ABAT	1	1	1	1	1	1	1	1
ABCA1	1	84.7182577300247	1	1	1	137.399683565569	1	1
ABCA10	1	1	1	1	1	1	1	1
ABCA11P	1	1	1	1	1	1	1	1
ABCA12	1	1	1	1	1	1	1	1
ABCA13	1	1	1	1	1	1	1	1
ABCA17P	1	1	1	1	1	1	1	1
ABCA2	1	1	1	1	1	1	1	1
ABCA3	1	19.4804243480186	1	1	1	1	1	1
ABCA4	1	19.6427047210488	1	1	1	1	1	1
ABCA5	13.0891481779362	1	1	1	1	1	1	1
ABCA6	1	1	1	1	1	1	1	1
ABCA7	1	1	1	1	1	1	1	1
ABCA8	1	1	1	1	1	1	1	1
ABCA9	1	1	1	1	1	1	1	1
ABCB1	1	1	1	1	133.728617733306	1	1	1
ABCB10	1	1	1	1	1	1	1	1
ABCB11	1	1	1	1	1	1	1	1
ABCB4	1	1	1	1	1	1	1	1
ABCB5	106.804281470291	1	1	14.4773448559797	1	1	1	1
ABCB6	46.9469552909094	1	48.7712006924078	1	1	1	1	1
ABCB7	1	1	1	1	1	1	1	48.2358049473331
ABCB8	15.6545510490719	1	25.8066361216056	1	1	1	1	1
ABCB9	1	1	1	1	1	1	1	1
ABCC1	1	1	1	1	1	1	1	1
ABCC10	1	1	20.1523563028031	1	1	1	1	41.3692335254987
ABCC11	1	1	1	1	1	1	1	1
ABCC12	1	1	1	1	1	1	1	1
ABCC13	1	1	1	1	1	1	1	1
ABCC2	1	1	1	1	1	1	1	1
ABCC3	1	1	47.9779867099726	1	1	17.5900691256671	1	1
ABCC4	1	1	24.4016730103388	1	1	1	1	1
ABCC5	18.5917429495568	1	26.387935383831	1	1	60.608267863839	1	1
ABCC5.AS1	1	1	1	1	1	1	1	1
ABCC6	1	1	1	1	1	1	1	1
ABCC6P1	1	1	1	1	1	1	1	1
ABCC6P2	1	1	1	1	1	1	1	1
ABCC8	1	1	1	1	1	1	1	1
ABCC9	28.5766276536816	45.244421928424	27.0367065538218	86.3768863598084	62.5435152355941	37.0127790646664	71.0466707525845	70.3122842863852
ABCD1	23.443588767683	1	1	1	1	1	1	1
ABCD2	1	1	1	1	1	1	1	1
ABCD3	39.7638179547403	30.453026337865	33.5364351174885	1	1	1	1	1
ABCD4	1	132.786763239779	18.5204488163464	37.5690871276564	1	34.4818970154543	1	1
ABCE1	56.464462948443	25.9277715879669	66.4607046068403	59.4792619802614	1	30.2145452421599	41.9417010842284	1
ABCF1	33.2651718215675	30.2970954681586	40.2082668237456	51.5605312996778	1	1	31.8165148609905	1
ABCF2	65.5500432137559	27.8497159634069	90.4282846147871	44.4636221548125	1	1	50.0172833765888	1
ABCF3	42.7836562867144	40.4798222902776	33.8139443319867	1	1	1	1	1
ABCG1	1	135.119387450396	1	1	17.139945326908	47.4053849597695	1	52.8210752829524
ABCG2	1	1	1	1	1	1	1	1
ABCG4	1	1	1	1	1	1	1	1
ABCG5	1	1	1	1	1	1	1	1
ABCG8	1	1	1	1	1	1	1	1
ABHD1	1	1	1	1	1	1	1	1
ABHD10	38.7509072300011	36.9526977501295	13.5835174769615	1	1	1	1	1
ABHD11	28.1514241133057	1	19.9592863732479	64.4149740052048	21.432855162424	32.8616915002115	53.1733016239258	32.7039502817879
ABHD12	27.2985669337567	1	72.4617608022455	1	1	154.88718464292	1	1
ABHD12B	1	1	1	1	1	1	1	1
ABHD13	1	1	1	1	15.515080543507	1	1	1
ABHD14A	48.5797216370778	1	37.1752959949143	57.5380666303253	1	1	75.9567360639211	1
ABHD14A.ACY1	1	1	1	1	1	1	1	1
ABHD14B	105.973232878809	23.5284293735616	40.3331129789276	109.183239920344	1	27.4984945667287	113.201749249654	124.628036098545
ABHD15	1	1	1	1	1	1	14.192093314323	17.3340086427324
ABHD16A	65.1320304320381	112.377753770337	45.4041250372994	1	1	63.2994189732063	1	114.485880026085
ABHD16B	1	1	1	1	1	1	1	1
ABHD2	21.2423743314384	34.4516930065644	13.5050901319573	19.4480166600923	1	17.241578270629	29.1535302415108	20.4411544876337
ABHD3	1	1	1	72.1663616725082	40.693932397184	55.0701405582098	68.389667000547	1
ABHD4	33.2626630739437	61.7899864732143	126.868547373798	1	1	1	1	1
ABHD5	1	1	22.895310196843	1	1	1	1	1
ABHD6	1	1	1	1	1	1	1	1
ABHD8	1	1	1	1	1	1	1	1
ABI1	45.8843707741486	67.5034170355211	96.3457342920965	129.257387212369	56.8445907935106	79.1936887846122	100.210908250697	54.6293192017978
ABI2	41.6344846138155	28.6235662219492	25.4293327575917	1	1	1	27.3622668570074	17.5311844731169
ABI3	1	21.3148016699986	1	86.7850152693376	115.486333246211	115.013897214919	64.2234527022798	56.7836756693625
ABI3BP	1	38.8360884891692	178.998823413919	1	1	1	1	1
ABL1	1	1	24.0179601240247	1	1	1	1	1
ABL2	37.2381693571627	1	16.4246704683524	1	1	19.0475519977156	1	1
ABLIM1	1	90.8730042683789	12.5690349060218	89.4260982075051	47.5774814930991	1	90.3643870557663	59.4943095177065
ABLIM2	1	44.2709631920838	1	1	1	1	1	1
ABLIM3	1	39.5106252982317	21.0803801538073	1	1	1	1	1
ABO	1	1	1	1	1	1	1	1
ABP1	1	1	1	1	1	1	1	1
ABR	20.3614618730438	1	27.3276465945976	1	58.1360276402972	40.7061524474287	1	1
ABRA	1	1	1	1	1	1	1	1
ABRACL	40.1556460100781	1	70.3240192584319	214.657525919634	146.800499424488	62.4730746000836	240.085549546781	1
ABT1	47.4716239417881	65.3616157956439	39.154692745062	54.1493353448844	38.379993591628	1	99.9429117475053	78.0906828813312
ABTB1	1	1	20.744538684711	72.2712128832055	8.25252627958223	1	58.6141816013567	82.9071547987656
ABTB2	19.2535835150284	1	1	1	1	1	1	1
ACAA1	90.51596956992	98.7688884756292	56.3896725274268	112.14279616048	275.203292270731	97.8610692647486	161.434986200767	100.216737612785
ACAA2	46.1881981651519	58.7265714427283	108.988278095957	121.168684093958	214.192581741394	127.310317679589	78.6572761422695	1
ACACA	1	1	1	1	1	1	1	1
ACACB	1	1	1	1	1	1	1	1
ACAD10	1	1	1	1	1	1	1	1
ACAD11	17.2889525599873	31.3158959324981	15.3406325632198	1	130.384765395105	1	1	1
ACAD8	1	1	28.9579397564157	1	1	1	1	1
ACAD9	27.3100660619599	1	39.2785807056755	1	57.5286200527821	1	1	1
ACADL	1	1	1	1	1	1	1	1
ACADM	42.8315003609523	54.4582078809846	41.9946845597062	69.1133496299751	1	53.1434175719555	1	57.8506734102714
ACADS	34.4911427954006	34.7348733198871	12.2255686602907	1	1	48.1274486921636	1	1
ACADSB	17.0494872844179	21.0658055404259	17.2445879803872	29.1048668871815	34.4856297362881	1	29.0644286437386	17.8612685612589
ACADVL	148.79581713331	120.52140732824	181.602038675819	98.4345329351206	110.968684598944	110.607579705307	123.187105942406	149.477392075312
ACAN	1	1	144.162230638516	1	1	1	1	1
ACAP1	1	1	1	190.368263132842	233.677133582691	1	245.375776088666	108.770926402691
ACAP2	14.839057090037	17.0225623341766	19.6927893882032	40.3578608365584	42.6889928392641	25.7982359506632	25.1954643500599	35.865122259573
ACAP3	1	1	1	1	1	1	1	1
ACAT1	91.3767636783309	197.075871419901	137.408033834819	1	1	51.0530040664081	1	1
ACAT2	1	1	234.822560419452	1	1	1	1	1
ACBD3	30.786008831319	1	26.4101192411939	1	1	1	1	1
ACBD4	1	36.0861513145402	1	1	14.7600058724962	1	27.1729005185626	21.2887747471442
ACBD5	20.089012385773	1	25.6223472605598	25.5410149646753	40.2134236720408	14.7846075129982	35.3166124195791	27.161094535256
ACBD6	83.5484281759984	93.7184359608309	122.193092142462	1	1	29.1120146341405	1	1
