Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
Pat126	0.0100989500634815	0.0390304203005964	0.0156020664343585	0.100776812632955	0	0.0842128923199252	0.0107114739769199	0.117804900634167	0.0156881108438988	0.0288761160323573	0	0.083200720056483	0.0192716835615722	0.111216754967507	0.0660213381218683	0.278352832219457	0.0423980904633545	0	0.0047115643964892	0.0515098908245851	0.0011211438426507	0.00306101977149862	0	0.445050657720013	0.894926726488721	1.08366678146413
Pat123	0.0332485207281946	0.00304187555732768	0.0411734431514394	0.134612804489138	0	0	0.0493158499212954	0.1081517340978	0.0133848370298467	0.00344043540389651	0	0.0528999974952867	0.0248675402733312	0.0658172899047584	0.0311366412982386	0.215780410964721	0.0132473799276019	0.00485625532863653	0.00854063006614966	0.0190820361921084	0.00682546969072409	0.00140287539804114	0	0.32550263006993	0.948527819147599	0.830826026918536
Pat91	0.0402921308099336	0.0257795334149444	0.0542279939064742	0.175878715254816	0	0.0457001021727731	0.0221875075768546	0.19179054399142	0.0257557793529169	0	0	0.0801349429818958	0.0114681784454031	0.205219093506535	0.0865928137727988	0.461646401698929	0.0171023138070835	0	0	0.123387844218384	0.0102108024665486	0.010009693574486	0	0.282619539264618	0.96923333660797	1.5873843909522
Pat90	0.0371565418352917	0.0525623760249527	0.121014352463701	0.11114933482728	0.0410268217552996	0.143874125911459	0.0167699773602485	0.0614561977508164	0.0228386686160442	0.0175731678241156	0.0323120916496643	0	0.0200555539799862	0.211365032164327	0.0914592433113465	0.209504884844687	0.0126714588962702	0	0.0212408159793214	0.00119761080720533	0	0	0	0.59811888310199	0.819664277487024	1.22522825600202
Pat88	0.0099584551120073	0.0707306260374263	0.0450251997774314	1.1314534417242	0	0	0.0658336408853611	0.282908264359311	0.0942006883371132	0	0	0.217112111869542	0.0497051266892037	0.39604543293896	0.207381978209002	0.340469810792911	0	0	0.00608094859944498	0	0	0	0	0.191773271123453	1.02762784902306	2.91690572533192
Pat80	0.00873645118452507	0.0462684674329343	0.0131851352708655	0.153782497295723	0	0	0.0693386132879072	0.123083737344546	0.0692449650098787	0	0.0132080549920292	0.0282272678095155	0	0.637968363324673	0.0745973059921589	0.232922675623907	0	0	0	0.0498129989397097	0	0	0	0.58069348625836	0.816525779816623	1.52037653350837
Pat79	0.0317853513972166	0.0805706709845356	0.0460735859020686	0.192358966198975	0	0	0.0628127056842258	0.138789501487198	0.0215700595976665	0	0.0307169105442367	0.0127509911428701	0.0267996577610998	0.1340373582883	0.0579107537370772	0.207222181226543	0.0206027234494975	0	0.0164670367085558	0.0140716632573716	0.00876073766268783	0.00329719566446046	0	0.408906404914786	0.911823673537307	1.10659805069459
Pat49	0.0181118030357074	0.165510642428865	0.256024654991291	0.807078288999609	0	0	0.183099379145864	0.284030055049487	0.146938513497208	0	0	0.250355582517522	0.0130903603897727	0.120125650673418	0.236625614258266	0.487652324930157	0.0128592394696436	0	0.0204973124935317	0.0217389852053104	0	0.0175739705821745	0	0.40981105654637	0.9126186071638	3.04131237766783
Pat47	0.0482186171118469	0.061401329368168	0.0663100673552653	0.0749494412072861	0	0.0248207042772177	0.0660634928760594	0.088847514946899	0.0133229213606506	0.00625725589205674	0.0333212641001028	0.00411789608994229	0.00176389638243047	0.393186046186082	0.04481511238067	0.283236199268779	0.00224740567534277	0.0126457914645425	0	0.0677467750471458	0.013189650954308	0.00966621996805689	0	0.329953910730719	0.952304244483673	1.31612760191285
Pat39	0.135617973103397	0.260158717130015	0	0.240229690147768	0	0.274644718849457	0	0.0516545290532023	0.0412694120041152	0	0.00599775239833505	0.0351784488398848	0.103700237131588	0.0887651918420989	0.0257617431409846	0.509886871158444	0	0.0131427611553606	0.124681721714358	0.0162439659938277	0	0	0	0.611543626324563	0.815386860541097	1.92693373366284
Pat38	0.0396996832114112	0	0.0214616378377139	0.602031862058979	0	0	0.111494843685425	0.132129265635655	0.0269812177315064	0	0	0.184233608944643	0.03682183855478	0.490344174187276	0.122567898435465	0.430280163240968	0.0133638613816947	0	0	0.0281265781245407	0	0.00553553724318211	0	0.766397765933891	0.707872810170548	2.24507217027324
Pat29	0.225361293727583	0.384850631962957	0.138948721725439	0.106546352525685	0.145367672273414	0.0931035796113815	0.0696848739880115	0.145991272649771	0.116220805616313	0	0.0588273846326931	0.0317632271521578	0.00183758867071716	0.432164711662563	0.0758877112986701	0.235422163849957	0	0	0	0.00861288964640527	0	0	0	0.621238291366703	0.798163750908644	2.27059088099372
Pat04	0.00211449881953815	0.0226718387538935	0.0238011064893022	0.21173985800626	0	0	0.0423600487628586	0.129901139630777	0.0264265560287548	0	0	0.110446699219826	0.0108365109494051	0.194111810347542	0.0501939827099355	0.23593911179151	0.00802229659085622	0	0.00100985898730062	0.0286317398579634	0.015678163043519	0.00413090394335058	0	0.563534104482148	0.833266283045045	1.11801612393259
Pat02	0.0506628696780314	0.00968891639346928	0.0281901551866955	0.290972988052967	0	0.0214841396787247	0	0.18433449376353	0.166375992960992	0	0.0414786563680082	0.0324955724752839	0.00935099948043338	1.73470688937716	0.10423981921522	0.435403473619561	0	0	0.152173873284224	0.110365288067706	0	0	0	0.7916187349366	0.651035301145462	3.37192412760201
Pat118	0.00707991218034823	0.0498203816727875	0.0212138720570702	0.107193327917105	0	0.291007277597858	0.0318157389408471	0.0640297597608944	0.00624679977878877	0.123312038382901	0	0.0914157647303682	0.0763574395566435	0.123831084903346	0.129516589824947	0.402259078515159	0.0134530500834165	0	0.130574258803359	0.0120262349912867	0.00196146542273671	0.00384485282391967	0	0.379750871324609	0.924772970829117	1.68695892794378
