"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"ENSG00000227232.5",-0.138020063727061,0.389586864477943,-0.758468904708046,0.454839991870105,0.526146165720578,-6.71829183963559,-0.747370426172442
"ENSG00000278267.1",1.34702714765115,-1.86412593732132,3.60024688459186,0.00126018767635842,0.003065530934379,-1.61640222101836,3.2248952525238
"ENSG00000268903.1",0.730400767775905,-2.99917462456606,1.24698611817362,0.222528962636407,0.286221523271798,-6.28450708321492,1.21983095899238
"ENSG00000269981.1",0.415143856976881,-3.15652645182971,0.931609159254586,0.360670456559914,0.431395988883132,-6.58329524569578,0.914088287196124
"ENSG00000279457.4",0.319816297699756,2.07822670491913,2.38465121770587,0.0242166800164641,0.0412172594675965,-4.38029230697967,2.25367406625945
"ENSG00000228463.10",0.589749807543888,1.73811929190116,4.97188567407191,3.79590895150256e-05,0.000145116104343219,1.83513339734542,4.11956344607436
"ENSG00000225972.1",0.490768388909992,-2.96834367151222,1.53987458817002,0.134960506971452,0.185623292607943,-5.80479978719069,1.49482351750939
"ENSG00000225630.1",0.12533629223325,4.68167604613602,1.19277409552924,0.243792981744623,0.30974457423528,-6.26208705256216,1.16555853278433
"ENSG00000237973.1",-0.191540377196736,4.29626911880075,-1.06670040496397,0.29653268705734,0.365787569778867,-6.40205935955107,-1.04389777647303
"ENSG00000278791.1",0.841445102431407,-4.20713683852371,1.61516107400961,0.116913809137757,0.163744092470728,-5.80418231617652,1.56785999773351
"ENSG00000229344.1",-0.269301814898011,-1.94844703846528,-0.803191955916905,0.427543989481559,0.498954414423048,-6.69561677959415,-0.793401410061048
"ENSG00000248527.1",-0.560069068477432,5.65396707410762,-4.53386070503923,8.92070799758035e-05,0.0003063015875689,0.921968031469397,-3.91821511309812
"ENSG00000198744.5",-0.287302394444596,-1.96310486762183,-0.68599676309143,0.497865352854438,0.568059717589451,-6.77245562309899,-0.677852290039517
"ENSG00000230092.7",-0.832124709337211,0.930330738370573,-3.68852321977544,0.000934867694652682,0.00235531201717328,-1.26292974373484,-3.30942811315207
"ENSG00000228794.11",0.363325175865226,5.42324689727279,2.57703630397552,0.0153496443675139,0.0275008665050334,-3.96448587845335,2.42402273828164
"ENSG00000225880.5",0.46052285448929,0.064208144098523,2.02533640928369,0.0519525005427052,0.0806472818604458,-5.09071700536945,1.94352713116653
