"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"6","ENSG00000107099","hurdle",0,-2.725664,2.364739,5.090403,0.942
"3","ENSG00000077420","hurdle",0,-2.85272,2.465905,5.318625,0.93
"2","ENSG00000059377","hurdle",0,-2.7094,1.555252,4.264652,0.883
"1","ENSG00000042980","hurdle",0,-2.285897,1.524886,3.810783,0.882
"7","ENSG00000125730","hurdle",0,-2.97831,1.066522,4.044832,0.854
"5","ENSG00000082074","hurdle",0,-3.003192,1.227186,4.230378,0.848
"17","ENSG00000182578","hurdle",0,-2.9797619,0.9663133,3.9460752,0.844
"19","ENSG00000254087","hurdle",0,-2.6090576,0.8401156,3.4491732,0.813
"13","ENSG00000165025","hurdle",0,-2.8423074,0.6738417,3.5161491,0.803
"14","ENSG00000168329","hurdle",0,-3.1342434,0.9556664,4.0899098,0.796
"8","ENSG00000129667","hurdle",0,-3.083415,0.4153303,3.4987453,0.792
"4","ENSG00000079215","hurdle",0,0.6947443,2.2196414,1.5248971,0.789
"11","ENSG00000140678","hurdle",0,-3.191246,0.365141,3.556387,0.78
"15","ENSG00000171310","hurdle",0,0.8101045,2.2194479,1.4093434,0.773
"20","ENSG00000273409","hurdle",0,-3.1076981,0.7384607,3.8461588,0.769
"12","ENSG00000148908","hurdle",0,-3.1407247,0.1882115,3.3289362,0.767
"16","ENSG00000175899","hurdle",0,-1.339514,0.607967,1.947481,0.743
"9","ENSG00000132530","hurdle",3.0565531881504e-162,-2.303969,-1.065253,1.238716,0.604
"10","ENSG00000135540","hurdle",4.20978365670754e-90,-0.7416642,0.08409827,0.82576247,0.603
"18","ENSG00000204592","hurdle",4.47201103351523e-127,-2.123269,-1.368401,0.754868,0.586
