"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.EndoMural","log2fold_change","Auc"
"9","ENSG00000116016","hurdle",0,-2.189725,2.755873,4.945598,0.883
"11","ENSG00000123243","hurdle",0,-2.739892,2.387653,5.127545,0.877
"18","ENSG00000163453","hurdle",0,-2.125932,2.096163,4.222095,0.858
"2","ENSG00000054654","hurdle",0,-1.528267,1.798191,3.326458,0.829
"19","ENSG00000166710","hurdle",0,-1.522758,1.933391,3.456149,0.823
"14","ENSG00000137831","hurdle",0,-2.020069,1.482581,3.50265,0.821
"21","ENSG00000175899","hurdle",0,-1.786893,1.957872,3.744765,0.819
"1","ENSG00000018625","hurdle",0,-0.3664551,3.5091361,3.8755912,0.801
"26","ENSG00000206190","hurdle",0,-1.948372,3.152106,5.100478,0.795
"10","ENSG00000118777","hurdle",0,-2.766949,2.044568,4.811517,0.793
"25","ENSG00000204592","hurdle",0,-2.736346,1.230596,3.966942,0.787
"17","ENSG00000158270","hurdle",0,-2.290127,2.499274,4.789401,0.785
"7","ENSG00000085276","hurdle",0,-2.826024,2.355995,5.182019,0.773
"23","ENSG00000184113","hurdle",0,-2.991997,1.190131,4.182128,0.77
"8","ENSG00000110799","hurdle",0,-2.764058,1.547173,4.311231,0.76
"13","ENSG00000132530","hurdle",0,-2.7086344,0.7255637,3.4341981,0.758
"27","ENSG00000249669","hurdle",0,-3.12686,1.00624,4.1331,0.756
"15","ENSG00000142089","hurdle",0,-2.7996954,0.7412532,3.5409486,0.755
"4","ENSG00000074181","hurdle",0,-2.9994155,0.8708894,3.8703049,0.747
"20","ENSG00000173638","hurdle",0,-1.973198,1.43909,3.412288,0.727
"6","ENSG00000079215","hurdle",3.92465285365478e-185,0.7325849,1.4811447,0.7485598,0.668
"16","ENSG00000157103","hurdle",2.13302969828991e-240,1.044199,2.424251,1.380052,0.663
"24","ENSG00000185551","hurdle",9.08925818557636e-288,-0.85197784,-0.02857317,0.82340467,0.641
"12","ENSG00000124440","hurdle",1.45457935021584e-176,-1.4771384,-0.2855214,1.191617,0.616
"5","ENSG00000076555","hurdle",2.05327728432189e-75,-1.284031,-0.5862673,0.6977637,0.584
"28","ENSG00000254087","hurdle",8.80457873217238e-49,-2.286751,-1.563651,0.7231,0.545
"3","ENSG00000065320","hurdle",2.26218806327247e-24,-1.835287,-1.302166,0.533121,0.539
"22","ENSG00000182578","hurdle",2.22635639806018e-50,-2.510744,-1.959247,0.551497,0.536
