"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Astro","log2fold_change","Auc"
"24","ENSG00000234377","hurdle",0,-0.9107694,3.3026889,4.2134583,0.892
"5","ENSG00000079215","hurdle",0,-0.1943336,3.6622273,3.8565609,0.883
"10","ENSG00000110436","hurdle",0,1.654632,5.411065,3.756433,0.864
"22","ENSG00000164199","hurdle",0,0.07573211,4.03264283,3.95691072,0.861
"1","ENSG00000018625","hurdle",0,-0.0903243,2.1275229,2.2178472,0.838
"14","ENSG00000135540","hurdle",0,-1.768433,2.262861,4.031294,0.827
"15","ENSG00000136297","hurdle",0,-1.038013,1.766313,2.804326,0.813
"17","ENSG00000142611","hurdle",0,-2.581974,1.061731,3.643705,0.806
"9","ENSG00000106571","hurdle",0,-2.546361,1.456746,4.003107,0.798
"11","ENSG00000124440","hurdle",0,-2.140137,1.23532,3.375457,0.795
"6","ENSG00000080573","hurdle",0,-1.674333,1.660069,3.334402,0.79
"19","ENSG00000154930","hurdle",0,-2.30156,0.9839394,3.2854994,0.786
"23","ENSG00000182902","hurdle",0,-2.254223,1.126269,3.380492,0.785
"2","ENSG00000068078","hurdle",0,-2.6404369,0.5594546,3.1998915,0.783
"16","ENSG00000140022","hurdle",0,-2.267004,1.189476,3.45648,0.782
"12","ENSG00000127249","hurdle",0,-1.320238,1.691841,3.012079,0.78
"7","ENSG00000103740","hurdle",0,-2.315453,0.935282,3.250735,0.779
"18","ENSG00000144749","hurdle",0,-0.911183,1.880315,2.791498,0.773
"20","ENSG00000162407","hurdle",0,-1.38397,1.500972,2.884942,0.765
"4","ENSG00000076555","hurdle",0,-1.750373,1.031896,2.782269,0.762
"3","ENSG00000072952","hurdle",0,-2.4584998,0.7454755,3.2039753,0.756
"8","ENSG00000106278","hurdle",0,1.263351,2.212275,0.948924,0.696
"21","ENSG00000163453","hurdle",0,-1.54867614,-0.09481694,1.4538592,0.639
"13","ENSG00000132530","hurdle",4.35975364658368e-233,-2.339606,-1.40178,0.937826,0.574
"25","ENSG00000254087","hurdle",2.01381865536782e-150,-2.361059,-1.276161,1.084898,0.562
