"group1","group2","ji"
"Oligo.fm","Oligo.fm",1
"Oligo.fm","Astro.fm",0.0796007166624008
"Oligo.fm","drop.fm",0.294547224926972
"Oligo.fm","drop.gm2",0.674046511627907
"Oligo.fm","Excit.fm",0.0624840601887274
"Oligo.fm","Oligo.gm2",0.138465322183965
"Oligo.fm","Astro.gm2",0.225338721178987
"Oligo.fm","Excit.gm2",0.447433337248913
"Oligo.fm","Inhib.fm",0.379982285208149
"Oligo.fm","MicroOligo.fm",0.0542364408897776
"Oligo.fm","EndoMural.fm",0.165205959684487
"Oligo.fm","EndoMural.gm2",0.345394736842105
"Oligo.fm","OPC.fm",0.043064596895343
"Oligo.fm","Inhib.gm2",0.10004752851711
"Oligo.fm","MicroOligo.gm2",0.135712712051113
"Oligo.fm","OPC.gm2",0.229372443380225
"Astro.fm","Oligo.fm",0.0796007166624008
"Astro.fm","Astro.fm",1
"Astro.fm","drop.fm",0.157824933687003
"Astro.fm","drop.gm2",0.0626713670191931
"Astro.fm","Excit.fm",0.400943396226415
"Astro.fm","Oligo.gm2",0.198412698412698
"Astro.fm","Astro.gm2",0.127492877492877
"Astro.fm","Excit.gm2",0.0382059800664452
"Astro.fm","Inhib.fm",0.0743759551706572
"Astro.fm","MicroOligo.fm",0.237547892720307
"Astro.fm","EndoMural.fm",0.153998678122935
"Astro.fm","EndoMural.gm2",0.0581123244929797
"Astro.fm","OPC.fm",0.202429149797571
"Astro.fm","Inhib.gm2",0.191657271702368
"Astro.fm","MicroOligo.gm2",0.125088841506752
"Astro.fm","OPC.gm2",0.0305028854080791
"drop.fm","Oligo.fm",0.294547224926972
"drop.fm","Astro.fm",0.157824933687003
"drop.fm","drop.fm",1
"drop.fm","drop.gm2",0.229696627096288
"drop.fm","Excit.fm",0.159479808350445
"drop.fm","Oligo.gm2",0.32820197044335
"drop.fm","Astro.gm2",0.353000504286435
"drop.fm","Excit.gm2",0.151508066401683
"drop.fm","Inhib.fm",0.225628024890528
"drop.fm","MicroOligo.fm",0.0946708463949843
"drop.fm","EndoMural.fm",0.21988855550793
"drop.fm","EndoMural.gm2",0.175855855855856
"drop.fm","OPC.fm",0.0907920154539601
"drop.fm","Inhib.gm2",0.176759410801964
"drop.fm","MicroOligo.gm2",0.2234382124943
"drop.fm","OPC.gm2",0.104507737160798
"drop.gm2","Oligo.fm",0.674046511627907
"drop.gm2","Astro.fm",0.0626713670191931
"drop.gm2","drop.fm",0.229696627096288
"drop.gm2","drop.gm2",1
"drop.gm2","Excit.fm",0.049199531433034
"drop.gm2","Oligo.gm2",0.110963075751808
"drop.gm2","Astro.gm2",0.190013091453151
"drop.gm2","Excit.gm2",0.598912786575278
"drop.gm2","Inhib.fm",0.375
"drop.gm2","MicroOligo.fm",0.0440638830094285
"drop.gm2","EndoMural.fm",0.144711454130854
"drop.gm2","EndoMural.gm2",0.410642709053214
"drop.gm2","OPC.fm",0.0336603192921716
"drop.gm2","Inhib.gm2",0.0831323065503804
"drop.gm2","MicroOligo.gm2",0.116315789473684
"drop.gm2","OPC.gm2",0.242880764284402
"Excit.fm","Oligo.fm",0.0624840601887274
