"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"440","ENSG00000128683","hurdle",0,-1.871716,3.015619,4.887335,0.926
"718","ENSG00000151789","hurdle",0,1.203126,4.65437,3.451244,0.923
"984","ENSG00000171189","hurdle",0,0.8051733,5.8616706,5.0564973,0.915
"620","ENSG00000144642","hurdle",0,1.637274,4.894618,3.257344,0.913
"704","ENSG00000151136","hurdle",0,-1.560157,3.467452,5.027609,0.912
"522","ENSG00000136750","hurdle",0,-2.165703,3.120188,5.285891,0.911
"777","ENSG00000157103","hurdle",0,-0.07393365,2.86133858,2.93527223,0.888
"618","ENSG00000144596","hurdle",0,-2.546442,1.737267,4.283709,0.887
"1202","ENSG00000188158","hurdle",0,-0.3596936,2.5631522,2.9228458,0.886
"39","ENSG00000029534","hurdle",0,-1.390784,2.071578,3.462362,0.884
"1196","ENSG00000187957","hurdle",0,0.4007643,3.034929,2.6341647,0.869
"30","ENSG00000017427","hurdle",0,-2.762626,1.409979,4.172605,0.843
"764","ENSG00000155974","hurdle",0,2.29391,4.605835,2.311925,0.841
"1605","ENSG00000259905","hurdle",0,0.8297968,3.1843042,2.3545074,0.835
"1272","ENSG00000198785","hurdle",0,-0.5883682,2.3257738,2.914142,0.835
"939","ENSG00000168916","hurdle",0,-0.3818504,2.2000602,2.5819106,0.834
"1406","ENSG00000232044","hurdle",0,-0.8596669,1.8965097,2.7561766,0.832
"1223","ENSG00000196104","hurdle",0,1.627306,3.859941,2.232635,0.832
"1155","ENSG00000185053","hurdle",0,2.951232,5.585567,2.634335,0.832
"694","ENSG00000150275","hurdle",0,1.161365,4.03845,2.877085,0.832
"849","ENSG00000163630","hurdle",0,1.00335,4.201832,3.198482,0.83
"770","ENSG00000156273","hurdle",0,-0.6890242,2.1124567,2.8014809,0.83
"1145","ENSG00000184408","hurdle",0,3.302665,5.910054,2.607389,0.829
"762","ENSG00000155897","hurdle",0,0.2411181,2.5510359,2.3099178,0.829
"1481","ENSG00000242593","hurdle",0,1.421635,3.570076,2.148441,0.827
"1030","ENSG00000174473","hurdle",0,2.694932,6.472667,3.777735,0.827
"961","ENSG00000169855","hurdle",0,2.85471,4.952445,2.097735,0.827
"1153","ENSG00000185008","hurdle",0,5.437805,6.896014,1.458209,0.825
"734","ENSG00000152932","hurdle",0,1.82088,3.478757,1.657877,0.821
"218","ENSG00000103460","hurdle",0,-1.638759,1.547533,3.186292,0.818
"982","ENSG00000171094","hurdle",0,-0.8719492,2.3033949,3.1753441,0.811
"947","ENSG00000169122","hurdle",0,0.05400735,2.18460107,2.13059372,0.809
"1285","ENSG00000203727","hurdle",0,-0.1938627,2.8080382,3.0019009,0.808
"1085","ENSG00000180287","hurdle",0,-0.1315201,2.7239762,2.8554963,0.808
"652","ENSG00000146555","hurdle",0,1.080316,3.369508,2.289192,0.806
"975","ENSG00000170579","hurdle",0,5.292548,6.792658,1.50011,0.805
"1488","ENSG00000244694","hurdle",0,0.728772,2.844486,2.115714,0.804
"1498","ENSG00000247809","hurdle",0,-1.617532,3.234198,4.85173,0.802
"698","ENSG00000150556","hurdle",0,-2.139412,1.561954,3.701366,0.801
"1217","ENSG00000189056","hurdle",0,-2.08229,2.746412,4.828702,0.799
"763","ENSG00000155966","hurdle",0,-0.2449382,2.0190271,2.2639653,0.799
"1366","ENSG00000227681","hurdle",0,-0.4175831,2.5152734,2.9328565,0.798
"1329","ENSG00000218336","hurdle",0,1.941469,3.58028,1.638811,0.797
"1170","ENSG00000185736","hurdle",0,0.2858489,5.0552901,4.7694412,0.797
"8","ENSG00000005108","hurdle",0,0.3864377,2.6424988,2.2560611,0.797
"848","ENSG00000163618","hurdle",0,3.660223,4.967918,1.307695,0.796
"1608","ENSG00000260232","hurdle",0,-1.055084,1.439213,2.494297,0.795
"782","ENSG00000157388","hurdle",0,2.485904,3.89636,1.410456,0.795
"749","ENSG00000154217","hurdle",0,1.727438,3.017391,1.289953,0.794
"616","ENSG00000144460","hurdle",0,0.8213477,3.8097525,2.9884048,0.794
"636","ENSG00000145730","hurdle",0,1.828911,3.357055,1.528144,0.793
"609","ENSG00000144278","hurdle",0,1.906899,4.371306,2.464407,0.792
"46","ENSG00000041515","hurdle",0,0.1624879,2.8381556,2.6756677,0.791
"1309","ENSG00000206052","hurdle",0,2.003992,3.780027,1.776035,0.79
"1189","ENSG00000187123","hurdle",0,-2.391285,1.384191,3.775476,0.787
"345","ENSG00000116729","hurdle",0,-0.2856297,2.0456364,2.3312661,0.787
"84","ENSG00000069667","hurdle",0,4.026363,5.428173,1.40181,0.786
"1099","ENSG00000181072","hurdle",0,0.1315085,4.014097,3.8825885,0.784
"126","ENSG00000082805","hurdle",0,2.406592,3.614156,1.207564,0.784
"1312","ENSG00000206579","hurdle",0,2.939415,4.119073,1.179658,0.783
"978","ENSG00000170873","hurdle",0,0.7412067,2.3096403,1.5684336,0.782
"619","ENSG00000144619","hurdle",0,3.59709,4.832264,1.235174,0.782
"1220","ENSG00000189337","hurdle",0,4.607577,5.729658,1.122081,0.78
"319","ENSG00000114805","hurdle",0,0.5791648,2.3535868,1.774422,0.779
"867","ENSG00000164512","hurdle",0,-2.0818863,0.8370268,2.9189131,0.778
"42","ENSG00000035862","hurdle",0,-0.3049799,1.5555377,1.8605176,0.778
"783","ENSG00000157404","hurdle",0,-2.661609,2.441814,5.103423,0.776
"292","ENSG00000112182","hurdle",0,1.186558,2.664029,1.477471,0.776
"879","ENSG00000165061","hurdle",0,2.129614,3.89431,1.764696,0.774
"167","ENSG00000100077","hurdle",0,1.6783,3.08932,1.41102,0.774
"1206","ENSG00000188559","hurdle",0,1.096181,2.994788,1.898607,0.773
"788","ENSG00000158089","hurdle",0,0.1052679,2.689472,2.5842041,0.773
"1056","ENSG00000177103","hurdle",0,2.049652,3.181994,1.132342,0.772
"626","ENSG00000145194","hurdle",0,-1.7932609,0.5346632,2.3279241,0.772
"299","ENSG00000112419","hurdle",0,0.5870169,2.4484921,1.8614752,0.772
"742","ENSG00000153820","hurdle",0,0.2951544,3.8285835,3.5334291,0.771
"441","ENSG00000128739","hurdle",0,2.274375,3.293461,1.019086,0.77
"1060","ENSG00000177679","hurdle",0,1.733961,2.838247,1.104286,0.769
"792","ENSG00000158458","hurdle",0,0.9930687,2.3109282,1.3178595,0.769
"676","ENSG00000148219","hurdle",0,2.886859,4.214021,1.327162,0.769
"1009","ENSG00000172572","hurdle",0,-1.409242,2.584304,3.993546,0.767
"671","ENSG00000147724","hurdle",0,1.907077,3.096776,1.189699,0.767
"758","ENSG00000155052","hurdle",0,3.639437,4.683995,1.044558,0.766
"301","ENSG00000112530","hurdle",0,1.438542,2.764808,1.326266,0.766
"21","ENSG00000009413","hurdle",0,1.667412,2.831578,1.164166,0.766
"354","ENSG00000118276","hurdle",0,0.4654191,2.499223,2.0338039,0.765
"308","ENSG00000113396","hurdle",0,-2.627812,1.463051,4.090863,0.765
"1300","ENSG00000204764","hurdle",0,0.6910085,2.0062989,1.3152904,0.764
"1037","ENSG00000175175","hurdle",0,1.873148,3.049819,1.176671,0.764
"486","ENSG00000134215","hurdle",0,-0.3389571,2.6331994,2.9721565,0.764
"191","ENSG00000101333","hurdle",0,0.9221458,2.7360208,1.813875,0.764
"1119","ENSG00000182836","hurdle",0,-0.368614,1.907497,2.276111,0.762
"556","ENSG00000138829","hurdle",0,-2.551092,1.288281,3.839373,0.762
"575","ENSG00000141404","hurdle",0,0.2328096,1.7415613,1.5087517,0.761
"265","ENSG00000109265","hurdle",0,-0.4891831,1.88286,2.3720431,0.761
"791","ENSG00000158321","hurdle",0,4.069994,5.072287,1.002293,0.76
"561","ENSG00000139915","hurdle",0,4.519052,5.609557,1.090505,0.76
"1129","ENSG00000183166","hurdle",0,1.404252,3.074433,1.670181,0.759
"622","ENSG00000144868","hurdle",0,2.874466,3.905645,1.031179,0.759
"113","ENSG00000078177","hurdle",0,-1.2932841,0.9438237,2.2371078,0.759
"34","ENSG00000021645","hurdle",0,5.980345,6.937482,0.957137,0.758
"390","ENSG00000122547","hurdle",0,-0.4299931,1.4440121,1.8740052,0.757
"108","ENSG00000077044","hurdle",0,-0.7913339,1.4645162,2.2558501,0.757
"573","ENSG00000140945","hurdle",0,2.325839,3.819065,1.493226,0.755
"541","ENSG00000137968","hurdle",0,2.405878,3.532097,1.126219,0.755
"1166","ENSG00000185551","hurdle",0,-2.517028,1.132595,3.649623,0.754
"1093","ENSG00000180875","hurdle",0,-1.075105,1.545525,2.62063,0.753
"1020","ENSG00000173482","hurdle",0,0.9383949,3.13866,2.2002651,0.753
"359","ENSG00000118922","hurdle",0,1.654009,3.00559,1.351581,0.753
"1138","ENSG00000183783","hurdle",0,1.872957,3.7404,1.867443,0.752
"1334","ENSG00000224078","hurdle",0,5.970416,6.777738,0.807322,0.751
"1167","ENSG00000185565","hurdle",0,5.450988,6.385424,0.934436000000001,0.751
"1016","ENSG00000173273","hurdle",0,2.251364,3.74522,1.493856,0.751
"858","ENSG00000164116","hurdle",0,-0.04823008,2.29672441,2.34495449,0.751
"538","ENSG00000137766","hurdle",0,1.635034,3.7597,2.124666,0.75
"751","ENSG00000154240","hurdle",0,1.384637,3.413505,2.028868,0.749
"687","ENSG00000148948","hurdle",0,4.205192,5.377027,1.171835,0.749
"4","ENSG00000003096","hurdle",0,-1.839274,1.127114,2.966388,0.749
"1638","ENSG00000269821","hurdle",0,1.263366,2.458749,1.195383,0.748
"95","ENSG00000071909","hurdle",0,-2.820962,1.47974,4.300702,0.747
"745","ENSG00000154127","hurdle",0,-1.150803,1.35656,2.507363,0.745
"683","ENSG00000148516","hurdle",0,2.409144,3.829446,1.420302,0.745
"110","ENSG00000077616","hurdle",0,0.1727058,1.6860061,1.5133003,0.745
"1251","ENSG00000197381","hurdle",0,0.6621482,2.0476242,1.385476,0.744
"1003","ENSG00000172159","hurdle",0,0.1691759,1.7239111,1.5547352,0.744
"68","ENSG00000060982","hurdle",0,-0.1234284,1.3805408,1.5039692,0.744
"1029","ENSG00000174469","hurdle",0,5.79122,6.603809,0.812589,0.743
"905","ENSG00000166147","hurdle",0,1.192649,2.583391,1.390742,0.742
"838","ENSG00000162989","hurdle",0,2.619744,3.448054,0.82831,0.741
"464","ENSG00000132170","hurdle",0,-0.8112785,1.3204778,2.1317563,0.741
"1267","ENSG00000198673","hurdle",0,3.512041,4.527918,1.015877,0.74
"22","ENSG00000009694","hurdle",0,0.2366461,2.1198237,1.8831776,0.74
"1040","ENSG00000175352","hurdle",0,-1.0095051,0.9409067,1.9504118,0.739
"675","ENSG00000148143","hurdle",0,-0.008385468,1.50760754,1.515993008,0.739
"1395","ENSG00000231160","hurdle",0,-0.5981043,1.2882279,1.8863322,0.738
"778","ENSG00000157152","hurdle",0,2.974817,3.810227,0.83541,0.738
"1122","ENSG00000182985","hurdle",0,2.673893,4.114896,1.441003,0.737
"1000","ENSG00000171951","hurdle",0,0.1004129,1.788241,1.6878281,0.737
"831","ENSG00000162849","hurdle",0,0.03774694,2.3456325,2.30788556,0.737
"548","ENSG00000138639","hurdle",0,0.01061101,2.8605311,2.84992009,0.737
"427","ENSG00000127124","hurdle",0,2.282148,3.062639,0.780491,0.737
"404","ENSG00000124191","hurdle",0,-0.5505798,1.1684149,1.7189947,0.736
"994","ENSG00000171723","hurdle",0,3.684077,4.489169,0.805092000000001,0.735
"630","ENSG00000145349","hurdle",0,2.4426,3.644004,1.201404,0.735
"53","ENSG00000048052","hurdle",0,3.17629,4.098126,0.921836,0.735
"1509","ENSG00000248550","hurdle",0,-2.523777,3.9624,6.486177,0.734
"954","ENSG00000169330","hurdle",0,-2.564006,0.441744,3.00575,0.734
"714","ENSG00000151572","hurdle",0,1.494933,2.935684,1.440751,0.733
"515","ENSG00000136111","hurdle",0,0.595079,1.816866,1.221787,0.733
"408","ENSG00000124749","hurdle",0,-0.8862161,1.2338945,2.1201106,0.733
"373","ENSG00000120693","hurdle",0,-1.8306544,0.8382668,2.6689212,0.732
"207","ENSG00000102466","hurdle",0,5.008144,5.644056,0.635912,0.732
"348","ENSG00000116991","hurdle",0,0.5377182,2.3742008,1.8364826,0.731
"32","ENSG00000020577","hurdle",0,0.9348903,2.0223682,1.0874779,0.731
"19","ENSG00000007402","hurdle",0,-1.820962,0.3259844,2.1469464,0.731
"1263","ENSG00000198300","hurdle",0,1.415641,2.432981,1.01734,0.729
"1133","ENSG00000183570","hurdle",0,-0.4710464,3.0306122,3.5016586,0.729
"708","ENSG00000151322","hurdle",0,3.395547,4.580887,1.18534,0.729
"358","ENSG00000118495","hurdle",0,-0.3091491,1.2820765,1.5912256,0.729
"1258","ENSG00000197959","hurdle",0,3.160889,4.113774,0.952885,0.728
"315","ENSG00000114374","hurdle",0,1.04132,2.234734,1.193414,0.728
"97","ENSG00000072315","hurdle",0,0.08127833,1.83041838,1.74914005,0.728
"1169","ENSG00000185666","hurdle",0,2.941734,3.690253,0.748519,0.727
"998","ENSG00000171877","hurdle",0,3.243094,4.216645,0.973551,0.727
"959","ENSG00000169760","hurdle",0,4.66195,5.427249,0.765299,0.727
"692","ENSG00000149972","hurdle",0,3.576204,4.46036,0.884155999999999,0.727
"454","ENSG00000130226","hurdle",0,3.813509,4.787066,0.973557,0.727
"316","ENSG00000114423","hurdle",0,0.1739745,1.6595937,1.4856192,0.726
"270","ENSG00000109790","hurdle",0,0.2923275,1.6700775,1.37775,0.726
"1297","ENSG00000204442","hurdle",0,5.41938,6.04336,0.62398,0.725
"525","ENSG00000136895","hurdle",0,1.85428,2.488392,0.634112,0.725
"471","ENSG00000132932","hurdle",0,3.412874,4.022544,0.60967,0.725
"149","ENSG00000090905","hurdle",0,3.388185,4.093315,0.70513,0.725
"144","ENSG00000088970","hurdle",0,0.525689,1.93619,1.410501,0.725
"1553","ENSG00000253554","hurdle",0,1.10151,2.870548,1.769038,0.724
"1185","ENSG00000186479","hurdle",0,1.22941,2.205554,0.976144,0.724
"965","ENSG00000170091","hurdle",0,1.212128,2.125063,0.912935,0.724
"467","ENSG00000132694","hurdle",0,1.198465,2.17603,0.977565,0.724
"116","ENSG00000080224","hurdle",0,2.728595,3.450512,0.721917,0.723
"23","ENSG00000010803","hurdle",0,1.568764,2.392018,0.823254,0.723
"1141","ENSG00000183853","hurdle",0,-2.6865661,0.3724421,3.0590082,0.722
"973","ENSG00000170456","hurdle",0,2.153527,2.943348,0.789821,0.722
"760","ENSG00000155511","hurdle",0,2.617311,3.326532,0.709221,0.722
"637","ENSG00000145808","hurdle",0,0.7021115,2.3267096,1.6245981,0.722
"583","ENSG00000143061","hurdle",0,-1.3333385,0.8878599,2.2211984,0.722
"1651","ENSG00000273079","hurdle",0,3.676959,4.191937,0.514978,0.721
"912","ENSG00000166833","hurdle",0,3.202598,3.898696,0.696098,0.721
"540","ENSG00000137942","hurdle",0,0.2319707,1.3038359,1.0718652,0.721
"1281","ENSG00000198879","hurdle",0,0.7509683,1.9479955,1.1970272,0.72
"1154","ENSG00000185052","hurdle",0,-0.3464154,1.9567533,2.3031687,0.72
