"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Excit","log2fold_change","Auc"
"18","ENSG00000048540","hurdle",5.83760026445825e-183,-0.1884668,2.9696949,3.1581617,0.841
"465","ENSG00000187094","hurdle",2.14050818000222e-161,0.4126206,3.2424592,2.8298386,0.826
"316","ENSG00000160014","hurdle",3.46249437896935e-141,1.186517,3.256302,2.069785,0.81
"105","ENSG00000106617","hurdle",2.37941600085306e-152,-0.008437751,3.133100585,3.141538336,0.805
"243","ENSG00000140538","hurdle",1.02115201399589e-134,1.570662,3.991022,2.42036,0.799
"84","ENSG00000102471","hurdle",9.86456102085083e-144,-0.3439065,2.3039236,2.6478301,0.799
"534","ENSG00000216863","hurdle",1.80656322122833e-192,-2.509685,2.550158,5.059843,0.793
"24","ENSG00000058404","hurdle",3.33301071709325e-102,1.191301,2.952792,1.761491,0.768
"239","ENSG00000139364","hurdle",2.0390461992101e-101,2.20603,4.320947,2.114917,0.764
"206","ENSG00000134490","hurdle",1.11576072184522e-118,-0.6294199,1.9994626,2.6288825,0.753
"230","ENSG00000138311","hurdle",3.27023085572331e-103,-0.3983086,1.9107898,2.3090984,0.749
"224","ENSG00000137726","hurdle",5.66262311177832e-90,0.5876605,2.0105065,1.422846,0.746
"157","ENSG00000118733","hurdle",9.13795725537948e-87,2.049239,4.02591,1.976671,0.746
"118","ENSG00000109339","hurdle",5.02919059199773e-78,3.026169,4.948526,1.922357,0.741
"56","ENSG00000096384","hurdle",5.47963844227211e-83,1.845398,3.371234,1.525836,0.741
"607","ENSG00000251141","hurdle",1.42387942697151e-102,-0.6488308,1.8841085,2.5329393,0.74
"140","ENSG00000115419","hurdle",4.7173997926545e-81,1.920577,3.740427,1.81985,0.739
"67","ENSG00000100604","hurdle",1.80842029267873e-92,-0.6734676,1.3387019,2.0121695,0.739
"265","ENSG00000145819","hurdle",3.0475750338601e-78,2.150616,4.440712,2.290096,0.737
"375","ENSG00000169064","hurdle",5.09826637025926e-121,-2.089334,1.57706,3.666394,0.735
"152","ENSG00000117154","hurdle",3.59560369595812e-87,-0.01471991,2.27340753,2.28812744,0.733
"115","ENSG00000108924","hurdle",7.33119701314721e-81,-0.01471991,1.71561119,1.7303311,0.731
"398","ENSG00000171914","hurdle",1.1567507787874e-83,1.156079,3.146967,1.990888,0.728
"371","ENSG00000168546","hurdle",5.81383651085919e-109,-1.903001,0.951785,2.854786,0.728
"116","ENSG00000109158","hurdle",7.46294927083763e-79,0.1627752,1.9193383,1.7565631,0.728
"271","ENSG00000147642","hurdle",1.62897991109481e-75,0.8408819,2.5995306,1.7586487,0.727
"175","ENSG00000125675","hurdle",1.08022712758183e-71,2.165973,3.871756,1.705783,0.726
"190","ENSG00000131507","hurdle",3.20534729480313e-72,1.362241,2.781877,1.419636,0.725
"504","ENSG00000198797","hurdle",2.35558395468287e-81,0.5305627,2.5586188,2.0280561,0.723
"55","ENSG00000092051","hurdle",1.14092350471291e-75,-0.06435697,1.53734929,1.60170626,0.722
"241","ENSG00000139910","hurdle",1.06915586191365e-84,1.700967,3.325068,1.624101,0.721
