"data","ct","n","beta","sd","beta_adj","mean_puncta","mean_non_zero"
"snRNA-seq","ct3",46770,"-9799.89 (-10270.55,-9329.23)",23171.7418937012,"-0.42 (-0.44,-0.4)",NA,NA
"snRNA-seq","ct6",54507,"-9799.89 (-10237.66,-9362.12)",22226.7352211789,"-0.44 (-0.46,-0.42)",NA,NA
"RNAscope_puncta","ct3",323506,"-4.14 (-4.18,-4.09)",6.9355769934485,"-0.6 (-0.6,-0.59)",8.69764393859774,0.958223302508548
"RNAscope_puncta","ct6",654126,"-4.14 (-4.18,-4.09)",6.54172144203286,"-0.63 (-0.64,-0.63)",6.44725022396297,0.903909139302384
