"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.OPC","log2fold_change","Auc"
"57","ENSG00000187416","hurdle",0,0.490803,5.143891,4.653088,0.978
"1","ENSG00000038427","hurdle",0,-1.703082,3.497198,5.20028,0.974
"42","ENSG00000157890","hurdle",0,-1.417116,2.584467,4.001583,0.94
"17","ENSG00000110693","hurdle",0,0.8353265,3.9541483,3.1188218,0.928
"28","ENSG00000134853","hurdle",0,-2.556781,1.949487,4.506268,0.927
"19","ENSG00000112902","hurdle",0,-0.005444154,3.215870702,3.221314856,0.922
"62","ENSG00000198732","hurdle",0,-1.951801,2.02049,3.972291,0.913
"8","ENSG00000072134","hurdle",0,1.140488,3.600924,2.460436,0.911
"23","ENSG00000116147","hurdle",0,2.514602,4.761428,2.246826,0.892
"24","ENSG00000122584","hurdle",0,1.839669,3.367097,1.527428,0.887
"56","ENSG00000187398","hurdle",0,1.571451,3.827557,2.256106,0.886
"47","ENSG00000169302","hurdle",0,-2.558183,1.340254,3.898437,0.863
"29","ENSG00000140470","hurdle",0,0.1750524,2.2114619,2.0364095,0.858
"20","ENSG00000114166","hurdle",0,-0.07090992,2.25433221,2.32524213,0.856
"60","ENSG00000196562","hurdle",0,-1.219458,1.36385,2.583308,0.852
"18","ENSG00000112280","hurdle",0,-2.852333,1.005937,3.85827,0.847
"32","ENSG00000148123","hurdle",0,-0.1238586,2.1915757,2.3154343,0.84
"53","ENSG00000181234","hurdle",0,0.7258652,2.3944406,1.6685754,0.834
"14","ENSG00000101311","hurdle",0,-2.8848074,0.9657605,3.8505679,0.834
"61","ENSG00000197584","hurdle",0,2.342514,3.942635,1.600121,0.833
"59","ENSG00000196132","hurdle",0,-1.829453,1.130727,2.96018,0.831
"9","ENSG00000075461","hurdle",0,-1.8798017,0.9873021,2.8671038,0.829
"25","ENSG00000132122","hurdle",0,0.1142172,2.1830854,2.0688682,0.828
"7","ENSG00000065320","hurdle",0,-2.1555807,0.9906742,3.1462549,0.825
"38","ENSG00000152527","hurdle",0,-0.9762587,1.0778068,2.0540655,0.811
"16","ENSG00000103489","hurdle",0,2.120664,3.732068,1.611404,0.81
"39","ENSG00000152953","hurdle",0,-1.931163,0.9531404,2.8843034,0.797
"63","ENSG00000203805","hurdle",0,-2.272073,0.726966,2.999039,0.788
"22","ENSG00000116132","hurdle",0,-1.020676,1.261484,2.28216,0.783
"36","ENSG00000152492","hurdle",0,-0.5467361,1.4101956,1.9569317,0.781
"33","ENSG00000148143","hurdle",0,0.3388307,1.9790259,1.6401952,0.778
"3","ENSG00000060718","hurdle",0,0.9201003,2.1072737,1.1871734,0.766
"45","ENSG00000162670","hurdle",0,2.314097,3.162635,0.848538,0.764
"52","ENSG00000179314","hurdle",0,-2.2609936,0.3950062,2.6559998,0.763
"26","ENSG00000132692","hurdle",0,-1.486842,0.6461151,2.1329571,0.761
"6","ENSG00000064989","hurdle",0,-1.4279711,0.8619758,2.2899469,0.761
"51","ENSG00000175928","hurdle",0,0.1366852,1.5216207,1.3849355,0.76
"50","ENSG00000174945","hurdle",0,-1.0231484,0.8826935,1.9058419,0.759
