"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"30","ENSG00000128683","hurdle",0,-1.871716,3.015619,4.887335,0.926
"49","ENSG00000151789","hurdle",0,1.203126,4.65437,3.451244,0.923
"47","ENSG00000151136","hurdle",0,-1.560157,3.467452,5.027609,0.912
"33","ENSG00000136750","hurdle",0,-2.165703,3.120188,5.285891,0.911
"41","ENSG00000144596","hurdle",0,-2.546442,1.737267,4.283709,0.887
"6","ENSG00000029534","hurdle",0,-1.390784,2.071578,3.462362,0.884
"4","ENSG00000017427","hurdle",0,-2.762626,1.409979,4.172605,0.843
"56","ENSG00000155974","hurdle",0,2.29391,4.605835,2.311925,0.841
"97","ENSG00000259905","hurdle",0,0.8297968,3.1843042,2.3545074,0.835
"87","ENSG00000198785","hurdle",0,-0.5883682,2.3257738,2.914142,0.835
"59","ENSG00000163630","hurdle",0,1.00335,4.201832,3.198482,0.83
"70","ENSG00000174473","hurdle",0,2.694932,6.472667,3.777735,0.827
"18","ENSG00000103460","hurdle",0,-1.638759,1.547533,3.186292,0.818
"90","ENSG00000203727","hurdle",0,-0.1938627,2.8080382,3.0019009,0.808
"95","ENSG00000244694","hurdle",0,0.728772,2.844486,2.115714,0.804
"46","ENSG00000150556","hurdle",0,-2.139412,1.561954,3.701366,0.801
"81","ENSG00000189056","hurdle",0,-2.08229,2.746412,4.828702,0.799
"55","ENSG00000155966","hurdle",0,-0.2449382,2.0190271,2.2639653,0.799
"40","ENSG00000144460","hurdle",0,0.8213477,3.8097525,2.9884048,0.794
"78","ENSG00000187123","hurdle",0,-2.391285,1.384191,3.775476,0.787
"74","ENSG00000181072","hurdle",0,0.1315085,4.014097,3.8825885,0.784
"23","ENSG00000114805","hurdle",0,0.5791648,2.3535868,1.774422,0.779
"61","ENSG00000164512","hurdle",0,-2.0818863,0.8370268,2.9189131,0.778
"57","ENSG00000157404","hurdle",0,-2.661609,2.441814,5.103423,0.776
"58","ENSG00000158089","hurdle",0,0.1052679,2.689472,2.5842041,0.773
"54","ENSG00000153820","hurdle",0,0.2951544,3.8285835,3.5334291,0.771
"25","ENSG00000118276","hurdle",0,0.4654191,2.499223,2.0338039,0.765
"76","ENSG00000182836","hurdle",0,-0.368614,1.907497,2.276111,0.762
"77","ENSG00000183166","hurdle",0,1.404252,3.074433,1.670181,0.759
"15","ENSG00000078177","hurdle",0,-1.2932841,0.9438237,2.2371078,0.759
"73","ENSG00000180875","hurdle",0,-1.075105,1.545525,2.62063,0.753
"60","ENSG00000164116","hurdle",0,-0.04823008,2.29672441,2.34495449,0.751
"34","ENSG00000137766","hurdle",0,1.635034,3.7597,2.124666,0.75
"64","ENSG00000166147","hurdle",0,1.192649,2.583391,1.390742,0.742
"31","ENSG00000132170","hurdle",0,-0.8112785,1.3204778,2.1317563,0.741
"71","ENSG00000175352","hurdle",0,-1.0095051,0.9409067,1.9504118,0.739
"44","ENSG00000148143","hurdle",0,-0.008385468,1.50760754,1.515993008,0.739
"35","ENSG00000138639","hurdle",0,0.01061101,2.8605311,2.84992009,0.737
"67","ENSG00000169330","hurdle",0,-2.564006,0.441744,3.00575,0.734
"28","ENSG00000124749","hurdle",0,-0.8862161,1.2338945,2.1201106,0.733
"2","ENSG00000007402","hurdle",0,-1.820962,0.3259844,2.1469464,0.731
"11","ENSG00000072315","hurdle",0,0.08127833,1.83041838,1.74914005,0.728
"96","ENSG00000253554","hurdle",0,1.10151,2.870548,1.769038,0.724
"42","ENSG00000145808","hurdle",0,0.7021115,2.3267096,1.6245981,0.722
"38","ENSG00000143061","hurdle",0,-1.3333385,0.8878599,2.2211984,0.722
"89","ENSG00000198879","hurdle",0,0.7509683,1.9479955,1.1970272,0.72
"86","ENSG00000197584","hurdle",0,2.09656,3.341694,1.245134,0.719
"52","ENSG00000152818","hurdle",0,0.8188448,2.529545,1.7107002,0.717
"26","ENSG00000120049","hurdle",0,-1.5925807,0.4023401,1.9949208,0.716
"79","ENSG00000187398","hurdle",0,1.395819,2.66372,1.267901,0.713
"32","ENSG00000135299","hurdle",0,-0.06539243,1.18777198,1.25316441,0.711
"9","ENSG00000063015","hurdle",0,-1.1991087,0.7612187,1.9603274,0.703
"92","ENSG00000227082","hurdle",0,-0.5281711,0.8920104,1.4201815,0.702
"66","ENSG00000168032","hurdle",0,-1.1778788,0.4641241,1.6420029,0.687
"13","ENSG00000075223","hurdle",0,-0.6987438,2.4109179,3.1096617,0.687
"7","ENSG00000033867","hurdle",0,0.05556829,1.15565702,1.10008873,0.682
