"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Excit","log2fold_change","Auc"
"24","ENSG00000070808","hurdle",0,0.04537156,4.00104236,3.9556708,0.913
"234","ENSG00000185518","hurdle",0,-0.7174146,4.0040211,4.7214357,0.905
"149","ENSG00000157782","hurdle",0,-0.8101552,3.7410605,4.5512157,0.897
"99","ENSG00000130558","hurdle",0,0.2715667,3.6148411,3.3432744,0.89
"232","ENSG00000184613","hurdle",0,0.01802662,4.38279593,4.36476931,0.888
"189","ENSG00000171617","hurdle",0,-0.3216773,3.6650687,3.986746,0.888
"120","ENSG00000143013","hurdle",0,-0.06001893,3.61081029,3.67082922,0.879
"54","ENSG00000104888","hurdle",0,-1.629021,2.215442,3.844463,0.876
"53","ENSG00000104435","hurdle",0,0.6237379,3.5907559,2.967018,0.861
"79","ENSG00000119042","hurdle",0,-1.677791,3.360395,5.038186,0.86
"245","ENSG00000196872","hurdle",0,-1.603716,3.113171,4.716887,0.852
"205","ENSG00000175874","hurdle",0,-0.248346,2.996389,3.244735,0.85
"187","ENSG00000171246","hurdle",0,-1.811131,1.920813,3.731944,0.848
"131","ENSG00000146147","hurdle",0,-1.960012,3.069152,5.029164,0.843
"87","ENSG00000124785","hurdle",0,-1.755414,1.887362,3.642776,0.842
"65","ENSG00000110931","hurdle",0,-1.063217,2.184331,3.247548,0.842
"20","ENSG00000066248","hurdle",0,-1.613869,2.023746,3.637615,0.837
"176","ENSG00000168490","hurdle",0,-1.345768,1.750012,3.09578,0.835
"80","ENSG00000119125","hurdle",0,-1.529042,2.128745,3.657787,0.835
"279","ENSG00000273032","hurdle",0,-0.5910767,2.6325974,3.2236741,0.834
"237","ENSG00000187094","hurdle",0,0.1861702,3.2398272,3.053657,0.831
"150","ENSG00000158258","hurdle",0,0.2766199,4.3109887,4.0343688,0.831
"81","ENSG00000120899","hurdle",0,-1.64348,2.170809,3.814289,0.831
"108","ENSG00000135750","hurdle",0,-0.8998795,2.3385323,3.2384118,0.829
"14","ENSG00000053108","hurdle",0,-0.3120214,3.9843668,4.2963882,0.824
"256","ENSG00000225206","hurdle",0,-0.5915576,2.9405821,3.5321397,0.822
"184","ENSG00000169783","hurdle",0,-0.8664899,2.1226821,2.989172,0.822
"58","ENSG00000106123","hurdle",0,-0.9819824,1.88035,2.8623324,0.822
"166","ENSG00000164951","hurdle",0,-1.583759,1.69703,3.280789,0.82
"252","ENSG00000221946","hurdle",0,-1.770115,1.396571,3.166686,0.819
"143","ENSG00000152931","hurdle",0,-2.426103,1.774253,4.200356,0.816
"3","ENSG00000006116","hurdle",0,-0.5695322,2.7144922,3.2840244,0.816
"261","ENSG00000229618","hurdle",0,-1.299351,3.902919,5.20227,0.811
"265","ENSG00000234423","hurdle",0,-0.7667592,3.2750778,4.041837,0.809
"282","ENSG00000283154","hurdle",0,1.91881,5.634354,3.715544,0.808
"226","ENSG00000182674","hurdle",0,0.2688443,3.6955417,3.4266974,0.808
"269","ENSG00000237720","hurdle",0,-2.239899,1.91027,4.150169,0.807
"121","ENSG00000143473","hurdle",0,0.7659692,4.3160483,3.5500791,0.807
"57","ENSG00000106089","hurdle",0,-2.008543,1.199995,3.208538,0.807
"238","ENSG00000187122","hurdle",0,-0.934496,2.245368,3.179864,0.803
"251","ENSG00000216863","hurdle",0,-2.461079,2.610962,5.072041,0.802
"204","ENSG00000175866","hurdle",0,-1.408904,1.566525,2.975429,0.801
"126","ENSG00000145242","hurdle",0,-0.2800539,2.8794344,3.1594883,0.798
"23","ENSG00000070087","hurdle",0,-1.134008,1.518558,2.652566,0.797
"106","ENSG00000135426","hurdle",0,-2.282747,2.288929,4.571676,0.796
"1","ENSG00000004660","hurdle",0,-1.707864,1.317978,3.025842,0.796
"270","ENSG00000239498","hurdle",0,-2.275885,3.30484,5.580725,0.795
"254","ENSG00000224271","hurdle",0,-2.035958,3.804619,5.840577,0.794
"134","ENSG00000147676","hurdle",0,-2.273237,1.096378,3.369615,0.794
"33","ENSG00000078902","hurdle",0,-1.140226,1.450866,2.591092,0.794
"266","ENSG00000236451","hurdle",0,-2.470652,2.856975,5.327627,0.792
"148","ENSG00000157470","hurdle",0,-0.8159235,1.9190765,2.735,0.79
"272","ENSG00000248455","hurdle",0,-2.820474,1.646938,4.467412,0.789
"78","ENSG00000118160","hurdle",0,-1.577213,1.270317,2.84753,0.789
"69","ENSG00000113749","hurdle",0,-1.78591,1.443509,3.229419,0.788
"264","ENSG00000233928","hurdle",0,-1.14839,2.60077,3.74916,0.787
"259","ENSG00000228566","hurdle",0,-1.049466,4.135055,5.184521,0.787
"119","ENSG00000141668","hurdle",0,-1.83501,3.104354,4.939364,0.786
"151","ENSG00000160963","hurdle",0,-1.428654,2.047151,3.475805,0.784
"162","ENSG00000164236","hurdle",0,-1.084043,2.054758,3.138801,0.781
"214","ENSG00000178531","hurdle",0,-1.775569,1.06881,2.844379,0.78
"70","ENSG00000113763","hurdle",0,-1.994484,1.044911,3.039395,0.78
"198","ENSG00000174514","hurdle",0,-2.1791612,0.9335638,3.112725,0.778
"111","ENSG00000137267","hurdle",0,-0.4459922,2.1790248,2.625017,0.778
"18","ENSG00000063180","hurdle",0,-1.260159,1.162453,2.422612,0.777
"250","ENSG00000215218","hurdle",0,-1.294422,1.31033,2.604752,0.775
"7","ENSG00000008853","hurdle",0,-1.60067,1.25933,2.86,0.775
"48","ENSG00000103316","hurdle",0,-2.228314,1.175076,3.40339,0.77
"11","ENSG00000029153","hurdle",0,-1.971232,1.296831,3.268063,0.77
"227","ENSG00000182870","hurdle",0,-1.790319,1.087457,2.877776,0.769
"207","ENSG00000176171","hurdle",0,-0.7979736,1.6185847,2.4165583,0.769
"107","ENSG00000135519","hurdle",0,-2.1493203,0.7862381,2.9355584,0.769
"26","ENSG00000072657","hurdle",0,0.0247211,3.0104,2.9856789,0.765
"110","ENSG00000136535","hurdle",0,-2.6864538,0.6154357,3.3018895,0.764
"82","ENSG00000121753","hurdle",0,-1.4624352,0.9532795,2.4157147,0.764
"275","ENSG00000251141","hurdle",0,-0.8990289,1.9199681,2.818997,0.762
"247","ENSG00000197562","hurdle",0,-1.320151,1.215403,2.535554,0.762
"197","ENSG00000174145","hurdle",0,-1.011923,2.486958,3.498881,0.762
"55","ENSG00000105339","hurdle",0,-1.702215,1.424743,3.126958,0.761
"29","ENSG00000074706","hurdle",0,0.1614714,2.3191795,2.1577081,0.761
"8","ENSG00000011083","hurdle",0,-2.6594096,0.6071753,3.2665849,0.761
"283","ENSG00000285939","hurdle",0,-1.69777,3.229138,4.926908,0.76
"216","ENSG00000179456","hurdle",0,-1.165472,1.31176,2.477232,0.759
"175","ENSG00000167889","hurdle",0,-1.471638,1.446542,2.91818,0.758
"195","ENSG00000172575","hurdle",0,-1.793319,1.328806,3.122125,0.757
"191","ENSG00000171992","hurdle",0,-2.1404468,0.6297129,2.7701597,0.757
"147","ENSG00000156103","hurdle",0,1.357043,3.468811,2.111768,0.757
"203","ENSG00000175426","hurdle",0,-2.296123,1.07815,3.374273,0.756
"218","ENSG00000180155","hurdle",0,-1.447807,1.030835,2.478642,0.755
