"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Astro","log2fold_change","Auc"
"61","ENSG00000234377","hurdle",0,-0.9107694,3.3026889,4.2134583,0.892
"13","ENSG00000110436","hurdle",0,1.654632,5.411065,3.756433,0.864
"48","ENSG00000164199","hurdle",0,0.07573211,4.03264283,3.95691072,0.861
"55","ENSG00000179399","hurdle",0,1.813891,4.699532,2.885641,0.838
"26","ENSG00000135540","hurdle",0,-1.768433,2.262861,4.031294,0.827
"63","ENSG00000236790","hurdle",0,0.007673126,2.573855202,2.566182076,0.811
"33","ENSG00000142611","hurdle",0,-2.581974,1.061731,3.643705,0.806
"11","ENSG00000106571","hurdle",0,-2.546361,1.456746,4.003107,0.798
"9","ENSG00000080573","hurdle",0,-1.674333,1.660069,3.334402,0.79
"29","ENSG00000138696","hurdle",0,-0.91709,1.850462,2.767552,0.788
"44","ENSG00000154930","hurdle",0,-2.30156,0.9839394,3.2854994,0.786
"57","ENSG00000182902","hurdle",0,-2.254223,1.126269,3.380492,0.785
"4","ENSG00000068078","hurdle",0,-2.6404369,0.5594546,3.1998915,0.783
"32","ENSG00000140022","hurdle",0,-2.267004,1.189476,3.45648,0.782
"10","ENSG00000103740","hurdle",0,-2.315453,0.935282,3.250735,0.779
"15","ENSG00000111783","hurdle",0,-0.7867592,2.0803773,2.8671365,0.777
"36","ENSG00000144749","hurdle",0,-0.911183,1.880315,2.791498,0.773
"41","ENSG00000149090","hurdle",0,-1.294582,1.493137,2.787719,0.772
"6","ENSG00000076555","hurdle",0,-1.750373,1.031896,2.782269,0.762
"5","ENSG00000072952","hurdle",0,-2.4584998,0.7454755,3.2039753,0.756
"53","ENSG00000172987","hurdle",0,-0.9804021,2.6664282,3.6468303,0.754
"45","ENSG00000162390","hurdle",0,-0.6525057,1.3241598,1.9766655,0.752
"3","ENSG00000064655","hurdle",0,-2.0391538,0.7250018,2.7641556,0.752
"25","ENSG00000135063","hurdle",0,-2.248332,1.018356,3.266688,0.75
"38","ENSG00000147509","hurdle",0,-1.841739,1.301391,3.14313,0.745
"47","ENSG00000164188","hurdle",0,-1.800065,1.168821,2.968886,0.742
"8","ENSG00000080493","hurdle",0,0.5778103,2.6054172,2.0276069,0.741
"18","ENSG00000114790","hurdle",0,-1.838982,0.9486816,2.7876636,0.738
"58","ENSG00000183579","hurdle",0,0.2454721,2.4253049,2.1798328,0.737
"37","ENSG00000146005","hurdle",0,-1.713564,0.774592,2.488156,0.736
"12","ENSG00000107249","hurdle",0,1.343215,2.502195,1.15898,0.734
"2","ENSG00000056487","hurdle",0,-1.753058,0.68271,2.435768,0.732
"62","ENSG00000236197","hurdle",0,-0.425901,2.254906,2.680807,0.728
"52","ENSG00000171885","hurdle",0,-1.397452,1.388033,2.785485,0.727
"31","ENSG00000139155","hurdle",0,-2.3041379,0.8033403,3.1074782,0.726
"59","ENSG00000197360","hurdle",0,-1.223515,2.19147,3.414985,0.723
"14","ENSG00000110693","hurdle",0,1.118787,1.749805,0.631018,0.719
"68","ENSG00000262655","hurdle",0,-0.1243575,1.4249606,1.5493181,0.716
"64","ENSG00000243069","hurdle",0,-1.6314468,0.6923904,2.3238372,0.704
"43","ENSG00000152990","hurdle",0,-1.10073,1.022824,2.123554,0.699
"21","ENSG00000130203","hurdle",0,-1.4832551,0.6215736,2.1048287,0.693
"56","ENSG00000182175","hurdle",0,-1.4048594,0.3696151,1.7744745,0.691
"60","ENSG00000226476","hurdle",0,-0.8641773,0.9872354,1.8514127,0.688
"34","ENSG00000143603","hurdle",0,-0.4406036,0.9916183,1.4322219,0.677
"69","ENSG00000286288","hurdle",0,-0.3499915,1.2580858,1.6080773,0.673
"49","ENSG00000166839","hurdle",0,-0.08267503,1.10872307,1.1913981,0.667
"35","ENSG00000144040","hurdle",9.35726195074726e-300,1.225647,2.265125,1.039478,0.663
"50","ENSG00000167614","hurdle",4.47723119906123e-256,-0.2958576,0.6042669,0.9001245,0.647
"46","ENSG00000163453","hurdle",0,-1.54867614,-0.09481694,1.4538592,0.639
"17","ENSG00000113721","hurdle",0,-1.4116466,-0.1480604,1.2635862,0.638
"28","ENSG00000138639","hurdle",3.41015885798304e-298,1.094115,1.823467,0.729352,0.637
"30","ENSG00000138771","hurdle",3.5423933376429e-220,0.7277324,1.4575384,0.729806,0.632
"20","ENSG00000128849","hurdle",0,-1.856201,-0.4219915,1.4342095,0.629
"40","ENSG00000148672","hurdle",0,0.1082117,1.3565205,1.2483088,0.625
"39","ENSG00000148660","hurdle",2.84300447858534e-160,1.447552,1.949536,0.501984,0.623
"51","ENSG00000168710","hurdle",1.79129844095542e-218,0.3294491,1.2586921,0.929243,0.614
"22","ENSG00000130287","hurdle",3.42135781064608e-150,-0.2082435,0.6335425,0.841786,0.608
"23","ENSG00000132321","hurdle",7.64500060667713e-144,-0.1161685,0.6601724,0.7763409,0.606
"42","ENSG00000152518","hurdle",3.11261356879985e-321,-2.2841784,-0.6613313,1.6228471,0.602
"16","ENSG00000113645","hurdle",8.76276701810568e-158,0.1298844,0.7022292,0.5723448,0.602
"19","ENSG00000116132","hurdle",2.76016812318047e-198,-0.93222653,0.01511256,0.94733909,0.601
"27","ENSG00000138185","hurdle",1.76108646651898e-265,-1.98972,-0.5090931,1.4806269,0.6
"24","ENSG00000132530","hurdle",4.57169409457869e-233,-2.339606,-1.40178,0.937826,0.574
"54","ENSG00000174628","hurdle",2.65042104317013e-70,-0.1440936,0.4575252,0.6016188,0.572
"66","ENSG00000254087","hurdle",2.01433825089676e-150,-2.361059,-1.276161,1.084898,0.562
"65","ENSG00000250166","hurdle",3.04275394461382e-49,0.4301459,1.0596448,0.6294989,0.561
"1","ENSG00000026025","hurdle",6.83972466274477e-137,-2.348121,-1.410428,0.937693,0.56
"67","ENSG00000257585","hurdle",1.12164291257862e-83,0.09099233,1.4695024,1.37851007,0.559
"7","ENSG00000079308","hurdle",5.29873133582281e-73,-1.3982489,-0.8861246,0.5121243,0.559
