"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Oligo","log2fold_change","Auc"
"1","ENSG00000005893","hurdle",0,-0.2829541,0.893205,1.1761591,0.667
"9","ENSG00000078269","hurdle",0,0.3959321,1.2192713,0.8233392,0.657
"64","ENSG00000197892","hurdle",0,-0.1871746,1.0553657,1.2425403,0.653
"39","ENSG00000150510","hurdle",0,-0.9072846,0.3819914,1.289276,0.648
"73","ENSG00000275832","hurdle",0,-0.9686223,0.2307378,1.1993601,0.642
"11","ENSG00000080822","hurdle",0,-0.4896255,0.5520473,1.0416728,0.638
"14","ENSG00000092871","hurdle",0,-0.2962708,0.8530792,1.14935,0.635
"21","ENSG00000108387","hurdle",0,-0.97857316,-0.00498799,0.97358517,0.632
"23","ENSG00000112893","hurdle",0,2.050922,2.667497,0.616575,0.627
"48","ENSG00000165566","hurdle",0,-0.4153944,0.4913551,0.9067495,0.625
"42","ENSG00000151552","hurdle",0,0.2213369,0.9589236,0.7375867,0.613
"10","ENSG00000080815","hurdle",1.19405825734722e-285,0.3981208,1.0737907,0.6756699,0.601
"58","ENSG00000184221","hurdle",0,-2.403243,-1.275729,1.127514,0.59
"29","ENSG00000125703","hurdle",4.69234633472533e-174,0.09555488,0.64101621,0.54546133,0.579
"72","ENSG00000265972","hurdle",3.69110399187653e-272,-2.242343,-1.573066,0.669277,0.554
