"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Oligo","log2fold_change","Auc"
"27","ENSG00000123560","hurdle",0,-0.1789767,3.7847354,3.9637121,0.937
"38","ENSG00000147488","hurdle",0,-1.325726,3.843306,5.169032,0.935
"52","ENSG00000168314","hurdle",0,-1.31773,2.550778,3.868508,0.895
"65","ENSG00000197971","hurdle",0,1.580726,3.988452,2.407726,0.893
"13","ENSG00000091513","hurdle",0,-1.105845,2.267503,3.373348,0.869
"60","ENSG00000187147","hurdle",0,0.565316,3.58468,3.019364,0.867
"37","ENSG00000147459","hurdle",0,-1.448623,2.205687,3.65431,0.858
"33","ENSG00000136960","hurdle",0,-1.737663,1.890872,3.628535,0.857
"24","ENSG00000114541","hurdle",0,-0.5263757,2.480642,3.0070177,0.848
"46","ENSG00000164124","hurdle",0,-1.095454,2.161466,3.25692,0.839
"50","ENSG00000167123","hurdle",0,-1.931465,1.370237,3.301702,0.819
"66","ENSG00000204655","hurdle",0,-2.6263813,0.9653134,3.5916947,0.817
"54","ENSG00000174607","hurdle",0,-2.14514,1.313982,3.459122,0.815
"69","ENSG00000253877","hurdle",0,-2.469055,1.722835,4.19189,0.814
"40","ENSG00000150656","hurdle",0,-2.413668,1.211572,3.62524,0.811
"17","ENSG00000103089","hurdle",0,-2.486343,1.0347,3.521043,0.807
"7","ENSG00000065809","hurdle",0,-1.962728,1.281555,3.244283,0.807
"6","ENSG00000054690","hurdle",0,-0.3604872,2.1081567,2.4686439,0.805
"61","ENSG00000188153","hurdle",0,-2.247146,1.104294,3.35144,0.799
"4","ENSG00000013297","hurdle",0,-2.4274018,0.8023442,3.229746,0.791
"56","ENSG00000183230","hurdle",0,2.133663,4.072911,1.939248,0.79
"44","ENSG00000158352","hurdle",0,-2.168727,1.184268,3.352995,0.788
"49","ENSG00000165959","hurdle",0,-0.7462591,1.6242575,2.3705166,0.787
"41","ENSG00000150867","hurdle",0,0.8911543,3.0655064,2.1743521,0.787
"71","ENSG00000259070","hurdle",0,-2.349797,1.060518,3.410315,0.78
"67","ENSG00000227088","hurdle",0,-1.723578,2.018795,3.742373,0.779
"53","ENSG00000173786","hurdle",0,-1.009864,1.286775,2.296639,0.778
"70","ENSG00000257585","hurdle",0,-0.8003324,1.9031034,2.7034358,0.774
"12","ENSG00000086205","hurdle",0,-2.8446955,0.5828774,3.4275729,0.767
"45","ENSG00000158865","hurdle",0,-2.392727,1.535176,3.927903,0.763
"35","ENSG00000141338","hurdle",0,-2.6131442,0.5917798,3.204924,0.762
"62","ENSG00000196187","hurdle",0,-2.4636293,0.5937116,3.0573409,0.761
"28","ENSG00000124920","hurdle",0,-2.6965037,0.3387699,3.0352736,0.761
"20","ENSG00000108381","hurdle",0,-2.6852562,0.4539458,3.139202,0.761
"15","ENSG00000099194","hurdle",0,-0.9581858,1.208309,2.1664948,0.759
"59","ENSG00000186417","hurdle",0,-1.127893,1.219101,2.346994,0.757
"18","ENSG00000105695","hurdle",0,-2.6960931,0.2078734,2.9039665,0.752
"2","ENSG00000011426","hurdle",0,-2.209453,0.5924826,2.8019356,0.751
"25","ENSG00000117266","hurdle",0,-0.9992528,1.1071857,2.1064385,0.75
"63","ENSG00000197430","hurdle",0,-2.7203083,0.3976577,3.117966,0.744
"3","ENSG00000012124","hurdle",0,-2.9367542,0.2043145,3.1410687,0.743
"75","ENSG00000286749","hurdle",0,-1.358484,2.098232,3.456716,0.742
"43","ENSG00000154864","hurdle",0,-1.7692698,0.8130118,2.5822816,0.741
"32","ENSG00000136541","hurdle",0,-2.5914124,0.1459064,2.7373188,0.733
"26","ENSG00000122367","hurdle",0,-2.253173,0.4040771,2.6572501,0.733
"34","ENSG00000140479","hurdle",0,-0.5495974,1.4446151,1.9942125,0.732
"5","ENSG00000028116","hurdle",0,-2.3585409,0.6946133,3.0531542,0.73
"74","ENSG00000285051","hurdle",0,-0.663016,1.73283,2.395846,0.728
"31","ENSG00000135362","hurdle",0,-2.3343808,0.5369751,2.8713559,0.727
"36","ENSG00000141540","hurdle",0,-2.3515735,0.1969394,2.5485129,0.725
"8","ENSG00000070214","hurdle",0,1.954094,3.182618,1.228524,0.72
"16","ENSG00000100142","hurdle",0,-0.2639671,1.4582706,1.7222377,0.718
"68","ENSG00000227115","hurdle",0,-1.7348136,0.6600821,2.3948957,0.716
"57","ENSG00000184144","hurdle",0,-0.9397218,0.7009816,1.6407034,0.71
"51","ENSG00000168297","hurdle",0,0.4421439,1.9742927,1.5321488,0.708
"55","ENSG00000176485","hurdle",0,-1.4945565,0.3529412,1.8474977,0.702
"47","ENSG00000164161","hurdle",0,-0.439931,1.126603,1.566534,0.694
"30","ENSG00000134851","hurdle",0,0.5816819,2.0194481,1.4377662,0.692
"19","ENSG00000107331","hurdle",0,-0.5617005,0.7130691,1.2747696,0.679
"22","ENSG00000109846","hurdle",0,-1.3203375,0.3141627,1.6345002,0.667
