"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"26","ENSG00000107099","hurdle",0,-2.725664,2.364739,5.090403,0.942
"13","ENSG00000077420","hurdle",0,-2.85272,2.465905,5.318625,0.93
"61","ENSG00000168918","hurdle",0,-1.86432,1.824401,3.688721,0.9
"7","ENSG00000059377","hurdle",0,-2.7094,1.555252,4.264652,0.883
"6","ENSG00000042980","hurdle",0,-2.285897,1.524886,3.810783,0.882
"11","ENSG00000073849","hurdle",0,0.4392296,3.0264628,2.5872332,0.864
"30","ENSG00000120594","hurdle",0,2.083025,4.151946,2.068921,0.86
"71","ENSG00000198879","hurdle",0,0.9387381,3.1221957,2.1834576,0.854
"34","ENSG00000125730","hurdle",0,-2.97831,1.066522,4.044832,0.854
"16","ENSG00000082074","hurdle",0,-3.003192,1.227186,4.230378,0.848
"67","ENSG00000182578","hurdle",0,-2.9797619,0.9663133,3.9460752,0.844
"33","ENSG00000125257","hurdle",0,-1.138627,1.720772,2.859399,0.838
"39","ENSG00000134516","hurdle",0,-1.418595,1.347154,2.765749,0.836
"43","ENSG00000138639","hurdle",0,1.058781,2.886514,1.827733,0.835
"76","ENSG00000266028","hurdle",0,0.7709926,2.735717,1.9647244,0.83
"23","ENSG00000104043","hurdle",0,-0.9611449,1.5963616,2.5575065,0.829
"41","ENSG00000136250","hurdle",0,-1.324416,1.355982,2.680398,0.82
"75","ENSG00000254087","hurdle",0,-2.6090576,0.8401156,3.4491732,0.813
"44","ENSG00000139679","hurdle",0,-1.7975086,0.8886208,2.6861294,0.811
"15","ENSG00000081237","hurdle",0,-2.9014165,0.6504948,3.5519113,0.806
"58","ENSG00000165025","hurdle",0,-2.8423074,0.6738417,3.5161491,0.803
"24","ENSG00000106034","hurdle",0,-2.2370888,0.9570596,3.1941484,0.802
"60","ENSG00000168329","hurdle",0,-3.1342434,0.9556664,4.0899098,0.796
"49","ENSG00000146090","hurdle",0,-0.943028,1.450013,2.393041,0.792
"36","ENSG00000129667","hurdle",0,-3.083415,0.4153303,3.4987453,0.792
"62","ENSG00000169313","hurdle",0,-1.648724,1.342542,2.991266,0.791
"46","ENSG00000140678","hurdle",0,-3.191246,0.365141,3.556387,0.78
"78","ENSG00000273749","hurdle",0,0.0830425,1.8751489,1.7921064,0.776
"35","ENSG00000128815","hurdle",0,-2.8986676,0.3232611,3.2219287,0.773
"45","ENSG00000140548","hurdle",0,-1.213144,1.031244,2.244388,0.772
"53","ENSG00000155307","hurdle",0,-2.8655079,0.6337499,3.4992578,0.77
"77","ENSG00000273409","hurdle",0,-3.1076981,0.7384607,3.8461588,0.769
"50","ENSG00000148908","hurdle",0,-3.1407247,0.1882115,3.3289362,0.767
"42","ENSG00000138185","hurdle",0,-2.0224697,0.6470462,2.6695159,0.761
"47","ENSG00000142347","hurdle",0,-2.5525642,0.3029524,2.8555166,0.758
"48","ENSG00000145685","hurdle",0,-0.710855,1.378685,2.08954,0.757
"8","ENSG00000065413","hurdle",0,0.4262704,1.9519214,1.525651,0.752
"66","ENSG00000178573","hurdle",0,-1.5244145,0.5432748,2.0676893,0.751
"56","ENSG00000163219","hurdle",0,-1.9821086,0.6822897,2.6643983,0.75
"1","ENSG00000019582","hurdle",0,-2.8747392,0.2956294,3.1703686,0.749
"28","ENSG00000112799","hurdle",0,-2.3069599,0.3901101,2.69707,0.748
"70","ENSG00000196782","hurdle",8.4066227697136e-296,0.8000176,2.0208226,1.220805,0.746
"17","ENSG00000087253","hurdle",0,-1.793035,0.614456,2.407491,0.745
"54","ENSG00000155629","hurdle",0,-3.0180308,0.1001603,3.1181911,0.744
"69","ENSG00000196369","hurdle",0,-0.2593901,1.3580926,1.6174827,0.741
"74","ENSG00000236963","hurdle",0,-2.4725698,0.1810757,2.6536455,0.738
"21","ENSG00000101096","hurdle",0,-2.4766636,0.1554143,2.6320779,0.731
"37","ENSG00000130066","hurdle",2.64309987151054e-284,0.07878977,1.67888832,1.60009855,0.73
"2","ENSG00000026297","hurdle",3.12512148267745e-312,-0.8366497,0.8360831,1.6727328,0.729
"68","ENSG00000196218","hurdle",0,-1.1333083,0.6372304,1.7705387,0.725
"55","ENSG00000161791","hurdle",4.68724020079084e-294,-0.6803527,0.9579877,1.6383404,0.725
"51","ENSG00000152518","hurdle",0,-2.2809033,0.3225407,2.603444,0.725
"22","ENSG00000101463","hurdle",4.84502686347884e-230,1.597417,2.844099,1.246682,0.725
"27","ENSG00000109794","hurdle",0,-1.562211,0.492938,2.055149,0.709
"19","ENSG00000100599","hurdle",5.74131948143696e-318,-1.536878,0.3693326,1.9062106,0.708
"63","ENSG00000170677","hurdle",1.13182759682928e-295,-0.9929362,0.7395405,1.7324767,0.686
"9","ENSG00000068305","hurdle",9.80849170182884e-139,2.334429,2.887976,0.553547,0.685
"29","ENSG00000114450","hurdle",1.27387118200645e-194,-0.8108563,0.3290115,1.1398678,0.679
"73","ENSG00000227082","hurdle",2.26512007076056e-160,-0.1683102,0.9986928,1.167003,0.675
"25","ENSG00000106799","hurdle",2.93751340737831e-204,-1.2532759,0.3029524,1.5562283,0.672
"64","ENSG00000171943","hurdle",3.6061859357581e-152,-0.176908,0.9449404,1.1218484,0.67
"4","ENSG00000027697","hurdle",3.213019807003e-201,-1.0697014,0.3225407,1.3922421,0.67
"12","ENSG00000074706","hurdle",5.04557602335575e-130,1.461784,2.342702,0.880918,0.664
"31","ENSG00000123095","hurdle",2.33433719779763e-164,-0.9217932,0.3153168,1.23711,0.66
"5","ENSG00000033867","hurdle",3.39583943478631e-120,0.3130436,1.2011636,0.88812,0.658
"14","ENSG00000079277","hurdle",6.48874652583093e-102,-0.2116381,0.6109202,0.8225583,0.642
"32","ENSG00000124813","hurdle",6.10355847321174e-117,-0.409608,0.3058712,0.7154792,0.635
"20","ENSG00000100647","hurdle",4.18283696948272e-78,-0.2442309,0.4092361,0.653467,0.622
"10","ENSG00000071073","hurdle",2.7636943023967e-68,0.6161806,1.1929098,0.5767292,0.622
"3","ENSG00000027075","hurdle",4.94042087235816e-122,-1.2844615,-0.3182158,0.9662457,0.611
"38","ENSG00000132530","hurdle",3.06952864249222e-162,-2.303969,-1.065253,1.238716,0.604
"40","ENSG00000135540","hurdle",4.20984446467101e-90,-0.7416642,0.08409827,0.82576247,0.603
"18","ENSG00000100280","hurdle",9.86181873205825e-49,-0.3973955,0.1358642,0.5332597,0.595
"59","ENSG00000167693","hurdle",1.48635573942992e-65,-1.2796,-0.5947729,0.6848271,0.589
"72","ENSG00000204592","hurdle",4.50647321326719e-127,-2.123269,-1.368401,0.754868,0.586
"65","ENSG00000173436","hurdle",1.57368488729324e-42,-0.1216593,0.5592633,0.6809226,0.585
"57","ENSG00000164733","hurdle",1.66190598847801e-30,0.3752056,0.9644673,0.5892617,0.577
"52","ENSG00000152953","hurdle",1.53446375947065e-46,-1.663731,-1.117085,0.546646,0.555
