"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"417","ENSG00000128683","hurdle",0,-1.871716,3.015619,4.887335,0.926
"671","ENSG00000151789","hurdle",0,1.203126,4.65437,3.451244,0.923
"907","ENSG00000171189","hurdle",0,0.8051733,5.8616706,5.0564973,0.915
"584","ENSG00000144642","hurdle",0,1.637274,4.894618,3.257344,0.913
"658","ENSG00000151136","hurdle",0,-1.560157,3.467452,5.027609,0.912
"494","ENSG00000136750","hurdle",0,-2.165703,3.120188,5.285891,0.911
"723","ENSG00000157103","hurdle",0,-0.07393365,2.86133858,2.93527223,0.888
"582","ENSG00000144596","hurdle",0,-2.546442,1.737267,4.283709,0.887
"1091","ENSG00000188158","hurdle",0,-0.3596936,2.5631522,2.9228458,0.886
"39","ENSG00000029534","hurdle",0,-1.390784,2.071578,3.462362,0.884
"1088","ENSG00000187957","hurdle",0,0.4007643,3.034929,2.6341647,0.869
"30","ENSG00000017427","hurdle",0,-2.762626,1.409979,4.172605,0.843
"710","ENSG00000155974","hurdle",0,2.29391,4.605835,2.311925,0.841
"1302","ENSG00000259905","hurdle",0,0.8297968,3.1843042,2.3545074,0.835
"1152","ENSG00000198785","hurdle",0,-0.5883682,2.3257738,2.914142,0.835
"864","ENSG00000168916","hurdle",0,-0.3818504,2.2000602,2.5819106,0.834
"1227","ENSG00000232044","hurdle",0,-0.8596669,1.8965097,2.7561766,0.832
"1111","ENSG00000196104","hurdle",0,1.627306,3.859941,2.232635,0.832
"1052","ENSG00000185053","hurdle",0,2.951232,5.585567,2.634335,0.832
"649","ENSG00000150275","hurdle",0,1.161365,4.03845,2.877085,0.832
"784","ENSG00000163630","hurdle",0,1.00335,4.201832,3.198482,0.83
"716","ENSG00000156273","hurdle",0,-0.6890242,2.1124567,2.8014809,0.83
"1044","ENSG00000184408","hurdle",0,3.302665,5.910054,2.607389,0.829
"708","ENSG00000155897","hurdle",0,0.2411181,2.5510359,2.3099178,0.829
"948","ENSG00000174473","hurdle",0,2.694932,6.472667,3.777735,0.827
"885","ENSG00000169855","hurdle",0,2.85471,4.952445,2.097735,0.827
"1050","ENSG00000185008","hurdle",0,5.437805,6.896014,1.458209,0.825
"684","ENSG00000152932","hurdle",0,1.82088,3.478757,1.657877,0.821
"207","ENSG00000103460","hurdle",0,-1.638759,1.547533,3.186292,0.818
"905","ENSG00000171094","hurdle",0,-0.8719492,2.3033949,3.1753441,0.811
"871","ENSG00000169122","hurdle",0,0.05400735,2.18460107,2.13059372,0.809
"1164","ENSG00000203727","hurdle",0,-0.1938627,2.8080382,3.0019009,0.808
"992","ENSG00000180287","hurdle",0,-0.1315201,2.7239762,2.8554963,0.808
"611","ENSG00000146555","hurdle",0,1.080316,3.369508,2.289192,0.806
"898","ENSG00000170579","hurdle",0,5.292548,6.792658,1.50011,0.805
"1263","ENSG00000244694","hurdle",0,0.728772,2.844486,2.115714,0.804
"653","ENSG00000150556","hurdle",0,-2.139412,1.561954,3.701366,0.801
"1105","ENSG00000189056","hurdle",0,-2.08229,2.746412,4.828702,0.799
"709","ENSG00000155966","hurdle",0,-0.2449382,2.0190271,2.2639653,0.799
"1195","ENSG00000218336","hurdle",0,1.941469,3.58028,1.638811,0.797
"1066","ENSG00000185736","hurdle",0,0.2858489,5.0552901,4.7694412,0.797
"8","ENSG00000005108","hurdle",0,0.3864377,2.6424988,2.2560611,0.797
"783","ENSG00000163618","hurdle",0,3.660223,4.967918,1.307695,0.796
"728","ENSG00000157388","hurdle",0,2.485904,3.89636,1.410456,0.795
"698","ENSG00000154217","hurdle",0,1.727438,3.017391,1.289953,0.794
"580","ENSG00000144460","hurdle",0,0.8213477,3.8097525,2.9884048,0.794
"596","ENSG00000145730","hurdle",0,1.828911,3.357055,1.528144,0.793
"574","ENSG00000144278","hurdle",0,1.906899,4.371306,2.464407,0.792
"44","ENSG00000041515","hurdle",0,0.1624879,2.8381556,2.6756677,0.791
"1182","ENSG00000206052","hurdle",0,2.003992,3.780027,1.776035,0.79
"1084","ENSG00000187123","hurdle",0,-2.391285,1.384191,3.775476,0.787
"327","ENSG00000116729","hurdle",0,-0.2856297,2.0456364,2.3312661,0.787
"79","ENSG00000069667","hurdle",0,4.026363,5.428173,1.40181,0.786
"1005","ENSG00000181072","hurdle",0,0.1315085,4.014097,3.8825885,0.784
"119","ENSG00000082805","hurdle",0,2.406592,3.614156,1.207564,0.784
"1183","ENSG00000206579","hurdle",0,2.939415,4.119073,1.179658,0.783
"901","ENSG00000170873","hurdle",0,0.7412067,2.3096403,1.5684336,0.782
"583","ENSG00000144619","hurdle",0,3.59709,4.832264,1.235174,0.782
"1108","ENSG00000189337","hurdle",0,4.607577,5.729658,1.122081,0.78
"301","ENSG00000114805","hurdle",0,0.5791648,2.3535868,1.774422,0.779
"800","ENSG00000164512","hurdle",0,-2.0818863,0.8370268,2.9189131,0.778
"42","ENSG00000035862","hurdle",0,-0.3049799,1.5555377,1.8605176,0.778
"729","ENSG00000157404","hurdle",0,-2.661609,2.441814,5.103423,0.776
"278","ENSG00000112182","hurdle",0,1.186558,2.664029,1.477471,0.776
"811","ENSG00000165061","hurdle",0,2.129614,3.89431,1.764696,0.774
"156","ENSG00000100077","hurdle",0,1.6783,3.08932,1.41102,0.774
"1094","ENSG00000188559","hurdle",0,1.096181,2.994788,1.898607,0.773
"733","ENSG00000158089","hurdle",0,0.1052679,2.689472,2.5842041,0.773
"968","ENSG00000177103","hurdle",0,2.049652,3.181994,1.132342,0.772
"283","ENSG00000112419","hurdle",0,0.5870169,2.4484921,1.8614752,0.772
"692","ENSG00000153820","hurdle",0,0.2951544,3.8285835,3.5334291,0.771
"418","ENSG00000128739","hurdle",0,2.274375,3.293461,1.019086,0.77
"971","ENSG00000177679","hurdle",0,1.733961,2.838247,1.104286,0.769
"737","ENSG00000158458","hurdle",0,0.9930687,2.3109282,1.3178595,0.769
"634","ENSG00000148219","hurdle",0,2.886859,4.214021,1.327162,0.769
"930","ENSG00000172572","hurdle",0,-1.409242,2.584304,3.993546,0.767
"629","ENSG00000147724","hurdle",0,1.907077,3.096776,1.189699,0.767
"705","ENSG00000155052","hurdle",0,3.639437,4.683995,1.044558,0.766
"285","ENSG00000112530","hurdle",0,1.438542,2.764808,1.326266,0.766
"21","ENSG00000009413","hurdle",0,1.667412,2.831578,1.164166,0.766
"336","ENSG00000118276","hurdle",0,0.4654191,2.499223,2.0338039,0.765
"1175","ENSG00000204764","hurdle",0,0.6910085,2.0062989,1.3152904,0.764
"953","ENSG00000175175","hurdle",0,1.873148,3.049819,1.176671,0.764
"463","ENSG00000134215","hurdle",0,-0.3389571,2.6331994,2.9721565,0.764
"180","ENSG00000101333","hurdle",0,0.9221458,2.7360208,1.813875,0.764
"1024","ENSG00000182836","hurdle",0,-0.368614,1.907497,2.276111,0.762
"542","ENSG00000141404","hurdle",0,0.2328096,1.7415613,1.5087517,0.761
"252","ENSG00000109265","hurdle",0,-0.4891831,1.88286,2.3720431,0.761
"736","ENSG00000158321","hurdle",0,4.069994,5.072287,1.002293,0.76
"529","ENSG00000139915","hurdle",0,4.519052,5.609557,1.090505,0.76
"1031","ENSG00000183166","hurdle",0,1.404252,3.074433,1.670181,0.759
"585","ENSG00000144868","hurdle",0,2.874466,3.905645,1.031179,0.759
"107","ENSG00000078177","hurdle",0,-1.2932841,0.9438237,2.2371078,0.759
"34","ENSG00000021645","hurdle",0,5.980345,6.937482,0.957137,0.758
"370","ENSG00000122547","hurdle",0,-0.4299931,1.4440121,1.8740052,0.757
"102","ENSG00000077044","hurdle",0,-0.7913339,1.4645162,2.2558501,0.757
"540","ENSG00000140945","hurdle",0,2.325839,3.819065,1.493226,0.755
"511","ENSG00000137968","hurdle",0,2.405878,3.532097,1.126219,0.755
"1062","ENSG00000185551","hurdle",0,-2.517028,1.132595,3.649623,0.754
"999","ENSG00000180875","hurdle",0,-1.075105,1.545525,2.62063,0.753
"939","ENSG00000173482","hurdle",0,0.9383949,3.13866,2.2002651,0.753
"340","ENSG00000118922","hurdle",0,1.654009,3.00559,1.351581,0.753
"1039","ENSG00000183783","hurdle",0,1.872957,3.7404,1.867443,0.752
"1197","ENSG00000224078","hurdle",0,5.970416,6.777738,0.807322,0.751
"1063","ENSG00000185565","hurdle",0,5.450988,6.385424,0.934436000000001,0.751
"935","ENSG00000173273","hurdle",0,2.251364,3.74522,1.493856,0.751
"792","ENSG00000164116","hurdle",0,-0.04823008,2.29672441,2.34495449,0.751
"508","ENSG00000137766","hurdle",0,1.635034,3.7597,2.124666,0.75
"700","ENSG00000154240","hurdle",0,1.384637,3.413505,2.028868,0.749
"642","ENSG00000148948","hurdle",0,4.205192,5.377027,1.171835,0.749
"4","ENSG00000003096","hurdle",0,-1.839274,1.127114,2.966388,0.749
"1315","ENSG00000269821","hurdle",0,1.263366,2.458749,1.195383,0.748
"694","ENSG00000154127","hurdle",0,-1.150803,1.35656,2.507363,0.745
"639","ENSG00000148516","hurdle",0,2.409144,3.829446,1.420302,0.745
