Sample,cellType_broad_hc,n_cell_sn,prop_sn
Br2720_mid,Astro,150,0.049439683586025046
Br2720_mid,EndoMural,37,0.012195121951219513
Br2720_mid,Micro,15,0.004943968358602505
Br2720_mid,Oligo,350,0.11535926170072512
Br2720_mid,OPC,396,0.13052076466710613
Br2720_mid,Excit,353,0.11634805537244562
Br2720_mid,Inhib,1733,0.571193144363876
Br2720_post,Astro,81,0.04287983059820011
Br2720_post,EndoMural,66,0.03493912122816305
Br2720_post,Micro,47,0.024880889359449446
Br2720_post,Oligo,377,0.19957649550026468
Br2720_post,OPC,26,0.013763896241397565
Br2720_post,Excit,1198,0.6341979883536263
Br2720_post,Inhib,94,0.04976177871889889
Br2743_ant,Astro,352,0.1443806398687449
Br2743_ant,EndoMural,100,0.04101722723543889
Br2743_ant,Micro,112,0.04593929450369155
Br2743_ant,Oligo,1173,0.4811320754716981
Br2743_ant,OPC,108,0.044298605414273995
Br2743_ant,Excit,497,0.20385561936013125
Br2743_ant,Inhib,96,0.03937653814602133
Br2743_mid,Astro,28,0.0103397341211226
Br2743_mid,EndoMural,7,0.00258493353028065
Br2743_mid,Micro,43,0.01587887740029542
Br2743_mid,Oligo,356,0.13146233382570163
Br2743_mid,OPC,145,0.053545051698670604
Br2743_mid,Excit,1452,0.5361890694239291
Br2743_mid,Inhib,677,0.25
Br3942_ant,Astro,420,0.08328375966686496
Br3942_ant,EndoMural,391,0.0775332143565338
Br3942_ant,Micro,169,0.03351179853261947
Br3942_ant,Oligo,420,0.08328375966686496
Br3942_ant,OPC,149,0.02954590521514971
Br3942_ant,Excit,2909,0.5768391830259766
Br3942_ant,Inhib,585,0.11600237953599048
Br3942_mid,Astro,214,0.066875
Br3942_mid,EndoMural,189,0.0590625
Br3942_mid,Micro,84,0.02625
Br3942_mid,Oligo,246,0.076875
Br3942_mid,OPC,64,0.02
Br3942_mid,Excit,2156,0.67375
Br3942_mid,Inhib,247,0.0771875
Br6423_ant,Astro,305,0.11566173682214638
Br6423_ant,EndoMural,93,0.03526734926052332
Br6423_ant,Micro,82,0.031095942358740993
Br6423_ant,Oligo,843,0.31968145620022753
Br6423_ant,OPC,48,0.01820250284414107
Br6423_ant,Excit,1130,0.428517254455821
Br6423_ant,Inhib,136,0.0515737580583997
Br6423_post,Astro,420,0.1554979637171418
Br6423_post,EndoMural,175,0.06479081821547575
Br6423_post,Micro,124,0.04590892262125139
Br6423_post,Oligo,738,0.27323213624583487
Br6423_post,OPC,70,0.0259163272861903
Br6423_post,Excit,978,0.36208811551277303
Br6423_post,Inhib,196,0.07256571640133284
Br6432_ant,Astro,136,0.04644808743169399
Br6432_ant,EndoMural,37,0.012636612021857924
Br6432_ant,Micro,37,0.012636612021857924
Br6432_ant,Oligo,363,0.12397540983606557
Br6432_ant,OPC,368,0.12568306010928962
Br6432_ant,Excit,181,0.06181693989071038
Br6432_ant,Inhib,1806,0.6168032786885246
Br6471_ant,Astro,8,0.00251414204902577
Br6471_ant,EndoMural,8,0.00251414204902577
Br6471_ant,Oligo,7,0.0021998742928975488
Br6471_ant,OPC,23,0.007228158390949088
Br6471_ant,Excit,660,0.20741671904462602
Br6471_ant,Inhib,2476,0.7781269641734758
Br6471_mid,Astro,347,0.07724844167408727
Br6471_mid,EndoMural,219,0.048753339269813
Br6471_mid,Micro,141,0.03138913624220837
Br6471_mid,Oligo,1291,0.28739982190561
Br6471_mid,OPC,90,0.020035618878005344
Br6471_mid,Excit,1819,0.4049421193232413
Br6471_mid,Inhib,585,0.13023152270703472
Br6522_mid,Astro,69,0.07309322033898305
