Sample,cellType_broad_hc,n_cell_sn,prop_sn
Br6522_mid,EndoMural,77,0.0815677966101695
Br6522_mid,Micro,49,0.05190677966101695
Br6522_mid,Oligo,163,0.17266949152542374
Br6522_mid,OPC,37,0.03919491525423729
Br6522_mid,Excit,452,0.4788135593220339
Br6522_mid,Inhib,97,0.1027542372881356
Br6522_post,Astro,51,0.05537459283387622
Br6522_post,EndoMural,43,0.04668838219326819
Br6522_post,Micro,34,0.03691639522258415
Br6522_post,Oligo,247,0.2681867535287731
Br6522_post,OPC,37,0.04017372421281216
Br6522_post,Excit,449,0.48751357220412594
Br6522_post,Inhib,60,0.06514657980456026
Br8325_ant,Astro,282,0.06056701030927835
Br8325_ant,EndoMural,174,0.037371134020618556
Br8325_ant,Micro,124,0.02663230240549828
Br8325_ant,Oligo,405,0.08698453608247422
Br8325_ant,OPC,84,0.01804123711340206
Br8325_ant,Excit,2767,0.594286941580756
Br8325_ant,Inhib,820,0.17611683848797252
Br8325_mid,Astro,255,0.06360688450985283
Br8325_mid,EndoMural,81,0.020204539785482666
Br8325_mid,Micro,115,0.028685457720129707
Br8325_mid,Oligo,954,0.2379645796956847
Br8325_mid,OPC,102,0.02544275380394113
Br8325_mid,Excit,1944,0.4849089548515839
Br8325_mid,Inhib,558,0.13918682963332502
Br8492_mid,Astro,263,0.07820398453761522
Br8492_mid,EndoMural,162,0.04817127564674398
Br8492_mid,Micro,184,0.05471305382099316
Br8492_mid,Oligo,452,0.1344038061254832
Br8492_mid,OPC,78,0.0231935771632471
Br8492_mid,Excit,1860,0.5530776092774309
Br8492_mid,Inhib,364,0.10823669342848648
Br8492_post,Astro,269,0.13959522573949143
Br8492_post,EndoMural,91,0.04722366372599896
Br8492_post,Micro,104,0.05396990140114167
Br8492_post,Oligo,341,0.1769590036325895
Br8492_post,OPC,39,0.020238713025428127
Br8492_post,Excit,889,0.461338868707836
Br8492_post,Inhib,194,0.10067462376751427
Br8667_ant,Astro,201,0.0472385428907168
Br8667_ant,EndoMural,126,0.029612220916568743
Br8667_ant,Micro,77,0.01809635722679201
Br8667_ant,Oligo,1817,0.42702702702702705
Br8667_ant,OPC,49,0.011515863689776733
Br8667_ant,Excit,1793,0.42138660399529965
Br8667_ant,Inhib,192,0.04512338425381904
Br8667_mid,Astro,128,0.06037735849056604
Br8667_mid,EndoMural,81,0.03820754716981132
Br8667_mid,Micro,60,0.02830188679245283
Br8667_mid,Oligo,351,0.16556603773584905
Br8667_mid,OPC,27,0.012735849056603774
Br8667_mid,Excit,1322,0.6235849056603774
Br8667_mid,Inhib,151,0.07122641509433962
