Sample,cell_type,Combo,n_cell_sn,prop_sn
Br8325_ant,Micro,Star,124,0.018343195266272188
Br8325_ant,OligoOPC,Star,489,0.07233727810650888
Br8325_ant,Other,Circle,1276,0.5
Br8325_ant,Other,Star,3380,0.5
Br8325_mid,Astro,Circle,255,0.14261744966442952
Br8325_mid,EndoMural,Circle,81,0.04530201342281879
Br8325_mid,Excit,Star,1944,0.31203852327447834
Br8325_mid,Inhib,Circle,558,0.31208053691275167
Br8325_mid,Micro,Star,115,0.018459069020866775
Br8325_mid,OligoOPC,Star,1056,0.16950240770465488
Br8325_mid,Other,Circle,894,0.5
Br8325_mid,Other,Star,3115,0.5
Br8492_mid,Astro,Circle,263,0.16666666666666666
Br8492_mid,EndoMural,Circle,162,0.10266159695817491
Br8492_mid,Excit,Star,1860,0.3613053613053613
Br8492_mid,Inhib,Circle,364,0.23067173637515842
Br8492_mid,Micro,Star,184,0.035742035742035744
Br8492_mid,OligoOPC,Star,530,0.10295260295260296
Br8492_mid,Other,Circle,789,0.5
Br8492_mid,Other,Star,2574,0.5
Br8492_post,Astro,Circle,269,0.2427797833935018
Br8492_post,EndoMural,Circle,91,0.08212996389891697
Br8492_post,Excit,Star,889,0.3237436270939548
Br8492_post,Inhib,Circle,194,0.17509025270758122
Br8492_post,Micro,Star,104,0.037873270211216316
Br8492_post,OligoOPC,Star,380,0.13838310269482884
Br8492_post,Other,Circle,554,0.5
Br8492_post,Other,Star,1373,0.5
Br8667_ant,Astro,Circle,201,0.1936416184971098
Br8667_ant,EndoMural,Circle,126,0.12138728323699421
Br8667_ant,Excit,Star,1793,0.2399625267665953
Br8667_ant,Inhib,Circle,192,0.18497109826589594
Br8667_ant,Micro,Star,77,0.010305139186295503
Br8667_ant,OligoOPC,Star,1866,0.2497323340471092
Br8667_ant,Other,Circle,519,0.5
Br8667_ant,Other,Star,3736,0.5
Br8667_mid,Astro,Circle,128,0.17777777777777778
Br8667_mid,EndoMural,Circle,81,0.1125
Br8667_mid,Excit,Star,1322,0.3755681818181818
Br8667_mid,Inhib,Circle,151,0.20972222222222223
Br8667_mid,Micro,Star,60,0.017045454545454544
Br8667_mid,OligoOPC,Star,378,0.10738636363636364
Br8667_mid,Other,Circle,360,0.5
Br8667_mid,Other,Star,1760,0.5
