Sample,cell_type,n_cell,prop,Combo,n_cell_sn,prop_sn
Br2720_mid,Astro,6136,0.21728814759729453,Circle,150,0.049439683586025046
Br2720_mid,Endo,2219,0.07857926980417154,Circle,37,0.012195121951219513
Br2720_mid,Inhib,4333,0.1534402776302277,Circle,1733,0.571193144363876
Br2720_mid,Other,15551,0.5506923049683062,Circle,1114,0.3671720500988794
Br2720_post,Astro,4031,0.15866955323755166,Circle,81,0.04287983059820011
Br2720_post,Endo,1777,0.06994686085416256,Circle,66,0.03493912122816305
Br2720_post,Excit,9321,0.3668962802597914,Star,1198,0.6341979883536263
Br2720_post,Inhib,3495,0.13757134422357803,Circle,94,0.04976177871889889
Br2720_post,Micro,1432,0.056366856917929545,Star,47,0.024880889359449446
Br2720_post,Oligo,5349,0.2105491045069868,Star,403,0.21334039174166225
Br2743_ant,Astro,32628,0.5344296665137915,Circle,352,0.1443806398687449
Br2743_ant,Endo,7342,0.1202581406014545,Circle,100,0.04101722723543889
Br2743_ant,Excit,8921,0.14612133918626743,Star,497,0.20385561936013125
Br2743_ant,Inhib,2993,0.04902378300465177,Circle,96,0.03937653814602133
Br2743_ant,Micro,3215,0.05266002751752604,Star,112,0.04593929450369155
Br2743_ant,Oligo,5953,0.09750704317630872,Star,1281,0.5254306808859721
Br3942_ant,Astro,3714,0.06983303249097472,Circle,420,0.08328375966686496
Br3942_ant,Endo,3043,0.05721645607701564,Circle,391,0.0775332143565338
Br3942_ant,Inhib,7475,0.14054978941034899,Circle,585,0.11600237953599048
Br3942_ant,Other,38952,0.7324007220216606,Circle,3647,0.7231806464406108
Br3942_mid,Astro,2436,0.11582350703689616,Circle,214,0.066875
Br3942_mid,Endo,1013,0.04816470140737923,Circle,189,0.0590625
Br3942_mid,Excit,12031,0.572033092430582,Star,2156,0.67375
Br3942_mid,Inhib,4136,0.19665271966527198,Circle,247,0.0771875
Br3942_mid,Micro,350,0.016641308482312666,Star,84,0.02625
Br3942_mid,Oligo,1066,0.05068467097755801,Star,310,0.096875
Br3942_post,Astro,5973,0.10228090003082298,NA,NA,NA
Br3942_post,Endo,3049,0.05221069214699134,NA,NA,NA
Br3942_post,Inhib,6572,0.11253810061988424,NA,NA,NA
Br3942_post,Other,42804,0.7329703072023015,NA,NA,NA
Br6423_ant,Astro,17706,0.3561930435132471,Circle,305,0.11566173682214638
Br6423_ant,Endo,2204,0.04433804743607797,Circle,93,0.03526734926052332
Br6423_ant,Inhib,3613,0.0726830151481623,Circle,136,0.0515737580583997
Br6423_ant,Other,26186,0.5267858939025126,Circle,2103,0.7974971558589306
Br6423_post,Astro,9539,0.2861299418081469,Circle,420,0.1554979637171418
Br6423_post,Endo,1501,0.045023696682464455,Circle,175,0.06479081821547575
Br6423_post,Excit,14551,0.4364688943547903,Star,978,0.36208811551277303
Br6423_post,Inhib,4737,0.1420901073849661,Circle,196,0.07256571640133284
Br6423_post,Micro,1095,0.032845401643769874,Star,124,0.04590892262125139
Br6423_post,Oligo,1915,0.05744195812586238,Star,808,0.2991484635320252
Br6432_ant,Astro,14595,0.4178954903364352,Circle,136,0.04644808743169399
Br6432_ant,Endo,3169,0.09073729420186114,Circle,37,0.012636612021857924
Br6432_ant,Excit,1624,0.04649964209019327,Star,181,0.06181693989071038
Br6432_ant,Inhib,3951,0.11312813171080888,Circle,1806,0.6168032786885246
Br6432_ant,Micro,5429,0.15544738725841087,Star,37,0.012636612021857924
Br6432_ant,Oligo,6157,0.17629205440229062,Star,731,0.2496584699453552
Br6432_mid,Astro,7885,0.16341291552681755,NA,NA,NA
Br6432_mid,Endo,1371,0.028413330017408606,NA,NA,NA
Br6432_mid,Inhib,5186,0.10747741026278704,NA,NA,NA
Br6432_mid,Other,33810,0.7006963441929868,NA,NA,NA
Br6432_post,Astro,17871,0.46413359650945357,NA,NA,NA
Br6432_post,Endo,2430,0.06311032619987533,NA,NA,NA
Br6432_post,Excit,3910,0.10154789112819447,NA,NA,NA
Br6432_post,Inhib,3805,0.09882090172449616,NA,NA,NA
Br6432_post,Micro,2256,0.058591315188032414,NA,NA,NA
Br6432_post,Oligo,8232,0.21379596924994806,NA,NA,NA
Br6471_ant,Astro,4031,0.11722794160414123,Circle,8,0.00251414204902577
Br6471_ant,Endo,2761,0.08029430582213691,Circle,8,0.00251414204902577
Br6471_ant,Excit,7731,0.22482987262257895,Star,660,0.20741671904462602
Br6471_ant,Inhib,5820,0.16925492933170477,Circle,2476,0.7781269641734758
Br6471_ant,Micro,1384,0.040248938521491306,NA,NA,NA
Br6471_ant,Oligo,12659,0.36814401209794684,Star,30,0.009428032683846637
Br6471_mid,Astro,22928,0.42406643608855676,Circle,347,0.07724844167408727
Br6471_mid,Endo,2219,0.04104167051991048,Circle,219,0.048753339269813
Br6471_mid,Excit,11418,0.2111824218099765,Star,1819,0.4049421193232413
Br6471_mid,Inhib,6322,0.11692899550557641,Circle,585,0.13023152270703472
Br6471_mid,Micro,947,0.01751530508443228,Star,141,0.03138913624220837
Br6471_mid,Oligo,10233,0.18926517099154752,Star,1381,0.30743544078361534
Br6522_mid,Astro,18822,0.5000531349628056,Circle,69,0.07309322033898305
Br6522_mid,Endo,2350,0.062433581296493096,Circle,77,0.0815677966101695
Br6522_mid,Excit,10863,0.28860255047821465,Star,452,0.4788135593220339
Br6522_mid,Inhib,574,0.015249734325185973,Circle,97,0.1027542372881356
Br6522_mid,Micro,729,0.01936769394261424,Star,49,0.05190677966101695
Br6522_mid,Oligo,4302,0.1142933049946865,Star,200,0.211864406779661
Br6522_post,Astro,13069,0.3373167458187074,Circle,51,0.05537459283387622
Br6522_post,Endo,3952,0.10200289077018378,Circle,43,0.04668838219326819
Br6522_post,Excit,11539,0.29782676027255833,Star,449,0.48751357220412594
Br6522_post,Inhib,3570,0.0921432996076812,Circle,60,0.06514657980456026
Br6522_post,Micro,661,0.01706070617385918,Star,34,0.03691639522258415
Br6522_post,Oligo,5953,0.15364959735701011,Star,284,0.30836047774158526
Br8325_ant,Astro,6036,0.19737100255051993,Circle,282,0.06056701030927835
Br8325_ant,Endo,3058,0.09999346020534955,Circle,174,0.037371134020618556
Br8325_ant,Excit,7724,0.2525668694003008,Star,2767,0.594286941580756
Br8325_ant,Inhib,4966,0.16238310117062324,Circle,820,0.17611683848797252
Br8325_ant,Micro,4086,0.13360800470865214,Star,124,0.02663230240549828
Br8325_ant,Oligo,4712,0.1540775619645543,Star,489,0.10502577319587629
Br8325_mid,Astro,8833,0.27559202520982184,Circle,255,0.06360688450985283
Br8325_mid,Endo,3379,0.10542572774640417,Circle,81,0.020204539785482666
Br8325_mid,Excit,5237,0.16339583788337336,Star,1944,0.4849089548515839
Br8325_mid,Inhib,4094,0.1277339240585317,Circle,558,0.13918682963332502
Br8325_mid,Micro,3230,0.10077688683660416,Star,115,0.028685457720129707
Br8325_mid,Oligo,7278,0.22707559826526474,Star,1056,0.26340733349962586
Br8492_mid,Astro,4151,0.08488752556237218,Circle,263,0.07820398453761522
Br8492_mid,Endo,4588,0.0938241308793456,Circle,162,0.04817127564674398
