Sample,cell_type,Confidence,n_cell,prop,Combo,n_cell_sn,prop_sn
Br2720_mid,Astro,Low,2556,0.18549967341606793,Circle,150,0.049439683586025046
Br2720_mid,Endo,Low,1131,0.08208142826039626,Circle,37,0.012195121951219513
Br2720_mid,Inhib,Low,2199,0.1595906814718049,Circle,1733,0.571193144363876
Br2720_mid,Other,Low,7893,0.5728282168517309,Circle,1114,0.3671720500988794
Br2720_post,Astro,High,3385,0.14789409297448444,Circle,81,0.04287983059820011
Br2720_post,Endo,High,1680,0.07340090877315623,Circle,66,0.03493912122816305
Br2720_post,Excit,High,8687,0.37954386578119537,Star,1198,0.6341979883536263
Br2720_post,Inhib,High,3092,0.13509262495630897,Circle,94,0.04976177871889889
Br2720_post,Micro,High,1416,0.06186648025166026,Star,47,0.024880889359449446
Br2720_post,Oligo,High,4628,0.2022020272631947,Star,403,0.21334039174166225
Br2743_ant,Astro,OK,29918,0.5352248738774196,Circle,352,0.1443806398687449
Br2743_ant,Endo,OK,5808,0.10390353858814269,Circle,100,0.04101722723543889
Br2743_ant,Excit,High,8574,0.15338652545708253,Star,497,0.20385561936013125
Br2743_ant,Inhib,OK,2960,0.05295359404629862,Circle,96,0.03937653814602133
Br2743_ant,Micro,High,3168,0.056674657411714194,Star,112,0.04593929450369155
Br2743_ant,Oligo,High,5470,0.09785681061934237,Star,1281,0.5254306808859721
Br3942_ant,Astro,High,2954,0.059580475998386444,Circle,420,0.08328375966686496
Br3942_ant,Endo,High,2784,0.05615167406212182,Circle,391,0.0775332143565338
Br3942_ant,Inhib,High,7152,0.14425171440096812,Circle,585,0.11600237953599048
Br3942_ant,Other,High,36690,0.7400161355385236,Circle,3647,0.7231806464406108
Br3942_mid,Astro,High,2105,0.11354441987162199,Circle,214,0.066875
Br3942_mid,Endo,High,876,0.04725173957602891,Circle,189,0.0590625
Br3942_mid,Excit,OK,10642,0.5740331193699768,Star,2156,0.67375
Br3942_mid,Inhib,High,3666,0.19774529370516208,Circle,247,0.0771875
Br3942_mid,Micro,OK,334,0.018016074221910566,Star,84,0.02625
Br3942_mid,Oligo,OK,916,0.04940935325529964,Star,310,0.096875
Br3942_post,Astro,High,5080,0.0997643362136685,NA,NA,NA
Br3942_post,Endo,High,2357,0.04628829536527887,NA,NA,NA
Br3942_post,Inhib,High,5731,0.1125490966221524,NA,NA,NA
Br3942_post,Other,High,37752,0.7413982717989003,NA,NA,NA
Br6423_ant,Astro,OK,17140,0.37872594294805223,Circle,305,0.11566173682214638
Br6423_ant,Endo,OK,2127,0.04699825441368186,Circle,93,0.03526734926052332
Br6423_ant,Excit,OK,10932,0.2415537927834368,Star,1130,0.428517254455821
Br6423_ant,Inhib,OK,3326,0.0734913935965707,Circle,136,0.0515737580583997
Br6423_ant,Micro,OK,3281,0.07249707227611198,Star,82,0.031095942358740993
Br6423_ant,Oligo,OK,8451,0.18673354398214642,Star,891,0.3378839590443686
Br6423_post,Astro,High,8713,0.29035590509197545,Circle,420,0.1554979637171418
Br6423_post,Endo,High,1290,0.04298853639029592,Circle,175,0.06479081821547575
Br6423_post,Excit,High,13087,0.4361170354572114,Star,978,0.36208811551277303
Br6423_post,Inhib,High,4042,0.13469741402292723,Circle,196,0.07256571640133284
Br6423_post,Micro,High,1048,0.034924020261263664,Star,124,0.04590892262125139
Br6423_post,Oligo,High,1828,0.06091708877632631,Star,808,0.2991484635320252
Br6432_post,Astro,Low,15063,0.4563715688056717,NA,NA,NA
Br6432_post,Endo,Low,2198,0.06659395261467611,NA,NA,NA
Br6432_post,Excit,OK,3311,0.10031509422529238,NA,NA,NA
Br6432_post,Inhib,Low,2920,0.08846876325516573,NA,NA,NA
Br6432_post,Micro,OK,2208,0.0668969278313034,NA,NA,NA
Br6432_post,Oligo,OK,7306,0.2213536932678907,NA,NA,NA
Br6471_ant,Astro,Low,1600,0.06988120195667366,Circle,8,0.00251414204902577
Br6471_ant,Endo,Low,1968,0.0859538784067086,Circle,8,0.00251414204902577
Br6471_ant,Excit,Low,5488,0.23969252271139063,Star,660,0.20741671904462602
Br6471_ant,Inhib,Low,3898,0.17024807826694618,Circle,2476,0.7781269641734758
Br6471_ant,Micro,Low,986,0.04306429070580014,NA,NA,NA
Br6471_ant,Oligo,Low,8956,0.3911600279524808,Star,30,0.009428032683846637
Br6471_mid,Astro,High,15430,0.3562358590755876,Circle,347,0.07724844167408727
Br6471_mid,Endo,High,1860,0.04294223576672669,Circle,219,0.048753339269813
Br6471_mid,Excit,OK,11048,0.2550676455649444,Star,1819,0.4049421193232413
Br6471_mid,Inhib,High,5737,0.1324514013944683,Circle,585,0.13023152270703472
Br6471_mid,Micro,OK,884,0.020409105600960428,Star,141,0.03138913624220837
Br6471_mid,Oligo,OK,8355,0.19289375259731265,Star,1381,0.30743544078361534
Br6522_mid,Astro,Low,15438,0.4817600249648931,Circle,69,0.07309322033898305
Br6522_mid,Endo,Low,2165,0.06756124200343268,Circle,77,0.0815677966101695
Br6522_mid,Excit,OK,9457,0.29511624278358556,Star,452,0.4788135593220339
Br6522_mid,Inhib,Low,567,0.017693867998127635,Circle,97,0.1027542372881356
Br6522_mid,Micro,OK,716,0.022343579341550943,Star,49,0.05190677966101695
Br6522_mid,Oligo,OK,3702,0.11552504290841005,Star,200,0.211864406779661
Br6522_post,Astro,Low,7863,0.28662559690883244,Circle,51,0.05537459283387622
Br6522_post,Endo,Low,3321,0.12105857908358546,Circle,43,0.04668838219326819
Br6522_post,Excit,OK,9124,0.3325921335617687,Star,449,0.48751357220412594
Br6522_post,Inhib,Low,3197,0.11653847555863377,Circle,60,0.06514657980456026
Br6522_post,Micro,OK,434,0.015820362337330952,Star,34,0.03691639522258415
Br6522_post,Oligo,OK,3494,0.12736485254984872,Star,284,0.30836047774158526
Br8325_ant,Astro,Low,4608,0.1743077621425329,Circle,282,0.06056701030927835
