Sample,cell_type,Confidence,n_cell,prop,Combo,n_cell_sn,prop_sn
Br8325_ant,Endo,Low,2558,0.09676199122408836,Circle,174,0.037371134020618556
Br8325_ant,Excit,OK,6883,0.2603646542593433,Star,2767,0.594286941580756
Br8325_ant,Inhib,Low,4117,0.1557346043274323,Circle,820,0.17611683848797252
Br8325_ant,Micro,OK,3875,0.14658042063852322,Star,124,0.02663230240549828
Br8325_ant,Oligo,OK,4395,0.1662505674080799,Star,489,0.10502577319587629
Br8325_mid,Astro,OK,5391,0.202859830667921,Circle,255,0.06360688450985283
Br8325_mid,Endo,OK,3034,0.11416745061147696,Circle,81,0.020204539785482666
Br8325_mid,Excit,OK,4680,0.17610536218250236,Star,1944,0.4849089548515839
Br8325_mid,Inhib,OK,3822,0.14381937911571024,Circle,558,0.13918682963332502
Br8325_mid,Micro,OK,3040,0.11439322671683913,Star,115,0.028685457720129707
Br8325_mid,Oligo,OK,6608,0.24865475070555032,Star,1056,0.26340733349962586
Br8492_mid,Astro,High,3721,0.08398031958111402,Circle,263,0.07820398453761522
Br8492_mid,Endo,High,3931,0.08871987000090277,Circle,162,0.04817127564674398
Br8492_mid,Inhib,High,5103,0.11517107520086665,Circle,364,0.10823669342848648
Br8492_mid,Other,High,31553,0.7121287352171165,Circle,2574,0.7653880463871543
Br8492_post,Astro,High,3279,0.10912539936102236,Circle,269,0.13959522573949143
Br8492_post,Endo,High,2913,0.09694488817891374,Circle,91,0.04722366372599896
Br8492_post,Excit,High,13513,0.44971379126730565,Star,889,0.461338868707836
Br8492_post,Inhib,High,5445,0.1812100638977636,Circle,194,0.10067462376751427
Br8492_post,Micro,High,2142,0.07128594249201278,Star,104,0.05396990140114167
Br8492_post,Oligo,High,2756,0.09171991480298189,Star,380,0.19719771665801764
Br8667_ant,Astro,Low,14306,0.4937700617816588,Circle,201,0.0472385428907168
Br8667_ant,Endo,Low,2291,0.07907362026714528,Circle,126,0.029612220916568743
Br8667_ant,Excit,Low,8214,0.28350533255099575,Star,1793,0.42138660399529965
Br8667_ant,Inhib,Low,2647,0.09136092223794567,Circle,192,0.04512338425381904
Br8667_ant,Micro,Low,1515,0.05229006316225451,Star,77,0.01809635722679201
Br8667_mid,Astro,High,3348,0.14426059979317477,Circle,128,0.06037735849056604
Br8667_mid,Endo,High,1570,0.067649086521889,Circle,81,0.03820754716981132
Br8667_mid,Excit,OK,12456,0.5367114788004137,Star,1322,0.6235849056603774
Br8667_mid,Inhib,High,4312,0.18579800068941743,Circle,151,0.07122641509433962
Br8667_mid,Micro,OK,690,0.0297311271975181,Star,60,0.02830188679245283
Br8667_mid,Oligo,OK,832,0.035849706997587036,Star,378,0.17830188679245282
