Sample,cell_type,n_cell,prop,Combo,n_cell_sn,prop_sn
Br2720_mid,Astro,5589,0.20859926100100773,Circle,150,0.049439683586025046
Br2720_mid,Endo,2141,0.07990893143731571,Circle,37,0.012195121951219513
Br2720_mid,Inhib,4127,0.15403276975329377,Circle,1733,0.571193144363876
Br2720_mid,Other,14936,0.5574590378083828,Circle,1114,0.3671720500988794
Br2720_post,Astro,3998,0.1611576910673976,Circle,81,0.04287983059820011
Br2720_post,Endo,1729,0.06969525959367946,Circle,66,0.03493912122816305
Br2720_post,Excit,8927,0.3598435988390842,Star,1198,0.6341979883536263
Br2720_post,Inhib,3403,0.1371734924217994,Circle,94,0.04976177871889889
Br2720_post,Micro,1429,0.057602386326991294,Star,47,0.024880889359449446
Br2720_post,Oligo,5322,0.21452757175104806,Star,403,0.21334039174166225
Br2743_ant,Astro,32494,0.5356742499175734,Circle,352,0.1443806398687449
Br2743_ant,Endo,7250,0.11951862842070557,Circle,100,0.04101722723543889
Br2743_ant,Excit,8791,0.14492251895812727,Star,497,0.20385561936013125
Br2743_ant,Inhib,2975,0.049043850972634355,Circle,96,0.03937653814602133
Br2743_ant,Micro,3208,0.05288493241015496,Star,112,0.04593929450369155
Br2743_ant,Oligo,5942,0.09795581932080448,Star,1281,0.5254306808859721
Br3942_ant,Astro,3604,0.06996563840733047,Circle,420,0.08328375966686496
Br3942_ant,Endo,2928,0.05684222787365805,Circle,391,0.0775332143565338
Br3942_ant,Inhib,7271,0.1411543165537458,Circle,585,0.11600237953599048
Br3942_ant,Other,37708,0.7320378171652657,Circle,3647,0.7231806464406108
Br3942_mid,Astro,2252,0.11807266816966393,Circle,214,0.066875
Br3942_mid,Endo,924,0.04844544644261522,Circle,189,0.0590625
Br3942_mid,Excit,10804,0.5664551984480679,Star,2156,0.67375
Br3942_mid,Inhib,3696,0.19378178577046087,Circle,247,0.0771875
Br3942_mid,Micro,341,0.017878676663346093,Star,84,0.02625
Br3942_mid,Oligo,1056,0.05536622450584596,Star,310,0.096875
Br3942_post,Astro,5902,0.10600998670833782,NA,NA,NA
Br3942_post,Endo,2917,0.0523942953622876,NA,NA,NA
Br3942_post,Inhib,6087,0.10933290225239789,NA,NA,NA
Br3942_post,Other,40768,0.7322628156769767,NA,NA,NA
Br6423_ant,Astro,17496,0.3672235748467803,Circle,305,0.11566173682214638
Br6423_ant,Endo,2144,0.04500041978003526,Circle,93,0.03526734926052332
Br6423_ant,Inhib,3377,0.07087985895390815,Circle,136,0.0515737580583997
Br6423_ant,Other,24627,0.5168961464192763,Circle,2103,0.7974971558589306
Br6423_post,Astro,9343,0.29717866344349375,Circle,420,0.1554979637171418
Br6423_post,Endo,1434,0.045612137790642195,Circle,175,0.06479081821547575
Br6423_post,Excit,13423,0.42695378351728747,Star,978,0.36208811551277303
Br6423_post,Inhib,4251,0.13521422437100417,Circle,196,0.07256571640133284
Br6423_post,Micro,1085,0.034511275803937785,Star,124,0.04590892262125139
Br6423_post,Oligo,1903,0.06052991507363466,Star,808,0.2991484635320252
Br6432_ant,Astro,13945,0.41709038703116585,Circle,136,0.04644808743169399
Br6432_ant,Endo,3005,0.08987856672847999,Circle,37,0.012636612021857924
Br6432_ant,Excit,1535,0.045911347729855834,Star,181,0.06181693989071038
Br6432_ant,Inhib,3491,0.10441466770353533,Circle,1806,0.6168032786885246
Br6432_ant,Micro,5367,0.16052521385416044,Star,37,0.012636612021857924
Br6432_ant,Oligo,6091,0.18217981695280253,Star,731,0.2496584699453552
Br6432_mid,Astro,7708,0.16549295774647887,NA,NA,NA
Br6432_mid,Endo,1327,0.028491068361387838,NA,NA,NA
Br6432_mid,Inhib,4946,0.10619203023016145,NA,NA,NA
Br6432_mid,Other,32595,0.6998239436619719,NA,NA,NA
Br6432_post,Astro,17504,0.47065150170740233,NA,NA,NA
Br6432_post,Endo,2358,0.06340243607324353,NA,NA,NA
Br6432_post,Excit,3353,0.0901562205910032,NA,NA,NA
Br6432_post,Inhib,3630,0.09760425909494233,NA,NA,NA
Br6432_post,Micro,2242,0.06028340189830873,NA,NA,NA
Br6432_post,Oligo,8104,0.2179021806350999,NA,NA,NA
Br6471_ant,Astro,3862,0.11898819977200605,Circle,8,0.00251414204902577
Br6471_ant,Endo,2591,0.0798286964291216,Circle,8,0.00251414204902577
Br6471_ant,Excit,7029,0.21656345318421297,Star,660,0.20741671904462602
Br6471_ant,Inhib,5357,0.16504914194164588,Circle,2476,0.7781269641734758
Br6471_ant,Micro,1362,0.04196321286625381,NA,NA,NA
Br6471_ant,Oligo,12256,0.3776072958067597,Star,30,0.009428032683846637
Br6471_mid,Astro,22371,0.42324428636294836,Circle,347,0.07724844167408727
Br6471_mid,Endo,2110,0.03991978204934161,Circle,219,0.048753339269813
Br6471_mid,Excit,11159,0.21112078098985923,Star,1819,0.4049421193232413
Br6471_mid,Inhib,6132,0.11601331920690178,Circle,585,0.13023152270703472
Br6471_mid,Micro,939,0.01776524897835629,Star,141,0.03138913624220837
Br6471_mid,Oligo,10145,0.1919365824125927,Star,1381,0.30743544078361534
Br6522_mid,Astro,17634,0.4935624720107479,Circle,69,0.07309322033898305
Br6522_mid,Endo,2249,0.062947828034034925,Circle,77,0.0815677966101695
Br6522_mid,Excit,10288,0.2879534258844604,Star,452,0.4788135593220339
Br6522_mid,Inhib,566,0.01584191670398567,Circle,97,0.1027542372881356
Br6522_mid,Micro,723,0.020236229287953426,Star,49,0.05190677966101695
Br6522_mid,Oligo,4268,0.11945812807881774,Star,200,0.211864406779661
Br6522_post,Astro,12404,0.33261825592620403,Circle,51,0.05537459283387622
