SAMPLE_ID,Sample,Combo,cell_type,n_cell,prop,n_cell_sn,prop_sn
Br2720M_CIRCLE,Br2720_mid,Circle,Astro,6136,0.21728814759729453,150,0.049439683586025046
Br2720M_CIRCLE,Br2720_mid,Circle,Endo,2219,0.07857926980417154,37,0.012195121951219513
Br2720M_CIRCLE,Br2720_mid,Circle,Inhib,4333,0.1534402776302277,1733,0.571193144363876
Br2720M_CIRCLE,Br2720_mid,Circle,Other,15551,0.5506923049683062,1114,0.3671720500988794
Br2720P_CIRCLE,Br2720_post,Circle,Astro,4031,0.09885717088483421,81,0.04287983059820011
Br2720P_CIRCLE,Br2720_post,Circle,Endo,1777,0.0435795566019227,66,0.03493912122816305
Br2720P_CIRCLE,Br2720_post,Circle,Inhib,3495,0.08571218363743378,94,0.04976177871889889
Br2720P_CIRCLE,Br2720_post,Circle,Other,31473,0.7718510888758093,1648,0.8724192694547379
Br2720P_STAR,Br2720_post,Star,Excit,9321,0.230023197275554,1198,0.6341979883536263
Br2720P_STAR,Br2720_post,Star,Micro,1432,0.035338828290804994,47,0.024880889359449446
Br2720P_STAR,Br2720_post,Star,Oligo,5349,0.13200236908346083,403,0.21334039174166225
Br2720P_STAR,Br2720_post,Star,Other,24420,0.6026356053501801,241,0.12758073054526203
Br2743A_CIRCLE,Br2743_ant,Circle,Astro,32628,0.5155072440870239,352,0.1443806398687449
Br2743A_CIRCLE,Br2743_ant,Circle,Endo,7342,0.11600018959442593,100,0.04101722723543889
Br2743A_CIRCLE,Br2743_ant,Circle,Inhib,2993,0.04728800973251386,96,0.03937653814602133
Br2743A_CIRCLE,Br2743_ant,Circle,Other,20330,0.32120455658603636,1890,0.7752255947497949
Br2743A_STAR,Br2743_ant,Star,Excit,8921,0.172356498386754,497,0.20385561936013125
Br2743A_STAR,Br2743_ant,Star,Micro,3215,0.06211480129059681,112,0.04593929450369155
Br2743A_STAR,Br2743_ant,Star,Oligo,5953,0.11501381402268204,1281,0.5254306808859721
Br2743A_STAR,Br2743_ant,Star,Other,33670,0.6505148862999671,548,0.2247744052502051
Br3942A_CIRCLE,Br3942_ant,Circle,Astro,3714,0.06983303249097472,420,0.08328375966686496
Br3942A_CIRCLE,Br3942_ant,Circle,Endo,3043,0.05721645607701564,391,0.0775332143565338
Br3942A_CIRCLE,Br3942_ant,Circle,Inhib,7475,0.14054978941034899,585,0.11600237953599048
Br3942A_CIRCLE,Br3942_ant,Circle,Other,38952,0.7324007220216606,3647,0.7231806464406108
Br3942M_CIRCLE,Br3942_mid,Circle,Astro,2436,0.06441717791411043,214,0.066875
Br3942M_CIRCLE,Br3942_mid,Circle,Endo,1013,0.026787603130949862,189,0.0590625
Br3942M_CIRCLE,Br3942_mid,Circle,Inhib,4136,0.10937169452083774,247,0.0771875
Br3942M_CIRCLE,Br3942_mid,Circle,Other,30231,0.7994235244341019,2550,0.796875
Br3942M_STAR,Br3942_mid,Star,Excit,12031,0.33035861387226095,2156,0.67375
Br3942M_STAR,Br3942_mid,Star,Micro,350,0.009610632105003021,84,0.02625
Br3942M_STAR,Br3942_mid,Star,Oligo,1066,0.029271239496952057,310,0.096875
Br3942M_STAR,Br3942_mid,Star,Other,22971,0.6307595145257839,650,0.203125
Br3942P_CIRCLE,Br3942_post,Circle,Astro,5973,0.10228090003082298,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Endo,3049,0.05221069214699134,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Inhib,6572,0.11253810061988424,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Other,42804,0.7329703072023015,NA,NA
Br6423A_CIRCLE,Br6423_ant,Circle,Astro,17706,0.3561930435132471,305,0.11566173682214638
Br6423A_CIRCLE,Br6423_ant,Circle,Endo,2204,0.04433804743607797,93,0.03526734926052332
Br6423A_CIRCLE,Br6423_ant,Circle,Inhib,3613,0.0726830151481623,136,0.0515737580583997
Br6423A_CIRCLE,Br6423_ant,Circle,Other,26186,0.5267858939025126,2103,0.7974971558589306
Br6423P_CIRCLE,Br6423_post,Circle,Astro,9539,0.2058791789868992,420,0.1554979637171418
Br6423P_CIRCLE,Br6423_post,Circle,Endo,1501,0.03239591651738502,175,0.06479081821547575
Br6423P_CIRCLE,Br6423_post,Circle,Inhib,4737,0.10223814559816977,196,0.07256571640133284
Br6423P_CIRCLE,Br6423_post,Circle,Other,30556,0.659486758897546,1910,0.7071455016660496
Br6423P_STAR,Br6423_post,Star,Excit,14551,0.3302916808534786,978,0.36208811551277303
Br6423P_STAR,Br6423_post,Star,Micro,1095,0.024855294518215866,124,0.04590892262125139
Br6423P_STAR,Br6423_post,Star,Oligo,1915,0.04346839178299852,808,0.2991484635320252
Br6423P_STAR,Br6423_post,Star,Other,26494,0.601384632845307,791,0.2928544983339504
Br6432A_CIRCLE,Br6432_ant,Circle,Astro,14595,0.23778878425494476,136,0.04644808743169399
Br6432A_CIRCLE,Br6432_ant,Circle,Endo,3169,0.05163087751311545,37,0.012636612021857924
Br6432A_CIRCLE,Br6432_ant,Circle,Inhib,3951,0.06437159894424713,1806,0.6168032786885246
Br6432A_CIRCLE,Br6432_ant,Circle,Other,39663,0.6462087392876926,949,0.3241120218579235
Br6432A_STAR,Br6432_ant,Star,Excit,1624,0.029569745634638846,181,0.06181693989071038
Br6432A_STAR,Br6432_ant,Star,Micro,5429,0.09885107700151126,37,0.012636612021857924
Br6432A_STAR,Br6432_ant,Star,Oligo,6157,0.11210648021703902,731,0.2496584699453552
Br6432A_STAR,Br6432_ant,Star,Other,41711,0.7594726971468109,1979,0.6758879781420765
Br6432M_CIRCLE,Br6432_mid,Circle,Astro,7885,0.16341291552681755,NA,NA
Br6432M_CIRCLE,Br6432_mid,Circle,Endo,1371,0.028413330017408606,NA,NA
Br6432M_CIRCLE,Br6432_mid,Circle,Inhib,5186,0.10747741026278704,NA,NA
Br6432M_CIRCLE,Br6432_mid,Circle,Other,33810,0.7006963441929868,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,Astro,17871,0.3726929573940064,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,Endo,2430,0.05067673249775813,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,Inhib,3805,0.07935183833496695,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,Other,23845,0.49727847177326856,NA,NA
Br6432P_STAR,Br6432_post,Star,Excit,3910,0.123605095944109,NA,NA
Br6432P_STAR,Br6432_post,Star,Micro,2256,0.07131792748079537,NA,NA
Br6432P_STAR,Br6432_post,Star,Oligo,8232,0.2602345651692852,NA,NA
Br6432P_STAR,Br6432_post,Star,Other,17235,0.5448424114058104,NA,NA
Br6471A_CIRCLE,Br6471_ant,Circle,Astro,4031,0.09205298013245033,8,0.00251414204902577
Br6471A_CIRCLE,Br6471_ant,Circle,Endo,2761,0.06305092486869149,8,0.00251414204902577
Br6471A_CIRCLE,Br6471_ant,Circle,Inhib,5820,0.13290705640557204,2476,0.7781269641734758
Br6471A_CIRCLE,Br6471_ant,Circle,Other,31178,0.7119890385932861,690,0.21684475172847265
Br6471A_STAR,Br6471_ant,Star,Excit,7731,0.16720013841429127,660,0.20741671904462602
Br6471A_STAR,Br6471_ant,Star,Micro,1384,0.029932090488342923,NA,NA
Br6471A_STAR,Br6471_ant,Star,Oligo,12659,0.2737791426964834,30,0.009428032683846637
Br6471A_STAR,Br6471_ant,Star,Other,24464,0.5290886284008824,2492,0.7831552482715274
Br6471M_CIRCLE,Br6471_mid,Circle,Astro,22928,0.38604525862068967,347,0.07724844167408727
Br6471M_CIRCLE,Br6471_mid,Circle,Endo,2219,0.03736193426724138,219,0.048753339269813
Br6471M_CIRCLE,Br6471_mid,Circle,Inhib,6322,0.1064453125,585,0.13023152270703472
Br6471M_CIRCLE,Br6471_mid,Circle,Other,27923,0.47014749461206895,3341,0.743766696349065
Br6471M_STAR,Br6471_mid,Star,Excit,11418,0.19469690510699975,1819,0.4049421193232413
Br6471M_STAR,Br6471_mid,Star,Micro,947,0.016148009207946117,141,0.03138913624220837
Br6471M_STAR,Br6471_mid,Star,Oligo,10233,0.1744905789069827,1381,0.30743544078361534
Br6471M_STAR,Br6471_mid,Star,Other,36047,0.6146645067780715,1151,0.256233303650935
Br6522M_CIRCLE,Br6522_mid,Circle,Astro,18822,0.5393432288383289,69,0.07309322033898305
Br6522M_CIRCLE,Br6522_mid,Circle,Endo,2350,0.06733910252736547,77,0.0815677966101695
Br6522M_CIRCLE,Br6522_mid,Circle,Inhib,574,0.016447933979024585,97,0.1027542372881356
Br6522M_CIRCLE,Br6522_mid,Circle,Other,13152,0.3768697346552811,701,0.7425847457627118
