SAMPLE_ID,Sample,Combo,cell_type,Confidence,n_cell,prop,n_cell_sn,prop_sn
Br2720M_CIRCLE,Br2720_mid,Circle,Astro,Low,2556,0.18549967341606793,150,0.04943968358602504
Br2720M_CIRCLE,Br2720_mid,Circle,EndoMural,Low,1131,0.08208142826039626,37,0.01219512195121951
Br2720M_CIRCLE,Br2720_mid,Circle,Inhib,Low,2199,0.1595906814718049,1733,0.571193144363876
Br2720M_CIRCLE,Br2720_mid,Circle,Other,Low,7893,0.5728282168517309,NA,NA
Br2720P_CIRCLE,Br2720_post,Circle,Astro,High,3385,0.09357808310065518,81,0.04287983059820011
Br2720P_CIRCLE,Br2720_post,Circle,EndoMural,High,1680,0.04644347994360434,66,0.03493912122816305
Br2720P_CIRCLE,Br2720_post,Circle,Inhib,High,3092,0.08547811903906229,94,0.04976177871889889
Br2720P_CIRCLE,Br2720_post,Circle,Other,High,28016,0.7745003179166782,NA,NA
Br2720P_STAR,Br2720_post,Star,Excit,High,8687,0.23132639203259395,1198,0.6341979883536263
Br2720P_STAR,Br2720_post,Star,Micro,High,1416,0.037706707852901235,47,0.02488088935944944
Br2720P_STAR,Br2720_post,Star,OligoOPC,High,4628,0.12323915532713764,403,0.21334039174166225
Br2720P_STAR,Br2720_post,Star,Other,High,22822,0.6077277447873672,NA,NA
Br2743A_CIRCLE,Br2743_ant,Circle,Astro,OK,29918,0.5187432812012345,352,0.1443806398687449
Br2743A_CIRCLE,Br2743_ant,Circle,EndoMural,OK,5808,0.10070395672226654,100,0.04101722723543889
Br2743A_CIRCLE,Br2743_ant,Circle,Inhib,OK,2960,0.051322953150466415,96,0.03937653814602133
Br2743A_CIRCLE,Br2743_ant,Circle,Other,OK,18988,0.32922980892603254,NA,NA
Br2743A_STAR,Br2743_ant,Star,Excit,High,8574,0.1719408013476116,497,0.20385561936013125
Br2743A_STAR,Br2743_ant,Star,Micro,High,3168,0.06353026109974733,112,0.04593929450369155
Br2743A_STAR,Br2743_ant,Star,OligoOPC,High,5470,0.10969397986604099,1281,0.5254306808859721
Br2743A_STAR,Br2743_ant,Star,Other,High,32654,0.6548349576866,NA,NA
Br3942A_CIRCLE,Br3942_ant,Circle,Astro,High,2954,0.059580475998386444,420,0.08328375966686496
Br3942A_CIRCLE,Br3942_ant,Circle,EndoMural,High,2784,0.05615167406212182,391,0.0775332143565338
Br3942A_CIRCLE,Br3942_ant,Circle,Inhib,High,7152,0.14425171440096812,585,0.11600237953599048
Br3942A_CIRCLE,Br3942_ant,Circle,Other,High,36690,0.7400161355385236,NA,NA
Br3942M_CIRCLE,Br3942_mid,Circle,Astro,High,2105,0.06305604649072881,214,0.066875
Br3942M_CIRCLE,Br3942_mid,Circle,EndoMural,High,876,0.026240901057424437,189,0.0590625
Br3942M_CIRCLE,Br3942_mid,Circle,Inhib,High,3666,0.10981637360333103,247,0.0771875
Br3942M_CIRCLE,Br3942_mid,Circle,Other,High,26736,0.8008866788485157,NA,NA
Br3942M_STAR,Br3942_mid,Star,Excit,OK,10642,0.3129723847895774,2156,0.67375
Br3942M_STAR,Br3942_mid,Star,Micro,OK,334,0.009822662706231803,84,0.02625
Br3942M_STAR,Br3942_mid,Star,OligoOPC,OK,916,0.026938799517689616,310,0.096875
Br3942M_STAR,Br3942_mid,Star,Other,OK,22111,0.6502661529865011,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Astro,High,5080,0.0997643362136685,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,EndoMural,High,2357,0.04628829536527887,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Inhib,High,5731,0.1125490966221524,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Other,High,37752,0.7413982717989003,NA,NA
Br6423A_CIRCLE,Br6423_ant,Circle,Astro,OK,17140,0.3778493011771968,305,0.11566173682214638
Br6423A_CIRCLE,Br6423_ant,Circle,EndoMural,OK,2127,0.04688946695471981,93,0.03526734926052332
Br6423A_CIRCLE,Br6423_ant,Circle,Inhib,OK,3326,0.07332128213041753,136,0.0515737580583997
Br6423A_CIRCLE,Br6423_ant,Circle,Other,OK,22769,0.5019399497376659,NA,NA
Br6423A_STAR,Br6423_ant,Star,Excit,OK,10932,0.23360971023164373,1130,0.428517254455821
Br6423A_STAR,Br6423_ant,Star,Micro,OK,3281,0.07011283015642363,82,0.03109594235874099
Br6423A_STAR,Br6423_ant,Star,OligoOPC,OK,8451,0.18059235832122403,891,0.3378839590443686
Br6423A_STAR,Br6423_ant,Star,Other,OK,24132,0.5156851012907087,NA,NA
Br6423P_CIRCLE,Br6423_post,Circle,Astro,High,8713,0.21763456975146747,420,0.1554979637171418
Br6423P_CIRCLE,Br6423_post,Circle,EndoMural,High,1290,0.03222180591982016,175,0.06479081821547575
Br6423P_CIRCLE,Br6423_post,Circle,Inhib,High,4042,0.10096165854876983,196,0.07256571640133284
