SAMPLE_ID,Sample,Combo,cell_type,n_cell,prop,n_cell_sn,prop_sn
Br2720M_CIRCLE,Br2720_mid,Circle,Astro,5589,0.20859926100100773,150,0.049439683586025046
Br2720M_CIRCLE,Br2720_mid,Circle,Endo,2141,0.07990893143731571,37,0.012195121951219513
Br2720M_CIRCLE,Br2720_mid,Circle,Inhib,4127,0.15403276975329377,1733,0.571193144363876
Br2720M_CIRCLE,Br2720_mid,Circle,Other,14936,0.5574590378083828,1114,0.3671720500988794
Br2720P_CIRCLE,Br2720_post,Circle,Astro,3998,0.09976045513524304,81,0.04287983059820011
Br2720P_CIRCLE,Br2720_post,Circle,Endo,1729,0.04314302824633197,66,0.03493912122816305
Br2720P_CIRCLE,Br2720_post,Circle,Inhib,3403,0.08491366403832717,94,0.04976177871889889
Br2720P_CIRCLE,Br2720_post,Circle,Other,30946,0.7721828525800978,1648,0.8724192694547379
Br2720P_STAR,Br2720_post,Star,Excit,8927,0.22331457160725454,1198,0.6341979883536263
Br2720P_STAR,Br2720_post,Star,Micro,1429,0.035747342088805506,47,0.024880889359449446
Br2720P_STAR,Br2720_post,Star,Oligo,5322,0.13313320825515948,403,0.21334039174166225
Br2720P_STAR,Br2720_post,Star,Other,24297,0.6078048780487805,241,0.12758073054526203
Br2743A_CIRCLE,Br2743_ant,Circle,Astro,32494,0.5180060259210254,352,0.1443806398687449
Br2743A_CIRCLE,Br2743_ant,Circle,Endo,7250,0.1155765276028631,100,0.04101722723543889
Br2743A_CIRCLE,Br2743_ant,Circle,Inhib,2975,0.04742623029220935,96,0.03937653814602133
Br2743A_CIRCLE,Br2743_ant,Circle,Other,20010,0.3189912161839022,1890,0.7752255947497949
Br2743A_STAR,Br2743_ant,Star,Excit,8791,0.1706128944610488,497,0.20385561936013125
Br2743A_STAR,Br2743_ant,Star,Micro,3208,0.06225982998874355,112,0.04593929450369155
Br2743A_STAR,Br2743_ant,Star,Oligo,5942,0.11532042075845204,1281,0.5254306808859721
Br2743A_STAR,Br2743_ant,Star,Other,33585,0.6518068547917556,548,0.2247744052502051
Br3942A_CIRCLE,Br3942_ant,Circle,Astro,3604,0.06996563840733047,420,0.08328375966686496
Br3942A_CIRCLE,Br3942_ant,Circle,Endo,2928,0.05684222787365805,391,0.0775332143565338
Br3942A_CIRCLE,Br3942_ant,Circle,Inhib,7271,0.1411543165537458,585,0.11600237953599048
Br3942A_CIRCLE,Br3942_ant,Circle,Other,37708,0.7320378171652657,3647,0.7231806464406108
Br3942M_CIRCLE,Br3942_mid,Circle,Astro,2252,0.06449026345933563,214,0.066875
Br3942M_CIRCLE,Br3942_mid,Circle,Endo,924,0.026460481099656357,189,0.0590625
Br3942M_CIRCLE,Br3942_mid,Circle,Inhib,3696,0.10584192439862543,247,0.0771875
Br3942M_CIRCLE,Br3942_mid,Circle,Other,28048,0.8032073310423826,2550,0.796875
Br3942M_STAR,Br3942_mid,Star,Excit,10804,0.309765468203452,2156,0.67375
Br3942M_STAR,Br3942_mid,Star,Micro,341,0.009776936750960492,84,0.02625
Br3942M_STAR,Br3942_mid,Star,Oligo,1056,0.03027696542232926,310,0.096875
Br3942M_STAR,Br3942_mid,Star,Other,22677,0.6501806296232582,650,0.203125
Br3942P_CIRCLE,Br3942_post,Circle,Astro,5902,0.10600998670833782,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Endo,2917,0.0523942953622876,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Inhib,6087,0.10933290225239789,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Other,40768,0.7322628156769767,NA,NA
Br6423A_CIRCLE,Br6423_ant,Circle,Astro,17496,0.3672235748467803,305,0.11566173682214638
Br6423A_CIRCLE,Br6423_ant,Circle,Endo,2144,0.04500041978003526,93,0.03526734926052332
Br6423A_CIRCLE,Br6423_ant,Circle,Inhib,3377,0.07087985895390815,136,0.0515737580583997
Br6423A_CIRCLE,Br6423_ant,Circle,Other,24627,0.5168961464192763,2103,0.7974971558589306
