Sample,Star,Circle,both_high,one_high,both_ok,one_ok
Br8492_post,High,High,TRUE,TRUE,TRUE,TRUE
Br2720_post,High,High,TRUE,TRUE,TRUE,TRUE
Br6423_post,High,High,TRUE,TRUE,TRUE,TRUE
Br2743_ant,High,OK,FALSE,TRUE,TRUE,TRUE
Br6471_mid,OK,High,FALSE,TRUE,TRUE,TRUE
Br3942_mid,OK,High,FALSE,TRUE,TRUE,TRUE
Br8667_mid,OK,High,FALSE,TRUE,TRUE,TRUE
Br8325_mid,OK,OK,FALSE,FALSE,TRUE,TRUE
Br6522_mid,OK,OK,FALSE,FALSE,TRUE,TRUE
Br6423_ant,OK,OK,FALSE,FALSE,TRUE,TRUE
Br6432_post,OK,Low,FALSE,FALSE,FALSE,TRUE
Br8325_ant,OK,Low,FALSE,FALSE,FALSE,TRUE
Br6522_post,OK,Low,FALSE,FALSE,FALSE,TRUE
Br6471_ant,Low,Low,FALSE,FALSE,FALSE,FALSE
Br8667_ant,Low,Low,FALSE,FALSE,FALSE,FALSE
Br8492_mid,Excluded,High,FALSE,TRUE,FALSE,TRUE
Br3942_post,Excluded,High,FALSE,TRUE,FALSE,TRUE
Br3942_ant,Excluded,High,FALSE,TRUE,FALSE,TRUE
Br2720_mid,Excluded,Low,FALSE,FALSE,FALSE,FALSE
Br6432_ant,Excluded,Excluded,FALSE,FALSE,FALSE,FALSE
Br6432_mid,Excluded,Excluded,FALSE,FALSE,FALSE,FALSE
