SAMPLE_ID,Round,Section,BrNum,Pos,Combo,Position,Sample,Slide,subslide,Glare,i,subslide2,n_nuc,cell_type,n,prop
R1_2720M_Circle,R1,2720M,Br2720,M,Circle,Middle,Br2720_mid,5,A,FALSE,1,A1,28239,Astro,4371,0.15478593434611707
R1_2720M_Circle,R1,2720M,Br2720,M,Circle,Middle,Br2720_mid,5,A,FALSE,1,A1,28239,Endo,2358,0.0835015404228195
R1_2720M_Circle,R1,2720M,Br2720,M,Circle,Middle,Br2720_mid,5,A,FALSE,1,A1,28239,Inhib,3356,0.11884273522433514
R1_2720M_Circle,R1,2720M,Br2720,M,Circle,Middle,Br2720_mid,5,A,FALSE,1,A1,28239,Other,18154,0.6428697900067283
R1_6432A_Circle,R1,6432A,Br6432,A,Circle,Anterior,Br6432_ant,5,D,FALSE,1,D1,61378,Astro,11045,0.17995047085274854
R1_6432A_Circle,R1,6432A,Br6432,A,Circle,Anterior,Br6432_ant,5,D,FALSE,1,D1,61378,Endo,3234,0.052689888885268335
R1_6432A_Circle,R1,6432A,Br6432,A,Circle,Anterior,Br6432_ant,5,D,FALSE,1,D1,61378,Inhib,3094,0.0504089413144775
R1_6432A_Circle,R1,6432A,Br6432,A,Circle,Anterior,Br6432_ant,5,D,FALSE,1,D1,61378,Other,44005,0.7169506989475056
R1_6432M_Circle,R1,6432M,Br6432,M,Circle,Middle,Br6432_mid,2,A,FALSE,1,A1,48252,Astro,5779,0.11976705628782226
R1_6432M_Circle,R1,6432M,Br6432,M,Circle,Middle,Br6432_mid,2,A,FALSE,1,A1,48252,Endo,1405,0.029117964022216697
R1_6432M_Circle,R1,6432M,Br6432,M,Circle,Middle,Br6432_mid,2,A,FALSE,1,A1,48252,Inhib,4009,0.08308463897869518
R1_6432M_Circle,R1,6432M,Br6432,M,Circle,Middle,Br6432_mid,2,A,FALSE,1,A1,48252,Other,37059,0.7680303407112659
R1_6432P_Circle,R1,6432P,Br6432,P,Circle,Posterior,Br6432_pos,5,B,FALSE,1,B1,47951,Astro,17901,0.3733185960668182
R1_6432P_Circle,R1,6432P,Br6432,P,Circle,Posterior,Br6432_pos,5,B,FALSE,1,B1,47951,Endo,2462,0.05134408041542408
R1_6432P_Circle,R1,6432P,Br6432,P,Circle,Posterior,Br6432_pos,5,B,FALSE,1,B1,47951,Inhib,3070,0.06402369085107715
R1_6432P_Circle,R1,6432P,Br6432,P,Circle,Posterior,Br6432_pos,5,B,FALSE,1,B1,47951,Other,24518,0.5113136326666806
R1_6471A_Circle,R1,6471A,Br6471,A,Circle,Anterior,Br6471_ant,5,C,FALSE,1,C1,43790,Astro,3609,0.082416076729847
R1_6471A_Circle,R1,6471A,Br6471,A,Circle,Anterior,Br6471_ant,5,C,FALSE,1,C1,43790,Endo,2818,0.06435259191596254
R1_6471A_Circle,R1,6471A,Br6471,A,Circle,Anterior,Br6471_ant,5,C,FALSE,1,C1,43790,Inhib,4818,0.11002511989038594
R1_6471A_Circle,R1,6471A,Br6471,A,Circle,Anterior,Br6471_ant,5,C,FALSE,1,C1,43790,Other,32545,0.7432062114638045
R2_6471M_Circle,R2,6471M,Br6471,M,Circle,Middle,Br6471_mid,4,C,FALSE,1,C1,59392,Astro,16205,0.2728481950431034
R2_6471M_Circle,R2,6471M,Br6471,M,Circle,Middle,Br6471_mid,4,C,FALSE,1,C1,59392,Endo,2219,0.03736193426724138
R2_6471M_Circle,R2,6471M,Br6471,M,Circle,Middle,Br6471_mid,4,C,FALSE,1,C1,59392,Inhib,7353,0.12380455280172414
R2_6471M_Circle,R2,6471M,Br6471,M,Circle,Middle,Br6471_mid,4,C,FALSE,1,C1,59392,Other,33615,0.565985317887931
R2_6522M_Circle,R2,6522M,Br6522,M,Circle,Middle,Br6522_mid,4,A,FALSE,1,A1,34898,Astro,5580,0.15989454983093587
R2_6522M_Circle,R2,6522M,Br6522,M,Circle,Middle,Br6522_mid,4,A,FALSE,1,A1,34898,Endo,2350,0.06733910252736547
R2_6522M_Circle,R2,6522M,Br6522,M,Circle,Middle,Br6522_mid,4,A,FALSE,1,A1,34898,Inhib,4030,0.11547939710012035
R2_6522M_Circle,R2,6522M,Br6522,M,Circle,Middle,Br6522_mid,4,A,FALSE,1,A1,34898,Other,22938,0.6572869505415783
R2_6522P_Circle,R2,6522P,Br6522,P,Circle,Posterior,Br6522_pos,4,B,FALSE,1,B1,45063,Astro,5975,0.13259214876950048
R2_6522P_Circle,R2,6522P,Br6522,P,Circle,Posterior,Br6522_pos,4,B,FALSE,1,B1,45063,Endo,3952,0.0876994430020194
R2_6522P_Circle,R2,6522P,Br6522,P,Circle,Posterior,Br6522_pos,4,B,FALSE,1,B1,45063,Inhib,5780,0.1282648736213745
R2_6522P_Circle,R2,6522P,Br6522,P,Circle,Posterior,Br6522_pos,4,B,FALSE,1,B1,45063,Other,29356,0.6514435346071056
R2_8492P_Circle,R2,8492P,Br8492,P,Circle,Posterior,Br8492_pos,4,D,FALSE,1,D1,61604,Astro,6110,0.09918187130705798
R2_8492P_Circle,R2,8492P,Br8492,P,Circle,Posterior,Br8492_pos,4,D,FALSE,1,D1,61604,Endo,3480,0.05648983832218687
R2_8492P_Circle,R2,8492P,Br8492,P,Circle,Posterior,Br8492_pos,4,D,FALSE,1,D1,61604,Inhib,6138,0.09963638724758132
R2_8492P_Circle,R2,8492P,Br8492,P,Circle,Posterior,Br8492_pos,4,D,FALSE,1,D1,61604,Other,45876,0.7446919031231738
R3_2720P_Circle,R3,2720P,Br2720,P,Circle,Posterior,Br2720_pos,6,B,FALSE,2,B2,40776,Astro,4880,0.11967824210319795
R3_2720P_Circle,R3,2720P,Br2720,P,Circle,Posterior,Br2720_pos,6,B,FALSE,2,B2,40776,Endo,332,0.00814204433980773
R3_2720P_Circle,R3,2720P,Br2720,P,Circle,Posterior,Br2720_pos,6,B,FALSE,2,B2,40776,Inhib,3524,0.08642338630567001
R3_2720P_Circle,R3,2720P,Br2720,P,Circle,Posterior,Br2720_pos,6,B,FALSE,2,B2,40776,Other,32040,0.7857563272513243
R3_2723A_Circle,R3,2723A,Br2723,A,Circle,Anterior,Br2723_ant,6,A,FALSE,2,A2,63293,Astro,37488,0.5922929865861943
R3_2723A_Circle,R3,2723A,Br2723,A,Circle,Anterior,Br2723_ant,6,A,FALSE,2,A2,63293,Endo,2214,0.03498017158295546
R3_2723A_Circle,R3,2723A,Br2723,A,Circle,Anterior,Br2723_ant,6,A,FALSE,2,A2,63293,Inhib,3033,0.04791999115226012
R3_2723A_Circle,R3,2723A,Br2723,A,Circle,Anterior,Br2723_ant,6,A,FALSE,2,A2,63293,Other,20558,0.32480685067859005
R3_3942A_Circle,R3,3942A,Br3942,A,Circle,Anterior,Br3942_ant,5,A,FALSE,2,A2,53184,Astro,5234,0.09841305655836342
R3_3942A_Circle,R3,3942A,Br3942,A,Circle,Anterior,Br3942_ant,5,A,FALSE,2,A2,53184,Endo,477,0.008968862815884477
R3_3942A_Circle,R3,3942A,Br3942,A,Circle,Anterior,Br3942_ant,5,A,FALSE,2,A2,53184,Inhib,7537,0.14171555354993984
R3_3942A_Circle,R3,3942A,Br3942,A,Circle,Anterior,Br3942_ant,5,A,FALSE,2,A2,53184,Other,39936,0.7509025270758123
R3_3942P_Circle,R3,3942P,Br3942,P,Circle,Posterior,Br3942_pos,6,D,FALSE,1,D1,58398,Astro,6971,0.11937052638789
R3_3942P_Circle,R3,3942P,Br3942,P,Circle,Posterior,Br3942_pos,6,D,FALSE,1,D1,58398,Endo,607,0.01039419158190349
R3_3942P_Circle,R3,3942P,Br3942,P,Circle,Posterior,Br3942_pos,6,D,FALSE,1,D1,58398,Inhib,6735,0.1153292920990445
R3_3942P_Circle,R3,3942P,Br3942,P,Circle,Posterior,Br3942_pos,6,D,FALSE,1,D1,58398,Other,44085,0.754905989931162
R3_8492M_Circle,R3,8492M,Br8492,M,Circle,Middle,Br8492_mid,6,C,FALSE,2,C2,48900,Astro,6818,0.1394274028629857
R3_8492M_Circle,R3,8492M,Br8492,M,Circle,Middle,Br8492_mid,6,C,FALSE,2,C2,48900,Endo,1064,0.021758691206543966
R3_8492M_Circle,R3,8492M,Br8492,M,Circle,Middle,Br8492_mid,6,C,FALSE,2,C2,48900,Inhib,5520,0.11288343558282209
R3_8492M_Circle,R3,8492M,Br8492,M,Circle,Middle,Br8492_mid,6,C,FALSE,2,C2,48900,Other,35498,0.7259304703476482
R4_3942M_Circle,R4,3942M,Br3942,M,Circle,Middle,Br3942_mid,7,C,FALSE,1,C1,37816,Astro,1840,0.0486566532684578
R4_3942M_Circle,R4,3942M,Br3942,M,Circle,Middle,Br3942_mid,7,C,FALSE,1,C1,37816,Endo,11,2.908821662788238e-4
R4_3942M_Circle,R4,3942M,Br3942,M,Circle,Middle,Br3942_mid,7,C,FALSE,1,C1,37816,Inhib,4213,0.11140786968478951
R4_3942M_Circle,R4,3942M,Br3942,M,Circle,Middle,Br3942_mid,7,C,FALSE,1,C1,37816,Other,31752,0.8396445948804738
R4_6423A_Circle,R4,6423A,Br6423,A,Circle,Anterior,Br6423_ant,7,A,FALSE,1,A1,49709,Astro,17234,0.34669778108592003
R4_6423A_Circle,R4,6423A,Br6423,A,Circle,Anterior,Br6423_ant,7,A,FALSE,1,A1,49709,Endo,25,5.02927035345712e-4
R4_6423A_Circle,R4,6423A,Br6423,A,Circle,Anterior,Br6423_ant,7,A,FALSE,1,A1,49709,Inhib,3893,0.07831579794403427
R4_6423A_Circle,R4,6423A,Br6423,A,Circle,Anterior,Br6423_ant,7,A,FALSE,1,A1,49709,Other,28557,0.5744834939347
R4_6423P_Circle,R4,6423P,Br6423,P,Circle,Posterior,Br6423_pos,7,B,FALSE,1,B1,46333,Astro,8778,0.1894546003928086
R4_6423P_Circle,R4,6423P,Br6423,P,Circle,Posterior,Br6423_pos,7,B,FALSE,1,B1,46333,Endo,32,6.906524507370557e-4
R4_6423P_Circle,R4,6423P,Br6423,P,Circle,Posterior,Br6423_pos,7,B,FALSE,1,B1,46333,Inhib,4859,0.1048712580666048
R4_6423P_Circle,R4,6423P,Br6423,P,Circle,Posterior,Br6423_pos,7,B,FALSE,1,B1,46333,Other,32664,0.7049834890898495
R4_8667M_Circle,R4,8667M,Br8667,M,Circle,Middle,Br8667_mid,7,D,FALSE,1,D1,50229,Astro,3797,0.07559378048537697
R4_8667M_Circle,R4,8667M,Br8667,M,Circle,Middle,Br8667_mid,7,D,FALSE,1,D1,50229,Endo,84,0.0016723406796870335
R4_8667M_Circle,R4,8667M,Br8667,M,Circle,Middle,Br8667_mid,7,D,FALSE,1,D1,50229,Inhib,5424,0.10798542674550558
R4_8667M_Circle,R4,8667M,Br8667,M,Circle,Middle,Br8667_mid,7,D,FALSE,1,D1,50229,Other,40924,0.8147484520894304
R5_8325A_Circle,R5,8325A,Br8325,A,Circle,Anterior,Br8325_ant,6,A,FALSE,1,A1,39363,Astro,4776,0.12133221553235271
