cellType,marker,Combo
Endo,CLDN5,CIRCLE
Astro,GFAP,CIRCLE
Inhib,GAD1,CIRCLE
Excit,SLC17A7,STAR
Micro,TMEM119,STAR
Oligo,OLIG2,STAR
