"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.OPC","log2fold_change","Auc"
"198","ENSG00000152208","hurdle",0,3.551832,4.26226,0.710428,0.753
"301","ENSG00000184221","hurdle",0,-2.341206,0.2790577,2.6202637,0.752
"266","ENSG00000171094","hurdle",0,0.4274839,1.6572392,1.2297553,0.752
"152","ENSG00000136297","hurdle",0,-0.6435576,1.112958,1.7565156,0.752
"257","ENSG00000169129","hurdle",0,-1.4937576,0.6484892,2.1422468,0.751
"214","ENSG00000156103","hurdle",0,2.608458,3.586882,0.978424,0.751
"284","ENSG00000178764","hurdle",0,-0.1264855,1.459702,1.5861875,0.748
"238","ENSG00000164309","hurdle",0,-0.7444179,0.8158289,1.5602468,0.743
"113","ENSG00000123104","hurdle",0,1.503641,2.125453,0.621812,0.743
"86","ENSG00000112531","hurdle",5.99293400234781e-290,2.865594,3.707402,0.841808,0.742
"72","ENSG00000105894","hurdle",0,0.06577778,1.45591186,1.39013408,0.741
"285","ENSG00000179241","hurdle",0,0.2121973,1.4798386,1.2676413,0.738
"211","ENSG00000154975","hurdle",0,3.062617,3.5909,0.528283,0.735
"98","ENSG00000115183","hurdle",0,-0.4039828,1.0228711,1.4268539,0.734
"349","ENSG00000227220","hurdle",0,-0.8459006,0.7602758,1.6061764,0.73
"226","ENSG00000162944","hurdle",0,-0.8407718,0.7893958,1.6301676,0.73
"269","ENSG00000171587","hurdle",0,4.670219,5.443285,0.773066,0.729
"248","ENSG00000166033","hurdle",0,-0.9842478,0.6979205,1.6821683,0.728
"356","ENSG00000242808","hurdle",4.0888983748796e-284,1.774149,3.009635,1.235486,0.727
"78","ENSG00000109686","hurdle",3.50162394513264e-285,1.14845,2.120673,0.972223,0.726
"31","ENSG00000077782","hurdle",0,-0.4484735,0.9858009,1.4342744,0.726
"105","ENSG00000118322","hurdle",0,-0.9085143,1.0657784,1.9742927,0.725
"209","ENSG00000154493","hurdle",0,0.1562695,1.1050283,0.9487588,0.721
"147","ENSG00000135905","hurdle",0,1.332973,1.983922,0.650949,0.721
"117","ENSG00000125462","hurdle",2.50444233482402e-282,0.3023138,1.5654967,1.2631829,0.719
"210","ENSG00000154856","hurdle",0,-1.96972804,0.09217953,2.06190757,0.718
"94","ENSG00000114200","hurdle",0,-2.71131798,0.06755356,2.77887154,0.718
"50","ENSG00000101144","hurdle",0,-2.23111083,-0.01871226,2.21239857,0.716
"368","ENSG00000259048","hurdle",0,-0.6645069,1.109171,1.7736779,0.715
"221","ENSG00000162407","hurdle",0,-0.943617,0.6413553,1.5849723,0.715
"191","ENSG00000150361","hurdle",0,-0.4562236,0.8103265,1.2665501,0.713
"205","ENSG00000153823","hurdle",4.7279390282922e-293,1.784051,2.396702,0.612651,0.71
"262","ENSG00000170075","hurdle",0,-2.4472063,-0.2414814,2.2057249,0.709
"88","ENSG00000112769","hurdle",0,-0.9635055,0.4970658,1.4605713,0.707
"264","ENSG00000170873","hurdle",2.81580158277367e-236,1.171312,2.037255,0.865943,0.705
"44","ENSG00000095015","hurdle",6.54399266907315e-297,-0.7790171,0.7448269,1.523844,0.705
"122","ENSG00000127328","hurdle",1.25057662383091e-243,-0.07154949,1.04790531,1.1194548,0.704
"215","ENSG00000157734","hurdle",0,-2.925049,-0.3350011,2.5900479,0.703
"47","ENSG00000100095","hurdle",5.30292964594475e-284,1.961365,2.52937,0.568005,0.703
"46","ENSG00000099954","hurdle",1.0837317164548e-307,-1.058158,0.491787,1.549945,0.703
"42","ENSG00000091656","hurdle",1.51984458534679e-303,0.2739179,1.0823795,0.8084616,0.703
"228","ENSG00000163110","hurdle",3.20370260835832e-295,-0.3552935,0.6738828,1.0291763,0.7
"134","ENSG00000132613","hurdle",8.25649055215083e-260,-0.6167259,0.6588887,1.2756146,0.699
"340","ENSG00000205927","hurdle",0,-2.8760369,-0.3885112,2.4875257,0.696
"260","ENSG00000169432","hurdle",4.29301621542133e-297,-0.2546041,0.8022465,1.0568506,0.696
"19","ENSG00000064270","hurdle",0,-1.85728208,-0.05070575,1.80657633,0.696
"108","ENSG00000120907","hurdle",0,-0.4292429,0.4580789,0.8873218,0.695
"115","ENSG00000124440","hurdle",0,-1.5115326,0.1502917,1.6618243,0.694
"40","ENSG00000089250","hurdle",0,-1.3593385,0.2009871,1.5603256,0.694
"358","ENSG00000244128","hurdle",2.45726460017737e-246,0.9563993,1.6071015,0.6507022,0.691
"59","ENSG00000102934","hurdle",2.17734616487139e-316,-1.5372675,0.06186526,1.59913276,0.691
"379","ENSG00000287550","hurdle",0,-2.9588111,-0.3846225,2.5741886,0.69
"106","ENSG00000118515","hurdle",1.07802802529422e-200,0.8300209,1.6036799,0.773659,0.686
"133","ENSG00000132561","hurdle",5.23864644531141e-293,-1.51887118,0.08588718,1.60475836,0.685
"100","ENSG00000115935","hurdle",1.29360396458619e-274,-1.1976213,0.3767945,1.5744158,0.685
"48","ENSG00000100146","hurdle",0,-2.204882,-0.2441213,1.9607607,0.685
"174","ENSG00000144791","hurdle",0,-2.2173828,-0.1812169,2.0361659,0.684
"52","ENSG00000101203","hurdle",0,-3.080928,-0.421995,2.658933,0.684
"242","ENSG00000165246","hurdle",2.64547561756775e-193,1.43993,2.352683,0.912753,0.683
"317","ENSG00000196083","hurdle",4.11296978724947e-257,0.08828499,0.91933025,0.83104526,0.681
"283","ENSG00000178538","hurdle",3.60778796757554e-308,-1.4339658,0.3853599,1.8193257,0.681
"114","ENSG00000123384","hurdle",3.90729566331634e-179,0.4214095,1.2586899,0.8372804,0.681
"378","ENSG00000286778","hurdle",0,-2.44461046,0.08448514,2.5290956,0.68
"367","ENSG00000258733","hurdle",5.61477168327035e-314,-1.472155,0.451568,1.923723,0.68
"326","ENSG00000197299","hurdle",0,-2.6762129,-0.4788974,2.1973155,0.68
"292","ENSG00000181804","hurdle",7.34633746553823e-189,0.6961957,1.2988397,0.602644,0.68
"109","ENSG00000121957","hurdle",3.63910360291964e-205,-0.3890016,0.7764296,1.1654312,0.68
"258","ENSG00000169181","hurdle",4.6625387892725e-260,-0.05303356,0.71115426,0.76418782,0.675
"239","ENSG00000164574","hurdle",1.15220887283673e-203,-0.5648278,0.4944288,1.0592566,0.675
"212","ENSG00000155324","hurdle",3.33254231612594e-207,-0.4751205,0.5345135,1.009634,0.673
"172","ENSG00000143842","hurdle",0,-2.4074857,-0.4552546,1.9522311,0.671
"125","ENSG00000129116","hurdle",1.06178927943132e-170,0.0428111,0.9469816,0.9041705,0.67
"331","ENSG00000198795","hurdle",1.64724474616508e-190,-0.3407735,0.6757461,1.0165196,0.669
"71","ENSG00000105855","hurdle",2.43441213225474e-186,-0.2363114,0.5814879,0.8177993,0.669
"234","ENSG00000163697","hurdle",4.67169480673589e-155,2.069818,2.659242,0.589424,0.668
"41","ENSG00000091490","hurdle",4.77398270246831e-242,-0.8390662,0.1642953,1.0033615,0.668
"180","ENSG00000146648","hurdle",3.13474830577968e-271,-0.4581495,0.2537086,0.7118581,0.666
"64","ENSG00000103528","hurdle",1.84527802033444e-204,-0.6002611,0.3490384,0.9492995,0.666
"273","ENSG00000173546","hurdle",0,-3.0545199,-0.7419318,2.3125881,0.665
"237","ENSG00000164300","hurdle",2.01974945340902e-149,0.5109104,1.4335102,0.9225998,0.663
"156","ENSG00000137478","hurdle",4.69522815344405e-151,1.630012,2.229968,0.599956,0.663
"130","ENSG00000131094","hurdle",0,-2.6645867,-0.6364387,2.028148,0.663
"179","ENSG00000146592","hurdle",3.25808547158931e-174,0.4780708,1.1742153,0.6961445,0.661
"309","ENSG00000186998","hurdle",3.1475450646964e-264,-1.882434,-0.268996,1.613438,0.66
"173","ENSG00000144230","hurdle",0,-3.2383738,-0.7307817,2.5075921,0.658
"316","ENSG00000189058","hurdle",4.93106359855019e-233,-1.6962038,-0.2257428,1.470461,0.657
"159","ENSG00000138193","hurdle",9.20326627225207e-215,-0.97267019,0.03162803,1.00429822,0.655
"338","ENSG00000205683","hurdle",1.43845156244739e-177,-0.6201798,0.3189504,0.9391302,0.654
"127","ENSG00000130508","hurdle",2.32468803435411e-282,-1.9343967,-0.4872127,1.447184,0.654
"6","ENSG00000020577","hurdle",4.18050325638504e-142,1.194384,1.84655,0.652166,0.654
"197","ENSG00000151892","hurdle",7.15241234760644e-227,-1.3028065,-0.0921182,1.2106883,0.653
"3","ENSG00000008311","hurdle",4.08996257523446e-206,-1.5834784,-0.2450023,1.3384761,0.653
"61","ENSG00000103196","hurdle",0,-2.4053808,-0.3145106,2.0908702,0.652
"371","ENSG00000259417","hurdle",4.28833975115953e-312,-1.8887913,-0.3519853,1.536806,0.651
"140","ENSG00000134508","hurdle",2.38703870987116e-132,0.06514543,1.00482569,0.93968026,0.649
"337","ENSG00000205336","hurdle",4.72153223265846e-205,-1.7129397,-0.3154357,1.397504,0.648
"95","ENSG00000114646","hurdle",1.95056703834092e-146,-0.7679774,0.2630344,1.0310118,0.647
"12","ENSG00000049089","hurdle",1.27364405550687e-280,-2.3367868,-0.6468805,1.6899063,0.647
"1","ENSG00000005513","hurdle",1.56020446468015e-264,-2.200374,-0.5920446,1.6083294,0.647
"176","ENSG00000145555","hurdle",1.01594168617607e-168,-0.94820597,-0.01269789,0.93550808,0.646
"170","ENSG00000140807","hurdle",3.74596952818818e-203,-1.5762781,-0.3080515,1.2682266,0.645
"13","ENSG00000049192","hurdle",8.34542366019209e-235,-0.8370317,0.1496214,0.9866531,0.645
"339","ENSG00000205809","hurdle",0,-3.181317,-0.935999,2.245318,0.643
"167","ENSG00000139946","hurdle",1.58111860707268e-143,0.004616577,0.719759279,0.715142702,0.643
"160","ENSG00000138448","hurdle",5.2984865116716e-129,-0.5419112,0.4096359,0.9515471,0.642
"362","ENSG00000248184","hurdle",0,-3.2195138,-0.7531688,2.466345,0.639
"204","ENSG00000153822","hurdle",0,-2.9234417,-0.8733541,2.0500876,0.639
"26","ENSG00000069869","hurdle",1.73227796104206e-229,-2.042225,-0.4532169,1.5890081,0.639
"310","ENSG00000187068","hurdle",2.66087714484655e-129,-0.6011442,0.4051502,1.0062944,0.638
"20","ENSG00000064655","hurdle",2.4732041321077e-216,-1.610865,-0.3739824,1.2368826,0.638
"251","ENSG00000166573","hurdle",1.88252922889594e-293,-2.155227,-0.6620977,1.4931293,0.637
"163","ENSG00000138669","hurdle",8.79105245140278e-199,-0.5438778,0.1341193,0.6779971,0.637
"241","ENSG00000165029","hurdle",5.33934443843531e-161,-1.2513648,-0.2485319,1.0028329,0.635
"195","ENSG00000151414","hurdle",4.18789539756951e-117,-0.5606837,0.3337778,0.8944615,0.635
"101","ENSG00000116117","hurdle",1.03206650030929e-150,-0.1489361,0.4986457,0.6475818,0.635
"196","ENSG00000151491","hurdle",8.62201548352521e-136,-0.4237648,0.2924782,0.716243,0.634
"138","ENSG00000134250","hurdle",4.99020832705839e-187,-1.7364716,-0.5135112,1.2229604,0.634
"68","ENSG00000105088","hurdle",2.96375305516328e-116,-0.02400128,0.60416917,0.62817045,0.634
"164","ENSG00000139289","hurdle",1.22718116733012e-178,-1.824101,-0.489299,1.334802,0.633
"14","ENSG00000050405","hurdle",1.61197964459895e-132,-0.98445728,0.09774979,1.08220707,0.633
"217","ENSG00000158352","hurdle",5.66445783984434e-188,-0.73117631,0.08097408,0.81215039,0.632
"178","ENSG00000146477","hurdle",0,-2.6590592,-0.6918205,1.9672387,0.631
"139","ENSG00000134376","hurdle",4.21572576280641e-113,0.009278916,0.718403999,0.709125083,0.631
"107","ENSG00000120156","hurdle",2.07749394412087e-193,-1.8565151,-0.3163614,1.5401537,0.631
"60","ENSG00000103089","hurdle",2.38936212166192e-228,-0.9186355,-0.2663102,0.6523253,0.631
"51","ENSG00000101198","hurdle",0,-2.869832,-1.016454,1.853378,0.631
"25","ENSG00000067955","hurdle",4.61815976337115e-130,-1.12956013,-0.08658002,1.04298011,0.631
"322","ENSG00000196526","hurdle",3.46243950759214e-114,0.07251403,0.75323398,0.68071995,0.63
"229","ENSG00000163235","hurdle",6.54310638333447e-278,-2.6248619,-0.9036408,1.7212211,0.629
"280","ENSG00000177694","hurdle",3.23128019885042e-89,1.295486,1.88853,0.593044,0.628
"219","ENSG00000160307","hurdle",6.04807120791083e-147,-1.4090804,-0.4031878,1.0058926,0.628
"32","ENSG00000077943","hurdle",1.63977241652213e-222,-0.7378702,-0.1694603,0.5684099,0.627
"39","ENSG00000088881","hurdle",1.28679784429571e-166,-1.8727083,-0.6249247,1.2477836,0.626
"33","ENSG00000079335","hurdle",6.76523552778042e-205,-1.5449702,-0.5370572,1.007913,0.626
"311","ENSG00000187098","hurdle",2.54500068080238e-125,-0.6860204,0.1576438,0.8436642,0.625
"287","ENSG00000179455","hurdle",7.56314123407943e-145,-1.4374742,-0.2906639,1.1468103,0.625
"70","ENSG00000105854","hurdle",1.12362790525276e-150,-1.5283836,-0.4976746,1.030709,0.625
"38","ENSG00000085117","hurdle",1.12900843016806e-240,-2.4693155,-0.7925579,1.6767576,0.625
"348","ENSG00000227110","hurdle",5.62240627232012e-84,1.044176,1.714104,0.669928,0.624
"275","ENSG00000174607","hurdle",3.80939095026858e-176,-0.6150628,-0.1112693,0.5037935,0.623
"91","ENSG00000113296","hurdle",1.21420097135265e-132,-1.4833596,-0.4440827,1.0392769,0.623
"369","ENSG00000259070","hurdle",8.49406720989069e-153,-0.8823219,0.1060651,0.988387,0.622
"274","ENSG00000173905","hurdle",4.33213843513429e-115,-0.4586223,0.1307271,0.5893494,0.621
"5","ENSG00000019144","hurdle",3.05271913101318e-104,-0.8680486,-0.04225769,0.82579091,0.62
"97","ENSG00000114993","hurdle",2.312975779267e-212,-2.513972,-1.062306,1.451666,0.619
"181","ENSG00000146966","hurdle",2.89971212617705e-97,-0.5417956,0.1589766,0.7007722,0.618
"2","ENSG00000007062","hurdle",1.02920915498686e-256,-2.5302401,-0.8760813,1.6541588,0.618
"365","ENSG00000256463","hurdle",2.743554178057e-300,-2.865389,-1.127425,1.737964,0.617
"265","ENSG00000171016","hurdle",6.93563064757208e-139,-1.7210319,-0.6410702,1.0799617,0.615
"272","ENSG00000173193","hurdle",1.2645897858183e-178,-2.164927,-0.900861,1.264066,0.614
"263","ENSG00000170802","hurdle",3.30239304750946e-83,-0.526274,0.2449498,0.7712238,0.614
"249","ENSG00000166348","hurdle",7.52752534904763e-72,0.5021911,1.1225532,0.6203621,0.614
"182","ENSG00000147588","hurdle",2.20216352690665e-141,-1.9118121,-0.6644531,1.247359,0.613
"305","ENSG00000185650","hurdle",2.14221647305173e-148,-1.5128915,-0.6822424,0.8306491,0.612
"79","ENSG00000110092","hurdle",6.29157209412747e-203,-2.4665332,-0.8829219,1.5836113,0.612
"28","ENSG00000072182","hurdle",5.11625690497391e-193,-2.0415711,-0.9896262,1.0519449,0.611
"334","ENSG00000204099","hurdle",0,-3.142702,-1.380744,1.761958,0.61
"126","ENSG00000130413","hurdle",6.05334664008193e-105,-0.3146315,0.289439,0.6040705,0.609
"329","ENSG00000198373","hurdle",8.5129966208597e-72,-0.2452562,0.4395546,0.6848108,0.608
"320","ENSG00000196338","hurdle",1.31995362632269e-93,-1.3288994,-0.4552546,0.8736448,0.608
"24","ENSG00000065361","hurdle",3.22905129607651e-134,-1.7884632,-0.7197171,1.0687461,0.608
"376","ENSG00000269834","hurdle",1.02570428491824e-117,-1.6985214,-0.5675916,1.1309298,0.607
"270","ENSG00000172340","hurdle",4.02662589909968e-102,-1.3768287,-0.3768765,0.9999522,0.607
"15","ENSG00000056487","hurdle",6.21826464432701e-116,-1.403118,-0.5305973,0.8725207,0.606
"271","ENSG00000172380","hurdle",6.84981558429917e-137,-1.4549278,-0.6180602,0.8368676,0.605
"158","ENSG00000137965","hurdle",2.20970046983918e-238,-2.787851,-1.256505,1.531346,0.604
"290","ENSG00000181449","hurdle",4.20237079301427e-108,-1.6587834,-0.7481638,0.9106196,0.603
"366","ENSG00000258569","hurdle",2.19129599540221e-119,-1.9536449,-0.7771827,1.1764622,0.602
"299","ENSG00000182648","hurdle",5.45565928754953e-77,-0.75286758,0.03308235,0.78594993,0.602
"361","ENSG00000247675","hurdle",2.54039998322191e-205,-2.711491,-1.137206,1.574285,0.601
"324","ENSG00000196739","hurdle",8.23771520585115e-134,-2.1561705,-0.9502974,1.2058731,0.599
"67","ENSG00000104368","hurdle",7.02027572709394e-157,-2.400621,-1.054562,1.346059,0.599
"345","ENSG00000224243","hurdle",2.83335940661129e-162,-1.865939,-1.071654,0.794285,0.598
"354","ENSG00000239381","hurdle",4.58727334574045e-98,-1.567151,-0.489299,1.077852,0.597
"96","ENSG00000114698","hurdle",2.07157416135394e-142,-2.094621,-0.9866759,1.1079451,0.597
"363","ENSG00000253807","hurdle",4.83704287547545e-84,-0.5828717,0.2784447,0.8613164,0.594
"151","ENSG00000136235","hurdle",3.04289240330189e-315,-3.126893,-1.155312,1.971581,0.594
"7","ENSG00000030419","hurdle",2.93646154172454e-62,-0.78799237,-0.08579058,0.70220179,0.593
"282","ENSG00000178075","hurdle",2.57520251349361e-86,-1.2222345,-0.5686941,0.6535404,0.592
"145","ENSG00000135318","hurdle",5.27811922255287e-140,-2.467997,-1.183749,1.284248,0.592
"222","ENSG00000162512","hurdle",9.65825704260151e-61,-0.8205772,-0.262737,0.5578402,0.591
"207","ENSG00000154274","hurdle",5.1079976342671e-142,-2.3778808,-0.9793264,1.3985544,0.591
"65","ENSG00000103966","hurdle",2.91634996581788e-136,-2.412832,-1.143764,1.269068,0.591
"372","ENSG00000262223","hurdle",5.09151261416695e-99,-1.7407997,-0.8490384,0.8917613,0.59
"104","ENSG00000116525","hurdle",3.27164138380308e-95,-1.8630476,-0.8172422,1.0458054,0.59
"208","ENSG00000154309","hurdle",1.78273857701491e-60,-0.54314482,0.01994031,0.56308513,0.589
"250","ENSG00000166387","hurdle",1.33925485953943e-67,-1.2997407,-0.5241663,0.7755744,0.588
"166","ENSG00000139352","hurdle",1.52134090554387e-130,-2.500579,-1.281596,1.218983,0.588
"92","ENSG00000113916","hurdle",4.17556473638229e-64,-1.0597023,-0.2779847,0.7817176,0.588
"30","ENSG00000076604","hurdle",3.7124159136458e-193,-2.884221,-1.491388,1.392833,0.588
"43","ENSG00000092758","hurdle",8.92070859473644e-126,-2.479465,-1.296132,1.183333,0.587
"165","ENSG00000139292","hurdle",3.53207230909768e-107,-1.7361189,-0.9289026,0.8072163,0.586
"168","ENSG00000140455","hurdle",2.27390871384495e-59,-1.0662828,-0.3855937,0.6806891,0.585
"333","ENSG00000203876","hurdle",9.07514255939443e-80,-1.4310367,-0.6422304,0.7888063,0.584
"157","ENSG00000137628","hurdle",8.22933301599862e-151,-2.718617,-1.376877,1.34174,0.584
"53","ENSG00000101265","hurdle",1.02467175037607e-81,-1.8480096,-0.9603912,0.8876184,0.584
"16","ENSG00000056736","hurdle",5.11867968356704e-173,-2.886372,-1.559897,1.326475,0.584
"247","ENSG00000166016","hurdle",4.54754014846198e-66,-1.2087738,-0.3749465,0.8338273,0.583
"244","ENSG00000165478","hurdle",1.07859127500176e-83,-1.6439009,-0.9734737,0.6704272,0.583
"111","ENSG00000122863","hurdle",2.83712443588046e-125,-2.54917,-1.367252,1.181918,0.583
"336","ENSG00000204580","hurdle",1.58810297203238e-89,-2.158886,-1.166953,0.991933,0.582
