"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Oligo","log2fold_change","Auc"
"108","ENSG00000123560","hurdle",0,-0.1789767,3.7847354,3.9637121,0.937
"166","ENSG00000147488","hurdle",0,-1.325726,3.843306,5.169032,0.935
"227","ENSG00000168314","hurdle",0,-1.31773,2.550778,3.868508,0.895
"294","ENSG00000197971","hurdle",0,1.580726,3.988452,2.407726,0.893
"48","ENSG00000091513","hurdle",0,-1.105845,2.267503,3.373348,0.869
"280","ENSG00000187147","hurdle",0,0.565316,3.58468,3.019364,0.867
"165","ENSG00000147459","hurdle",0,-1.448623,2.205687,3.65431,0.858
"142","ENSG00000136960","hurdle",0,-1.737663,1.890872,3.628535,0.857
"179","ENSG00000154493","hurdle",0,-1.484507,2.158503,3.64301,0.856
"22","ENSG00000064787","hurdle",0,-1.291755,1.662034,2.953789,0.856
"90","ENSG00000114541","hurdle",0,-0.5263757,2.480642,3.0070177,0.848
"200","ENSG00000164124","hurdle",0,-1.095454,2.161466,3.25692,0.839
"274","ENSG00000183960","hurdle",0,-0.7725284,2.0556715,2.8281999,0.838
"296","ENSG00000198121","hurdle",0,-1.802689,1.523615,3.326304,0.822
"221","ENSG00000167123","hurdle",0,-1.931465,1.370237,3.301702,0.819
"304","ENSG00000204655","hurdle",0,-2.6263813,0.9653134,3.5916947,0.817
"245","ENSG00000174607","hurdle",0,-2.14514,1.313982,3.459122,0.815
"336","ENSG00000253877","hurdle",0,-2.469055,1.722835,4.19189,0.814
"252","ENSG00000176771","hurdle",0,0.4966735,2.8096309,2.3129574,0.814
"172","ENSG00000150656","hurdle",0,-2.413668,1.211572,3.62524,0.811
"137","ENSG00000135905","hurdle",0,0.6132876,2.7892004,2.1759128,0.808
"69","ENSG00000103089","hurdle",0,-2.486343,1.0347,3.521043,0.807
"25","ENSG00000065809","hurdle",0,-1.962728,1.281555,3.244283,0.807
"19","ENSG00000054690","hurdle",0,-0.3604872,2.1081567,2.4686439,0.805
"285","ENSG00000188153","hurdle",0,-2.247146,1.104294,3.35144,0.799
"162","ENSG00000146122","hurdle",0,-1.007506,1.397085,2.404591,0.795
"86","ENSG00000112531","hurdle",0,2.299633,4.186344,1.886711,0.794
"11","ENSG00000013297","hurdle",0,-2.4274018,0.8023442,3.229746,0.791
"270","ENSG00000183230","hurdle",0,2.133663,4.072911,1.939248,0.79
"185","ENSG00000158352","hurdle",0,-2.168727,1.184268,3.352995,0.788
"212","ENSG00000165959","hurdle",0,-0.7462591,1.6242575,2.3705166,0.787
"174","ENSG00000150867","hurdle",0,0.8911543,3.0655064,2.1743521,0.787
"297","ENSG00000198597","hurdle",0,1.018195,2.226918,1.208723,0.785
"342","ENSG00000259070","hurdle",0,-2.349797,1.060518,3.410315,0.78
"312","ENSG00000227088","hurdle",0,-1.723578,2.018795,3.742373,0.779
"243","ENSG00000173786","hurdle",0,-1.009864,1.286775,2.296639,0.778
"339","ENSG00000257585","hurdle",0,-0.8003324,1.9031034,2.7034358,0.774
"79","ENSG00000107317","hurdle",0,0.1625353,1.6815275,1.5189922,0.773
"47","ENSG00000086205","hurdle",0,-2.8446955,0.5828774,3.4275729,0.767
"45","ENSG00000084453","hurdle",0,-1.887211,0.721125,2.608336,0.767
"188","ENSG00000158865","hurdle",0,-2.392727,1.535176,3.927903,0.763
"153","ENSG00000141338","hurdle",0,-2.6131442,0.5917798,3.204924,0.762
"290","ENSG00000196187","hurdle",0,-2.4636293,0.5937116,3.0573409,0.761
"173","ENSG00000150760","hurdle",0,-0.5677434,1.3579925,1.9257359,0.761
"112","ENSG00000124920","hurdle",0,-2.6965037,0.3387699,3.0352736,0.761
"82","ENSG00000108381","hurdle",0,-2.6852562,0.4539458,3.139202,0.761
"55","ENSG00000099194","hurdle",0,-0.9581858,1.208309,2.1664948,0.759
"278","ENSG00000186417","hurdle",0,-1.127893,1.219101,2.346994,0.757
"75","ENSG00000105695","hurdle",0,-2.6960931,0.2078734,2.9039665,0.752
"8","ENSG00000011426","hurdle",0,-2.209453,0.5924826,2.8019356,0.751
"96","ENSG00000117266","hurdle",0,-0.9992528,1.1071857,2.1064385,0.75
"163","ENSG00000146592","hurdle",0,-0.05446593,1.74176746,1.79623339,0.745
"291","ENSG00000197430","hurdle",0,-2.7203083,0.3976577,3.117966,0.744
"9","ENSG00000012124","hurdle",0,-2.9367542,0.2043145,3.1410687,0.743
"358","ENSG00000286749","hurdle",0,-1.358484,2.098232,3.456716,0.742
"181","ENSG00000154864","hurdle",0,-1.7692698,0.8130118,2.5822816,0.741
"119","ENSG00000127946","hurdle",0,-0.296971,1.423541,1.720512,0.737
"229","ENSG00000169247","hurdle",0,-2.8646257,0.3108569,3.1754826,0.736
"196","ENSG00000162944","hurdle",0,-1.521035,0.717586,2.238621,0.736
"271","ENSG00000183580","hurdle",0,0.8514221,1.8709156,1.0194935,0.734
"140","ENSG00000136541","hurdle",0,-2.5914124,0.1459064,2.7373188,0.733
"104","ENSG00000122367","hurdle",0,-2.253173,0.4040771,2.6572501,0.733
"151","ENSG00000140479","hurdle",0,-0.5495974,1.4446151,1.9942125,0.732
"36","ENSG00000075651","hurdle",0,-1.03249,1.058548,2.091038,0.732
"15","ENSG00000028116","hurdle",0,-2.3585409,0.6946133,3.0531542,0.73
"355","ENSG00000285051","hurdle",0,-0.663016,1.73283,2.395846,0.728
"98","ENSG00000118322","hurdle",0,-1.601593,0.731531,2.333124,0.728
"134","ENSG00000135362","hurdle",0,-2.3343808,0.5369751,2.8713559,0.727
"222","ENSG00000167191","hurdle",0,-0.8030375,0.7943486,1.5973861,0.725
"155","ENSG00000141540","hurdle",0,-2.3515735,0.1969394,2.5485129,0.725
"161","ENSG00000145794","hurdle",0,-1.2199864,0.7378976,1.957884,0.724
"318","ENSG00000228793","hurdle",0,-2.449029,1.130359,3.579388,0.723
"21","ENSG00000064393","hurdle",0,0.5455761,1.8187893,1.2732132,0.723
"27","ENSG00000066468","hurdle",0,-0.4584806,1.2144855,1.6729661,0.722
"68","ENSG00000102934","hurdle",0,-2.312977,0.095235,2.408212,0.721
"13","ENSG00000019144","hurdle",0,-1.5207622,0.5429865,2.0637487,0.721
"28","ENSG00000070214","hurdle",0,1.954094,3.182618,1.228524,0.72
"44","ENSG00000081913","hurdle",0,1.359574,2.873892,1.514318,0.719
"58","ENSG00000100142","hurdle",0,-0.2639671,1.4582706,1.7222377,0.718
"314","ENSG00000227115","hurdle",0,-1.7348136,0.6600821,2.3948957,0.716
"208","ENSG00000165424","hurdle",0,-1.768838,0.1601984,1.9290364,0.712
"275","ENSG00000184144","hurdle",0,-0.9397218,0.7009816,1.6407034,0.71
"203","ENSG00000164176","hurdle",0,1.924798,2.872048,0.94725,0.71
"226","ENSG00000168297","hurdle",0,0.4421439,1.9742927,1.5321488,0.708
"240","ENSG00000172005","hurdle",0,-2.729311,-0.143962,2.585349,0.705
"335","ENSG00000253807","hurdle",0,-1.559444,1.096078,2.655522,0.703
"23","ENSG00000065361","hurdle",0,-2.6544213,-0.1642978,2.4901235,0.703
"250","ENSG00000176485","hurdle",0,-1.4945565,0.3529412,1.8474977,0.702
"241","ENSG00000172508","hurdle",0,-2.6166363,-0.1561586,2.4604777,0.699
"168","ENSG00000148180","hurdle",0,-0.9437369,0.7377388,1.6814757,0.698
"346","ENSG00000262223","hurdle",0,-2.6429024,-0.1102645,2.5326379,0.697
"170","ENSG00000149633","hurdle",0,-2.3590282,-0.1082646,2.2507636,0.696
"10","ENSG00000012171","hurdle",0,-2.5150212,-0.2315858,2.2834354,0.696
"307","ENSG00000213186","hurdle",0,-2.724698,-0.117286,2.607412,0.695
"201","ENSG00000164161","hurdle",0,-0.439931,1.126603,1.566534,0.694
"183","ENSG00000157483","hurdle",0,-1.0624703,0.6442397,1.70671,0.694
"133","ENSG00000134851","hurdle",0,0.5816819,2.0194481,1.4377662,0.692
"223","ENSG00000167641","hurdle",0,-2.446265,-0.165634,2.280631,0.691
"43","ENSG00000081479","hurdle",0,-2.6698572,0.1752887,2.8451459,0.69
"202","ENSG00000164171","hurdle",0,-2.81899002,0.07199021,2.89098023,0.685
"230","ENSG00000169504","hurdle",0,-1.708802,0.1126098,1.8214118,0.683
"169","ENSG00000148826","hurdle",0,-2.8949292,-0.4403494,2.4545798,0.683
"234","ENSG00000170775","hurdle",0,-2.01783909,-0.08125366,1.93658543,0.682
"31","ENSG00000071991","hurdle",0,-2.8268335,-0.2948372,2.5319963,0.682
"334","ENSG00000250722","hurdle",0,-2.4577019,-0.2113591,2.2463428,0.68
"92","ENSG00000115468","hurdle",0,-2.004434371,0.009819318,2.014253689,0.679
"80","ENSG00000107331","hurdle",0,-0.5617005,0.7130691,1.2747696,0.679
"264","ENSG00000181722","hurdle",0,2.155601,2.854944,0.699343,0.674
"94","ENSG00000116574","hurdle",0,-2.3114044,-0.3067457,2.0046587,0.673
"85","ENSG00000109846","hurdle",0,-1.3203375,0.3141627,1.6345002,0.667
"3","ENSG00000005893","hurdle",0,-0.2829541,0.893205,1.1761591,0.667
"281","ENSG00000187164","hurdle",0,1.830681,2.572825,0.742144,0.666
"49","ENSG00000092529","hurdle",0,-1.8926107,-0.1102645,1.7823462,0.666
"306","ENSG00000207955","hurdle",0,-2.9365118,-0.5694067,2.3671051,0.664
