"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"185","ENSG00000128683","hurdle",0,-1.871716,3.015619,4.887335,0.926
"315","ENSG00000151789","hurdle",0,1.203126,4.65437,3.451244,0.923
"450","ENSG00000171189","hurdle",0,0.8051733,5.8616706,5.0564973,0.915
"271","ENSG00000144642","hurdle",0,1.637274,4.894618,3.257344,0.913
"309","ENSG00000151136","hurdle",0,-1.560157,3.467452,5.027609,0.912
"224","ENSG00000136750","hurdle",0,-2.165703,3.120188,5.285891,0.911
"352","ENSG00000157103","hurdle",0,-0.07393365,2.86133858,2.93527223,0.888
"269","ENSG00000144596","hurdle",0,-2.546442,1.737267,4.283709,0.887
"555","ENSG00000188158","hurdle",0,-0.3596936,2.5631522,2.9228458,0.886
"18","ENSG00000029534","hurdle",0,-1.390784,2.071578,3.462362,0.884
"553","ENSG00000187957","hurdle",0,0.4007643,3.034929,2.6341647,0.869
"13","ENSG00000017427","hurdle",0,-2.762626,1.409979,4.172605,0.843
"346","ENSG00000155974","hurdle",0,2.29391,4.605835,2.311925,0.841
"643","ENSG00000259905","hurdle",0,0.8297968,3.1843042,2.3545074,0.835
"585","ENSG00000198785","hurdle",0,-0.5883682,2.3257738,2.914142,0.835
"418","ENSG00000168916","hurdle",0,-0.3818504,2.2000602,2.5819106,0.834
"614","ENSG00000232044","hurdle",0,-0.8596669,1.8965097,2.7561766,0.832
"567","ENSG00000196104","hurdle",0,1.627306,3.859941,2.232635,0.832
"533","ENSG00000185053","hurdle",0,2.951232,5.585567,2.634335,0.832
"303","ENSG00000150275","hurdle",0,1.161365,4.03845,2.877085,0.832
"380","ENSG00000163630","hurdle",0,1.00335,4.201832,3.198482,0.83
"349","ENSG00000156273","hurdle",0,-0.6890242,2.1124567,2.8014809,0.83
"526","ENSG00000184408","hurdle",0,3.302665,5.910054,2.607389,0.829
"344","ENSG00000155897","hurdle",0,0.2411181,2.5510359,2.3099178,0.829
"475","ENSG00000174473","hurdle",0,2.694932,6.472667,3.777735,0.827
"436","ENSG00000169855","hurdle",0,2.85471,4.952445,2.097735,0.827
"531","ENSG00000185008","hurdle",0,5.437805,6.896014,1.458209,0.825
"326","ENSG00000152932","hurdle",0,1.82088,3.478757,1.657877,0.821
"97","ENSG00000103460","hurdle",0,-1.638759,1.547533,3.186292,0.818
"449","ENSG00000171094","hurdle",0,-0.8719492,2.3033949,3.1753441,0.811
"423","ENSG00000169122","hurdle",0,0.05400735,2.18460107,2.13059372,0.809
"592","ENSG00000203727","hurdle",0,-0.1938627,2.8080382,3.0019009,0.808
"498","ENSG00000180287","hurdle",0,-0.1315201,2.7239762,2.8554963,0.808
"283","ENSG00000146555","hurdle",0,1.080316,3.369508,2.289192,0.806
"443","ENSG00000170579","hurdle",0,5.292548,6.792658,1.50011,0.805
"631","ENSG00000244694","hurdle",0,0.728772,2.844486,2.115714,0.804
"306","ENSG00000150556","hurdle",0,-2.139412,1.561954,3.701366,0.801
