"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"97","ENSG00000107099","hurdle",0,-2.725664,2.364739,5.090403,0.942
"237","ENSG00000148655","hurdle",0,0.60436,3.818007,3.213647,0.937
"39","ENSG00000077420","hurdle",0,-2.85272,2.465905,5.318625,0.93
"292","ENSG00000168918","hurdle",0,-1.86432,1.824401,3.688721,0.9
"26","ENSG00000059377","hurdle",0,-2.7094,1.555252,4.264652,0.883
"19","ENSG00000042980","hurdle",0,-2.285897,1.524886,3.810783,0.882
"36","ENSG00000073849","hurdle",0,0.4392296,3.0264628,2.5872332,0.864
"136","ENSG00000120594","hurdle",0,2.083025,4.151946,2.068921,0.86
"371","ENSG00000198879","hurdle",0,0.9387381,3.1221957,2.1834576,0.854
"157","ENSG00000125730","hurdle",0,-2.97831,1.066522,4.044832,0.854
"98","ENSG00000107719","hurdle",0,-1.783586,1.341831,3.125417,0.848
"43","ENSG00000082074","hurdle",0,-3.003192,1.227186,4.230378,0.848
"343","ENSG00000182578","hurdle",0,-2.9797619,0.9663133,3.9460752,0.844
"200","ENSG00000137491","hurdle",0,-2.073483,1.357038,3.430521,0.844
"156","ENSG00000125257","hurdle",0,-1.138627,1.720772,2.859399,0.838
"183","ENSG00000134516","hurdle",0,-1.418595,1.347154,2.765749,0.836
"212","ENSG00000138639","hurdle",0,1.058781,2.886514,1.827733,0.835
"147","ENSG00000123104","hurdle",0,1.45299,3.006866,1.553876,0.831
"403","ENSG00000266028","hurdle",0,0.7709926,2.735717,1.9647244,0.83
"81","ENSG00000104043","hurdle",0,-0.9611449,1.5963616,2.5575065,0.829
"195","ENSG00000136250","hurdle",0,-1.324416,1.355982,2.680398,0.82
"399","ENSG00000254087","hurdle",0,-2.6090576,0.8401156,3.4491732,0.813
"216","ENSG00000139679","hurdle",0,-1.7975086,0.8886208,2.6861294,0.811
"42","ENSG00000081237","hurdle",0,-2.9014165,0.6504948,3.5519113,0.806
"277","ENSG00000165025","hurdle",0,-2.8423074,0.6738417,3.5161491,0.803
"91","ENSG00000106034","hurdle",0,-2.2370888,0.9570596,3.1941484,0.802
"290","ENSG00000168329","hurdle",0,-3.1342434,0.9556664,4.0899098,0.796
"267","ENSG00000162946","hurdle",0,-0.03464532,1.75614852,1.79079384,0.793
"241","ENSG00000151702","hurdle",0,-2.092765,0.6794792,2.7722442,0.792
"231","ENSG00000146090","hurdle",0,-0.943028,1.450013,2.393041,0.792
"166","ENSG00000129667","hurdle",0,-3.083415,0.4153303,3.4987453,0.792
"295","ENSG00000169313","hurdle",0,-1.648724,1.342542,2.991266,0.791
"40","ENSG00000079215","hurdle",0,0.6947443,2.2196414,1.5248971,0.789
"219","ENSG00000140678","hurdle",0,-3.191246,0.365141,3.556387,0.78
"348","ENSG00000184384","hurdle",0,0.8391991,2.3492599,1.5100608,0.778
"407","ENSG00000273749","hurdle",0,0.0830425,1.8751489,1.7921064,0.776
