Mixture	Inhib	Oligo	OPC	Excit	Astro	EndoMural	Micro	P-value	Correlation	RMSE
2107UNHS-0291_Br2720_Mid_Bulk	0.00000000000000000	0.06820023943687213	0.14691017458362043	0.64066530892720486	0.03550322622825834	0.09185272101750733	0.01686832980653707	9999.00000000000000000	0.81532480959242992	0.71437736076295244
2107UNHS-0291_Br2720_Mid_Cyto	0.00000000000000000	0.03221174989419919	0.10674977379988233	0.71969562881420290	0.03153515887227374	0.09853793792506875	0.01126975069437305	9999.00000000000000000	0.68313335548895149	0.78436188323163347
2107UNHS-0291_Br2720_Mid_Nuc	0.00000000000000000	0.04702698994768181	0.08599481436382096	0.68468836395701405	0.03274402968206852	0.13918484129208483	0.01036096075732985	9999.00000000000000000	0.71896977649417004	0.77525032882800182
2107UNHS-0291_Br6432_Ant_Bulk	0.00000000000000000	0.08172550657151519	0.09644665598217467	0.61286015106347969	0.07122053674522907	0.12625058689902144	0.01149656273857988	9999.00000000000000000	0.73445261176746557	0.76939427840154995
2107UNHS-0291_Br6432_Ant_Cyto	0.00000000000000000	0.04037117465649281	0.08000448163902163	0.66308738475718210	0.07410118889413632	0.13476814613773735	0.00766762391542965	9999.00000000000000000	0.58187515112732813	0.83753422984015480
2107UNHS-0291_Br6432_Ant_Nuc	0.00000000000000000	0.05647369456699557	0.08401670145827711	0.61131897764391574	0.08153873340505255	0.15677314944277598	0.00987874348298309	9999.00000000000000000	0.69384625011568368	0.78880307636959501
2107UNHS-0291_Br6432_Mid_Bulk	0.00000000000000000	0.08184407400800427	0.07116381130203286	0.56027704818591206	0.11362285567070354	0.16234440556625912	0.01074780526708819	9999.00000000000000000	0.64900566886466005	0.80828623427036350
2107UNHS-0291_Br6432_Mid_Cyto	0.00000000000000000	0.04184881553752848	0.03951123931048809	0.62538050046495497	0.11185273418985223	0.17516336358026399	0.00624334691691227	9999.00000000000000000	0.55230157552715997	0.85051687239684592
2107UNHS-0291_Br6432_Mid_Nuc	0.00000000000000000	0.06362493907869859	0.06517083677086555	0.55363232923243533	0.10917325653426561	0.19819836643386640	0.01020027194986848	9999.00000000000000000	0.62180887964579923	0.82277283785377797
2107UNHS-0291_Br6471_Ant_Bulk	0.00000000000000000	0.05784789477437793	0.14542888976178203	0.64587642544651702	0.02926219948609238	0.10588963477681468	0.01569495575441587	9999.00000000000000000	0.78897552367269475	0.72932732744315876
2107UNHS-0291_Br6471_Ant_Cyto	0.00000000000000000	0.03250117100916657	0.15672934783696052	0.64129433019014970	0.02483160435139533	0.13623345286060695	0.00841009375172120	9999.00000000000000000	0.63538177487434133	0.80668018098258942
2107UNHS-0291_Br6471_Ant_Nuc	0.00000000000000000	0.04824404504318953	0.11064788789601947	0.67831105721449525	0.03070693713994479	0.12032963825644935	0.01176043444990173	9999.00000000000000000	0.72880982822193952	0.76610154737735447
2107UNHS-0293_Br2720_Mid_Bulk	0.08157009029807698	0.06852747170505255	0.10374481103516973	0.49488639734104800	0.15297352524574445	0.07073589455534113	0.02756180981956722	9999.00000000000000000	0.88340384687705931	0.65862965059176970
2107UNHS-0293_Br2720_Mid_Cyto	0.08509908595731015	0.05244837404393628	0.08356489445868176	0.53500114506584051	0.15155124895452621	0.06674618850897396	0.02558906301073125	9999.00000000000000000	0.86273055877840643	0.67153109771142994
2107UNHS-0293_Br6432_Ant_Bulk	0.06585474117354444	0.08037974533146293	0.07244030893241483	0.47281905896640736	0.21314258443103468	0.07410049052697032	0.02126307063816547	9999.00000000000000000	0.92023980585287424	0.59460629655505459
2107UNHS-0293_Br6432_Ant_Cyto	0.08773690222538827	0.06889298344409830	0.03635995328649236	0.46326927823031255	0.25306230093012627	0.06675322562167990	0.02392535626190248	9999.00000000000000000	0.90230897292059742	0.57669283037857977
2107UNHS-0293_Br6432_Ant_Nuc	0.05264502518709672	0.08418682978959970	0.07759737361506226	0.44981540826550642	0.22725407578801998	0.08789539946617383	0.02060588788854105	9999.00000000000000000	0.92157593770270174	0.58260499255108655
2107UNHS-0293_Br6432_Mid_Bulk	0.02950037718731000	0.09671214369231242	0.04693478486190556	0.46768246674812530	0.24850943306901035	0.08733285052854733	0.02332794391278906	9999.00000000000000000	0.91950754091693954	0.56756599604281510
2107UNHS-0293_Br6432_Mid_Cyto	0.07135831266655959	0.06202690215367968	0.02778078698022821	0.46371320144113476	0.27568448987003713	0.07682342285412171	0.02261288403423885	9999.00000000000000000	0.91958727232019233	0.54022918769006434
2107UNHS-0293_Br6432_Mid_Nuc	0.04750326965222952	0.09218644909045640	0.04561722561277246	0.44627657064364390	0.24865686006737697	0.09608206836751502	0.02367755656600570	9999.00000000000000000	0.92529688652838749	0.56389359799179017
2107UNHS-0293_Br6471_Ant_Bulk	0.06340019497841319	0.06975850104986957	0.10275732080557994	0.52324871612875112	0.12495892902577285	0.09261239311851263	0.02326394489310064	9999.00000000000000000	0.87877182907892737	0.67791369167027093
2107UNHS-0293_Br6471_Ant_Cyto	0.08340062888190078	0.05351869850791357	0.09379581054058710	0.46578986092338615	0.18294030566176542	0.09233203623091041	0.02822265925353665	9999.00000000000000000	0.84328379013666188	0.66998542231290081
2107UNHS-0293_Br6471_Ant_Nuc	0.04604222285363700	0.07074840920912608	0.10875421979939498	0.53920898461602562	0.11884624168916595	0.09574851424361853	0.02065140758903175	9999.00000000000000000	0.87180911803676697	0.68244738531569027
