SAMPLE_ID,Dataset,BrNum,pos,library_prep,cell_size_opt,method,cell_type,prop,Sample,RNAscope_prop,snRNA_prop,library_type,rna_extract,library_combo
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,akt3,music,Astro,0,Br2720_mid,NA,0.049439683586025046,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,akt3,music,EndoMural,0.05969416981909744,Br2720_mid,NA,0.012195121951219513,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,akt3,music,Excit,0.18968143435897383,Br2720_mid,NA,0.11634805537244562,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,akt3,music,Inhib,0.3938093756816302,Br2720_mid,NA,0.571193144363876,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,akt3,music,Micro,0.00352688377268044,Br2720_mid,NA,0.004943968358602505,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,akt3,music,OligoOPC,0.353288136367618,Br2720_mid,NA,0.24588002636783124,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area,music,Astro,0,Br2720_mid,NA,0.049439683586025046,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area,music,EndoMural,0.05727579787415433,Br2720_mid,NA,0.012195121951219513,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area,music,Excit,0.1839517000945017,Br2720_mid,NA,0.11634805537244562,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area,music,Inhib,0.373328787195606,Br2720_mid,NA,0.571193144363876,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area,music,Micro,0.00397439434632128,Br2720_mid,NA,0.004943968358602505,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area,music,OligoOPC,0.3814693204894168,Br2720_mid,NA,0.24588002636783124,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area_akt3,music,Astro,0,Br2720_mid,NA,0.049439683586025046,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area_akt3,music,EndoMural,0.05885197713983609,Br2720_mid,NA,0.012195121951219513,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area_akt3,music,Excit,0.17511300508476996,Br2720_mid,NA,0.11634805537244562,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area_akt3,music,Inhib,0.3600448698839616,Br2720_mid,NA,0.571193144363876,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area_akt3,music,Micro,0.00426321357701774,Br2720_mid,NA,0.004943968358602505,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,nuc_area_akt3,music,OligoOPC,0.40172693431441453,Br2720_mid,NA,0.24588002636783124,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,akt3,music,Astro,0,Br2720_mid,NA,0.049439683586025046,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,akt3,music,EndoMural,0.02561014527506197,Br2720_mid,NA,0.012195121951219513,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,akt3,music,Excit,0.4628606249683587,Br2720_mid,NA,0.11634805537244562,polyA,Cyto,polyA_Cyto
