"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"112","ENSG00000107099","hurdle",0,-2.725664,2.364739,5.090403,0.942
"270","ENSG00000148655","hurdle",0,0.60436,3.818007,3.213647,0.937
"43","ENSG00000077420","hurdle",0,-2.85272,2.465905,5.318625,0.93
"340","ENSG00000168918","hurdle",0,-1.86432,1.824401,3.688721,0.9
"28","ENSG00000059377","hurdle",0,-2.7094,1.555252,4.264652,0.883
"21","ENSG00000042980","hurdle",0,-2.285897,1.524886,3.810783,0.882
"39","ENSG00000073849","hurdle",0,0.4392296,3.0264628,2.5872332,0.864
"156","ENSG00000120594","hurdle",0,2.083025,4.151946,2.068921,0.86
"434","ENSG00000198879","hurdle",0,0.9387381,3.1221957,2.1834576,0.854
"180","ENSG00000125730","hurdle",0,-2.97831,1.066522,4.044832,0.854
"113","ENSG00000107719","hurdle",0,-1.783586,1.341831,3.125417,0.848
"48","ENSG00000082074","hurdle",0,-3.003192,1.227186,4.230378,0.848
"400","ENSG00000182578","hurdle",0,-2.9797619,0.9663133,3.9460752,0.844
"230","ENSG00000137491","hurdle",0,-2.073483,1.357038,3.430521,0.844
"178","ENSG00000125257","hurdle",0,-1.138627,1.720772,2.859399,0.838
"213","ENSG00000134516","hurdle",0,-1.418595,1.347154,2.765749,0.836
"243","ENSG00000138639","hurdle",0,1.058781,2.886514,1.827733,0.835
"169","ENSG00000123104","hurdle",0,1.45299,3.006866,1.553876,0.831
"477","ENSG00000266028","hurdle",0,0.7709926,2.735717,1.9647244,0.83
"91","ENSG00000104043","hurdle",0,-0.9611449,1.5963616,2.5575065,0.829
"225","ENSG00000136250","hurdle",0,-1.324416,1.355982,2.680398,0.82
"471","ENSG00000254087","hurdle",0,-2.6090576,0.8401156,3.4491732,0.813
"247","ENSG00000139679","hurdle",0,-1.7975086,0.8886208,2.6861294,0.811
"47","ENSG00000081237","hurdle",0,-2.9014165,0.6504948,3.5519113,0.806
"320","ENSG00000165025","hurdle",0,-2.8423074,0.6738417,3.5161491,0.803
"105","ENSG00000106034","hurdle",0,-2.2370888,0.9570596,3.1941484,0.802
"338","ENSG00000168329","hurdle",0,-3.1342434,0.9556664,4.0899098,0.796
"309","ENSG00000162946","hurdle",0,-0.03464532,1.75614852,1.79079384,0.793
"276","ENSG00000151702","hurdle",0,-2.092765,0.6794792,2.7722442,0.792
"264","ENSG00000146090","hurdle",0,-0.943028,1.450013,2.393041,0.792
"192","ENSG00000129667","hurdle",0,-3.083415,0.4153303,3.4987453,0.792
"344","ENSG00000169313","hurdle",0,-1.648724,1.342542,2.991266,0.791
"45","ENSG00000079215","hurdle",0,0.6947443,2.2196414,1.5248971,0.789
"250","ENSG00000140678","hurdle",0,-3.191246,0.365141,3.556387,0.78
"406","ENSG00000184384","hurdle",0,0.8391991,2.3492599,1.5100608,0.778
"483","ENSG00000273749","hurdle",0,0.0830425,1.8751489,1.7921064,0.776
"356","ENSG00000171310","hurdle",0,0.8101045,2.2194479,1.4093434,0.773
"189","ENSG00000128815","hurdle",0,-2.8986676,0.3232611,3.2219287,0.773
"249","ENSG00000140548","hurdle",0,-1.213144,1.031244,2.244388,0.772
"286","ENSG00000155307","hurdle",0,-2.8655079,0.6337499,3.4992578,0.77
"481","ENSG00000273409","hurdle",0,-3.1076981,0.7384607,3.8461588,0.769
"411","ENSG00000185650","hurdle",0,-1.666901,0.923246,2.590147,0.768
"272","ENSG00000148908","hurdle",0,-3.1407247,0.1882115,3.3289362,0.767
"241","ENSG00000138185","hurdle",0,-2.0224697,0.6470462,2.6695159,0.761
"257","ENSG00000142347","hurdle",0,-2.5525642,0.3029524,2.8555166,0.758
"263","ENSG00000145685","hurdle",0,-0.710855,1.378685,2.08954,0.757
"223","ENSG00000136205","hurdle",0,-1.4209171,0.6957045,2.1166216,0.757
"33","ENSG00000067066","hurdle",0,-2.4868016,0.2493781,2.7361797,0.757
"30","ENSG00000065413","hurdle",0,0.4262704,1.9519214,1.525651,0.752
"390","ENSG00000178573","hurdle",0,-1.5244145,0.5432748,2.0676893,0.751
"311","ENSG00000163219","hurdle",0,-1.9821086,0.6822897,2.6643983,0.75
"11","ENSG00000019582","hurdle",0,-2.8747392,0.2956294,3.1703686,0.749
"133","ENSG00000112799","hurdle",0,-2.3069599,0.3901101,2.69707,0.748
"419","ENSG00000196782","hurdle",8.37051058674583e-296,0.8000176,2.0208226,1.220805,0.746
"52","ENSG00000087253","hurdle",0,-1.793035,0.614456,2.407491,0.745
"312","ENSG00000163513","hurdle",0,-2.4475307,0.4119479,2.8594786,0.744
"287","ENSG00000155629","hurdle",0,-3.0180308,0.1001603,3.1181911,0.744
"397","ENSG00000181804","hurdle",4.01780925473972e-279,0.6609717,1.9916631,1.3306914,0.743
"384","ENSG00000175899","hurdle",0,-1.339514,0.607967,1.947481,0.743
