"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.EndoMural","log2fold_change","Auc"
"577","ENSG00000164330","hurdle",0,-1.409997,2.853217,4.263214,0.884
"258","ENSG00000116016","hurdle",0,-2.189725,2.755873,4.945598,0.883
"295","ENSG00000123243","hurdle",0,-2.739892,2.387653,5.127545,0.877
"95","ENSG00000082438","hurdle",0,-0.3570987,2.9704117,3.3275104,0.863
"561","ENSG00000163453","hurdle",0,-2.125932,2.096163,4.222095,0.858
"43","ENSG00000054654","hurdle",0,-1.528267,1.798191,3.326458,0.829
"603","ENSG00000166710","hurdle",0,-1.522758,1.933391,3.456149,0.823
"399","ENSG00000137831","hurdle",0,-2.020069,1.482581,3.50265,0.821
"675","ENSG00000175899","hurdle",0,-1.786893,1.957872,3.744765,0.819
"840","ENSG00000245532","hurdle",0,1.849273,3.605313,1.75604,0.817
"155","ENSG00000102755","hurdle",0,-2.254439,3.941114,6.195553,0.816
"402","ENSG00000137962","hurdle",0,-0.2482398,2.1935415,2.4417813,0.81
"444","ENSG00000143248","hurdle",0,-1.259711,2.11759,3.377301,0.806
"90","ENSG00000079308","hurdle",0,-1.708027,1.335031,3.043058,0.801
"19","ENSG00000018625","hurdle",0,-0.3664551,3.5091361,3.8755912,0.801
"808","ENSG00000206190","hurdle",0,-1.948372,3.152106,5.100478,0.795
"276","ENSG00000118777","hurdle",0,-2.766949,2.044568,4.811517,0.793
"802","ENSG00000204592","hurdle",0,-2.736346,1.230596,3.966942,0.787
"26","ENSG00000027075","hurdle",0,-1.804793,1.937238,3.742031,0.787
"530","ENSG00000158270","hurdle",0,-2.290127,2.499274,4.789401,0.785
"474","ENSG00000148498","hurdle",0,0.4081317,2.4264918,2.0183601,0.784
"416","ENSG00000138795","hurdle",0,-1.387367,1.9017,3.289067,0.784
"821","ENSG00000213949","hurdle",0,-2.403234,1.023781,3.427015,0.779
"503","ENSG00000152818","hurdle",0,1.244009,2.832146,1.588137,0.778
"492","ENSG00000151491","hurdle",0,-0.7737936,2.3836859,3.1574795,0.775
"101","ENSG00000085276","hurdle",0,-2.826024,2.355995,5.182019,0.773
"252","ENSG00000115414","hurdle",0,-1.688966,1.264956,2.953922,0.772
"725","ENSG00000184113","hurdle",0,-2.991997,1.190131,4.182128,0.77
"521","ENSG00000157110","hurdle",0,-1.961456,1.189837,3.151293,0.767
"369","ENSG00000134954","hurdle",0,-1.738827,1.131807,2.870634,0.764
"211","ENSG00000110799","hurdle",0,-2.764058,1.547173,4.311231,0.76
"562","ENSG00000163513","hurdle",0,-2.6164482,0.6272323,3.2436805,0.758
"355","ENSG00000132530","hurdle",0,-2.7086344,0.7255637,3.4341981,0.758
"842","ENSG00000249669","hurdle",0,-3.12686,1.00624,4.1331,0.756
"837","ENSG00000241684","hurdle",0,0.4522096,1.8184342,1.3662246,0.755
"494","ENSG00000151702","hurdle",0,-2.55863,1.5248,4.08343,0.755
"433","ENSG00000142089","hurdle",0,-2.7996954,0.7412532,3.5409486,0.755
"612","ENSG00000167693","hurdle",0,-1.610918,1.446226,3.057144,0.75
"61","ENSG00000069122","hurdle",0,-1.683236,1.188664,2.8719,0.75
"242","ENSG00000113721","hurdle",0,-1.665172,1.522008,3.18718,0.747
"75","ENSG00000074181","hurdle",0,-2.9994155,0.8708894,3.8703049,0.747
"197","ENSG00000107719","hurdle",0,-1.7600921,0.8767293,2.6368214,0.745
"23","ENSG00000026025","hurdle",0,-2.6434244,0.5291404,3.1725648,0.745
"326","ENSG00000128849","hurdle",0,-2.222463,1.434148,3.656611,0.743
"53","ENSG00000067066","hurdle",0,-2.6326722,0.4436952,3.0763674,0.741
"18","ENSG00000018408","hurdle",0,-1.318213,1.59777,2.915983,0.741
"15","ENSG00000011465","hurdle",0,-2.4484981,0.6849529,3.133451,0.741
"769","ENSG00000196569","hurdle",0,1.752943,3.166108,1.413165,0.74
"556","ENSG00000163072","hurdle",0,-3.0528828,0.6572297,3.7101125,0.738
"664","ENSG00000173706","hurdle",0,-2.006872,1.144872,3.151744,0.736
"216","ENSG00000111181","hurdle",0,-2.9400884,0.7954387,3.7355271,0.733
"102","ENSG00000085563","hurdle",0,-0.3069915,3.0486401,3.3556316,0.733
"830","ENSG00000233237","hurdle",0,-0.7165165,1.3586967,2.0752132,0.732
"304","ENSG00000124942","hurdle",0,-2.3704346,0.3793346,2.7497692,0.731
"663","ENSG00000173638","hurdle",0,-1.973198,1.43909,3.412288,0.727
"393","ENSG00000137491","hurdle",0,-2.110472,1.079913,3.190385,0.727
"851","ENSG00000265972","hurdle",0,-2.400285,0.4781948,2.8784798,0.726
"658","ENSG00000173193","hurdle",0,-2.3902196,0.3956959,2.7859155,0.723
"598","ENSG00000165949","hurdle",0,-2.8091631,0.7223241,3.5314872,0.723
"832","ENSG00000234745","hurdle",0,-2.4591261,0.5165716,2.9756977,0.721
"241","ENSG00000113504","hurdle",0,-3.014368,0.5034207,3.5177887,0.721
"306","ENSG00000125148","hurdle",0,-1.739271,1.192766,2.932037,0.719
"34","ENSG00000047617","hurdle",0,-2.446614,1.190424,3.637038,0.719
"268","ENSG00000117394","hurdle",0,-2.2469778,0.8973437,3.1443215,0.717
"585","ENSG00000164741","hurdle",0,1.899121,3.988319,2.089198,0.715
"597","ENSG00000165895","hurdle",0,-1.301152,1.120162,2.421314,0.713
"718","ENSG00000183722","hurdle",6.67148556296558e-280,1.752904,2.887697,1.134793,0.712
"695","ENSG00000178878","hurdle",0,-2.078469,1.36624,3.444709,0.712
"524","ENSG00000157554","hurdle",0,-2.1961647,0.7962092,2.9923739,0.712
"473","ENSG00000148488","hurdle",0,-2.19288,1.083389,3.276269,0.71
"160","ENSG00000103257","hurdle",0,-0.8214613,2.0928742,2.9143355,0.709
"12","ENSG00000010379","hurdle",0,-2.4798783,0.6623101,3.1421884,0.709
"324","ENSG00000128567","hurdle",0,-1.7846936,0.9585093,2.7432029,0.708
"239","ENSG00000113140","hurdle",0,-1.939069,0.3783058,2.3173748,0.708
"33","ENSG00000046889","hurdle",5.58885576378681e-317,0.07726945,1.27521708,1.19794763,0.708
"651","ENSG00000172164","hurdle",0,-2.1765705,0.6228956,2.7994661,0.707
"325","ENSG00000128641","hurdle",0,-0.3406844,1.5361452,1.8768296,0.707
"259","ENSG00000116117","hurdle",0,-0.196591,1.069752,1.266343,0.706
"192","ENSG00000106991","hurdle",0,-2.911815,0.280926,3.192741,0.706
"407","ENSG00000138119","hurdle",0,-2.6872531,0.05878132,2.74603442,0.702
"4","ENSG00000003402","hurdle",0,-1.1187007,0.7587517,1.8774524,0.701
"752","ENSG00000187720","hurdle",0,-0.08445814,2.34616293,2.43062107,0.7
"682","ENSG00000176641","hurdle",0,-1.319737,1.252377,2.572114,0.7
"505","ENSG00000152977","hurdle",0,-1.923562,0.3710838,2.2946458,0.7
"470","ENSG00000148175","hurdle",0,-2.3803624,0.2609707,2.6413331,0.7
"536","ENSG00000160801","hurdle",0,-2.7787545,0.2344954,3.0132499,0.699
"573","ENSG00000164035","hurdle",0,-2.7321019,0.5128264,3.2449283,0.698
"488","ENSG00000150760","hurdle",1.889862766981e-283,-0.02028493,1.24872287,1.2690078,0.698
"80","ENSG00000076067","hurdle",0,-1.6627303,0.5571396,2.2198699,0.698
"111","ENSG00000090376","hurdle",0,-2.6862265,0.5930551,3.2792816,0.697
"745","ENSG00000186994","hurdle",0,-3.0742104,-0.2596674,2.814543,0.694
"741","ENSG00000185633","hurdle",0,-2.767311,0.2396028,3.0069138,0.693
"617","ENSG00000168389","hurdle",0,-2.6992842,0.6555323,3.3548165,0.693
"328","ENSG00000129422","hurdle",1.54386777787381e-271,0.2815609,1.6962044,1.4146435,0.693
"819","ENSG00000213853","hurdle",0,-2.9820945,-0.1591551,2.8229394,0.692
"401","ENSG00000137959","hurdle",0,-3.0015421,0.1741252,3.1756673,0.692
"290","ENSG00000122786","hurdle",3.45936122259143e-309,0.803744,2.218905,1.415161,0.691
"126","ENSG00000099998","hurdle",0,-3.2045919,-0.2773921,2.9271998,0.691
"314","ENSG00000126785","hurdle",0,-1.5857333,0.6062962,2.1920295,0.69
"770","ENSG00000196660","hurdle",0,-2.0660643,0.6610417,2.727106,0.689
"88","ENSG00000078596","hurdle",0,-2.5162065,0.4564248,2.9726313,0.689
"707","ENSG00000181826","hurdle",0,-2.36851207,-0.07290972,2.29560235,0.688
"359","ENSG00000133106","hurdle",0,-2.7322785,0.1729391,2.9052176,0.688
"100","ENSG00000084453","hurdle",0,-1.115358,1.273281,2.388639,0.688
"666","ENSG00000173848","hurdle",0,-1.757574,0.7701699,2.5277439,0.687
"427","ENSG00000140836","hurdle",1.00578110672226e-210,1.09651,2.114504,1.017994,0.687
"310","ENSG00000125772","hurdle",0,0.1295578,2.4964326,2.3668748,0.687
"849","ENSG00000261371","hurdle",0,-2.3993033,0.2842253,2.6835286,0.686
"233","ENSG00000112769","hurdle",1.87713493970543e-307,-0.9936892,0.6673726,1.6610618,0.686
"624","ENSG00000168918","hurdle",0,-1.7018754,0.9073632,2.6092386,0.683
"372","ENSG00000135111","hurdle",0,-3.2761576,-0.1893429,3.0868147,0.683
"317","ENSG00000127528","hurdle",0,-2.95567191,0.09367363,3.04934554,0.683
"468","ENSG00000147526","hurdle",2.46033905339585e-235,1.681754,3.085195,1.403441,0.682
"396","ENSG00000137693","hurdle",0,-2.18415886,-0.08421008,2.09994878,0.682
"630","ENSG00000169507","hurdle",2.8170157935934e-280,-0.09350275,1.54648594,1.63998869,0.681
"336","ENSG00000130158","hurdle",0,-1.994113,0.101799,2.095912,0.681
"311","ENSG00000125968","hurdle",0,-2.977482563,0.008469401,2.985951964,0.681
"546","ENSG00000162618","hurdle",0,-1.9825145,0.3601826,2.3426971,0.679
"475","ENSG00000148655","hurdle",1.38447878985719e-236,0.8491332,1.920197,1.0710638,0.679
"181","ENSG00000105894","hurdle",1.03589568702158e-309,0.03693904,1.62946066,1.59252162,0.679
"113","ENSG00000091409","hurdle",0,-1.8514024,0.7097017,2.5611041,0.679
"629","ENSG00000169504","hurdle",3.09738648588729e-311,-1.2639807,0.5268211,1.7908018,0.678
"131","ENSG00000100234","hurdle",2.65100795372884e-224,0.05771758,1.51172443,1.45400685,0.678
"69","ENSG00000072163","hurdle",0,-2.9768548,-0.2147322,2.7621226,0.678
"28","ENSG00000031081","hurdle",0,-1.6029047,0.4781948,2.0810995,0.678
"374","ENSG00000135363","hurdle",0,-2.63580688,-0.07713699,2.55866989,0.677
"801","ENSG00000204525","hurdle",0,-2.24068442,0.01774849,2.25843291,0.676
"742","ENSG00000185650","hurdle",0,-1.58310353,0.02104804,1.60415157,0.676
"263","ENSG00000116962","hurdle",0,-2.774748,-0.1121313,2.6626167,0.676
"457","ENSG00000145555","hurdle",0,-1.108236,1.209927,2.318163,0.675
"714","ENSG00000182963","hurdle",0,-2.0233065,0.2731984,2.2965049,0.674
"619","ENSG00000168497","hurdle",0,-3.18440041,-0.05960451,3.1247959,0.674
"476","ENSG00000148671","hurdle",0,-2.8825168,-0.1787052,2.7038116,0.674
"414","ENSG00000138741","hurdle",0,-1.359756,0.7536037,2.1133597,0.674
"52","ENSG00000066056","hurdle",0,-3.0920008,-0.1078004,2.9842004,0.674
"789","ENSG00000198771","hurdle",0,-1.7868926909,-0.0008697584,1.7860229325,0.673
"729","ENSG00000184384","hurdle",1.29932415793305e-190,0.8673103,1.7473022,0.8799919,0.67
"713","ENSG00000182871","hurdle",0,-1.953715,-0.100611,1.853104,0.67
"318","ENSG00000127920","hurdle",0,-3.1621069,-0.4017664,2.7603405,0.67
"461","ENSG00000146648","hurdle",1.35472160349788e-259,-0.495828,0.6940768,1.1899048,0.668
"454","ENSG00000144824","hurdle",3.72016289688611e-315,-0.3850049,0.4829883,0.8679932,0.668
"267","ENSG00000117318","hurdle",0,-2.9396805,-0.2936967,2.6459838,0.668
"89","ENSG00000079215","hurdle",3.89269637499295e-185,0.7325849,1.4811447,0.7485598,0.668
"710","ENSG00000182492","hurdle",0,-3.1086374,-0.4567003,2.6519371,0.667
"668","ENSG00000174059","hurdle",0,-3.202389,-0.254073,2.948316,0.667
"66","ENSG00000071205","hurdle",1.05710343856898e-205,0.1094261,1.331049,1.2216229,0.667
"392","ENSG00000137393","hurdle",0,-2.1900887,0.4133812,2.6034699,0.666
"486","ENSG00000150457","hurdle",0,-2.5750052,-0.2733446,2.3016606,0.665
"483","ENSG00000149564","hurdle",0,-2.88095,-0.4798328,2.4011172,0.665
"465","ENSG00000147065","hurdle",0,-2.4769165,-0.2000596,2.2768569,0.665
"706","ENSG00000181722","hurdle",4.87778665596231e-155,2.290991,2.89886,0.607869,0.664
"689","ENSG00000177469","hurdle",0,-2.9258825,-0.4585373,2.4673452,0.664
"426","ENSG00000140807","hurdle",0,-1.6613007,0.3141217,1.9754224,0.664
"520","ENSG00000157103","hurdle",2.00040118561544e-240,1.044199,2.424251,1.380052,0.663
"291","ENSG00000122862","hurdle",0,-2.696697661,0.001804748,2.698502409,0.663
"792","ENSG00000198959","hurdle",0,-3.1839173,-0.3412019,2.8427154,0.661
"35","ENSG00000047648","hurdle",2.32316569051403e-266,-1.0472703,0.5671058,1.6143761,0.661
"809","ENSG00000206503","hurdle",0,-2.0686259,-0.02516608,2.04345982,0.66
"775","ENSG00000197256","hurdle",0,-2.7858844,-0.4976649,2.2882195,0.66
"679","ENSG00000176105","hurdle",0,-2.1689023,0.1580301,2.3269324,0.66
"595","ENSG00000165810","hurdle",0,-1.5710519,0.1964775,1.7675294,0.66
"466","ENSG00000147113","hurdle",0,-2.85630118,-0.04711176,2.80918942,0.66
"147","ENSG00000101335","hurdle",0,-3.113229,-0.250886,2.862343,0.66
"410","ENSG00000138193","hurdle",1.85739795692018e-250,-1.0352931,0.5996908,1.6349839,0.659
"301","ENSG00000124570","hurdle",0,-1.23142,0.450074,1.681494,0.659
"135","ENSG00000100345","hurdle",6.37803907266426e-177,-0.1590179,0.9429375,1.1019554,0.659
"122","ENSG00000099260","hurdle",0,-2.43377811,-0.04711176,2.38666635,0.658
"17","ENSG00000017483","hurdle",0,-3.1611558,-0.4053053,2.7558505,0.657
"653","ENSG00000172270","hurdle",7.27903717328039e-298,0.2473372,1.7158842,1.468547,0.656
"214","ENSG00000111077","hurdle",0,-2.215905,-0.335283,1.880622,0.656
"791","ENSG00000198873","hurdle",2.38922798854253e-190,-0.3491897,0.9366614,1.2858511,0.655
"497","ENSG00000152207","hurdle",0,-3.247104,-0.2668921,2.9802119,0.654
"490","ENSG00000151012","hurdle",1.37926400150624e-261,-1.2836428,0.2951685,1.5788113,0.654
"575","ENSG00000164181","hurdle",0,-0.5037942,1.5606129,2.0644071,0.653
"759","ENSG00000188783","hurdle",0,-2.8369949,-0.5282053,2.3087896,0.652
"687","ENSG00000177425","hurdle",0,-1.8326343,-0.2717288,1.5609055,0.652
"607","ENSG00000167434","hurdle",6.55323731987371e-319,-1.8548586,0.2005575,2.0554161,0.651
"283","ENSG00000120690","hurdle",7.51088687044207e-230,-1.327386,0.2327888,1.5601748,0.651
"206","ENSG00000110090","hurdle",6.9681858261012e-252,-1.7584728,-0.2178403,1.5406325,0.65
"500","ENSG00000152558","hurdle",2.09349205888853e-316,-1.7333384,0.1711581,1.9044965,0.648
"357","ENSG00000132669","hurdle",1.2116178615911e-170,-0.1466098,1.1939362,1.340546,0.648
"345","ENSG00000131386","hurdle",0,-1.60549,0.4238892,2.0293792,0.648
"245","ENSG00000114315","hurdle",0,-2.4243328,0.2897073,2.7140401,0.648
