file,round,Section,BrNum,Position,Experiment,n_nuc
R1_2720M_Circle,R1,2720M,Br2720,M,Circle,28239
R1_6432A_Circle,R1,6432A,Br6432,A,Circle,61378
R1_6432M_Circle,R1,6432M,Br6432,M,Circle,48252
R1_6432P_Circle,R1,6432P,Br6432,P,Circle,47951
R1_6471A_Circle,R1,6471A,Br6471,A,Circle,43790
R2_6471M_Circle,R2,6471M,Br6471,M,Circle,59392
R2_6522M_Circle,R2,6522M,Br6522,M,Circle,34898
R2_6522P_Circle,R2,6522P,Br6522,P,Circle,45063
R2_8492P_Circle,R2,8492P,Br8492,P,Circle,61604
R3_2720P_Circle,R3,2720P,Br2720,P,Circle,40776
R3_2723A_Circle,R3,2723A,Br2723,A,Circle,63293
R3_3942A_Circle,R3,3942A,Br3942,A,Circle,53184
R3_3942P_Circle,R3,3942P,Br3942,P,Circle,58398
R3_8492M_Circle,R3,8492M,Br8492,M,Circle,48900
R4_3942M_Circle,R4,3942M,Br3942,M,Circle,37816
R4_6423A_Circle,R4,6423A,Br6423,A,Circle,49709
R4_6423P_Circle,R4,6423P,Br6423,P,Circle,46333
R4_8667M_Circle,R4,8667M,Br8667,M,Circle,50229
R5_8325A_Circle,R5,8325A,Br8325,A,Circle,39363
R5_8325M_Circle,R5,8325M,Br8325,M,Circle,40858
R5_8667A_Circle,R5,8667A,Br8667,A,Circle,52490
R1_2720M_Star,R1,2720M,Br2720,M,Star,22677
R1_6432A_Star,R1,6432A,Br6432,A,Star,54921
R1_6432M_Star,R1,6432M,Br6432,M,Star,23754
R1_6432P_Star,R1,6432P,Br6432,P,Star,31633
R1_6471A_Star,R1,6471A,Br6471,A,Star,46238
R2_6471M_Star,R2,6471M,Br6471,M,Star,58645
R2_6522M_Star,R2,6522M,Br6522,M,Star,40825
R2_6522P_Star,R2,6522P,Br6522,P,Star,42852
R2_8492P_Star,R2,8492P,Br8492,P,Star,60968
R3_2720P_Star,R3,2720P,Br2720,P,Star,40522
R3_2723A_Star,R3,2723A,Br2723,A,Star,51759
R3_3942A_Star,R3,3942A,Br3942,A,Star,53562
R3_3942P_Star,R3,3942P,Br3942,P,Star,49299
R3_8492M_Star,R3,8492M,Br8492,M,Star,47724
R4_3942M_Star,R4,3942M,Br3942,M,Star,36418
R4_6423A_Star,R4,6423A,Br6423,A,Star,53241
R4_6423P_Star,R4,6423P,Br6423,P,Star,44055
R4_8667M_Star,R4,8667M,Br8667,M,Star,45821
R5_8325A_Star,R5,8325A,Br8325,A,Star,34779
R5_8325M_Star,R5,8325M,Br8325,M,Star,39389
R5_8667A_Star,R5,8667A,Br8667,A,Star,45066
