"","donor","cellType_broad","dx","n","prop"
"107","sc35","EndoMural","PTSD",18,0.00234497133923919
"108","sc35","Excit","PTSD",3747,0.488144867118291
"109","sc35","Inhib","PTSD",1295,0.168707660239708
"110","sc35","Micro","PTSD",473,0.0616206357477853
"111","sc35","OPC","PTSD",137,0.0178478374153205
"112","sc35","Oligo","PTSD",1590,0.207139134966128
"113","sc42","Astro","PTSD",1312,0.114067118761954
"114","sc42","EndoMural","PTSD",56,0.00486871848374196
"115","sc42","Excit","PTSD",3709,0.322465658146409
"116","sc42","Inhib","PTSD",1126,0.0978960180838115
"117","sc42","Micro","PTSD",1112,0.096678838462876
"118","sc42","OPC","PTSD",717,0.0623369848721961
"119","sc42","Oligo","PTSD",3470,0.301686663189011
"120","sc43","Astro","PTSD",224,0.0203027281790991
"121","sc43","EndoMural","PTSD",57,0.00516631922414574
"122","sc43","Excit","PTSD",5777,0.52361098522614
"123","sc43","Inhib","PTSD",2543,0.230490347140397
"124","sc43","Micro","PTSD",438,0.0396990845644884
"125","sc43","OPC","PTSD",531,0.0481283422459893
"126","sc43","Oligo","PTSD",1463,0.132602193419741
"127","sc44","Astro","PTSD",2029,0.150575139146568
"128","sc44","EndoMural","PTSD",66,0.00489795918367347
"129","sc44","Excit","PTSD",5620,0.417068645640074
"130","sc44","Inhib","PTSD",2769,0.205491651205937
"131","sc44","Micro","PTSD",624,0.0463079777365492
"132","sc44","OPC","PTSD",808,0.0599628942486085
"133","sc44","Oligo","PTSD",1559,0.11569573283859
