"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"ENSG00000228794",-0.377627113875464,5.181777598154,-4.89253360054449,2.84197144284633e-05,4.11555684138304e-05,1.17530735418592,-4.18577309430246
"ENSG00000225880",0.632368241155053,0.463130558460918,5.57635487717811,3.90231548403187e-06,6.01299113934236e-06,3.0514240722686,4.61651834132158
"ENSG00000187634",-0.274027660677443,0.0567114834121386,-0.818158187549167,0.41913607459368,0.442065401177997,-7.84141609400882,-0.807920977087648
"ENSG00000188976",-1.29141326662057,5.03184523913607,-20.1946571345559,1.85813968169852e-19,1.29141073509625e-18,35.7908209769992,-9.02133321495892
"ENSG00000187961",-0.203083007734009,2.27614564449262,-2.32090643660618,0.0272572108826252,0.0321143734863674,-5.60001658902881,-2.207814442386
"ENSG00000272512",0.0342490998900655,-0.417898210106703,0.147193542852876,0.883951239318592,0.892747277042568,-8.14655833382055,0.145962186684841
"ENSG00000188290",1.77580985859825,3.51227305771227,17.4837995570044,3.83344818756168e-17,1.7919188722165e-16,28.7439971693027,8.41788407693974
"ENSG00000187608",-0.565180805473792,2.8312949767219,-4.45382348888754,0.000107375678701949,0.000149535090755967,-0.31990015766934,-3.87329057356656
"ENSG00000188157",-1.88461758298983,5.06126227878191,-10.2497241089373,1.54329545205342e-12,4.08614657919992e-12,17.7253386851043,-7.07054215247178
"ENSG00000131591",2.47673880223623,4.22789337957095,28.5568439053488,9.81997851210945e-23,1.41222166550369e-21,45.8492585884703,9.81379956221381
"ENSG00000186891",0.0934295906712557,-0.211757590080098,0.322794636903172,0.748604529205005,0.764801341302811,-8.12816577994531,0.320479947226945
"ENSG00000186827",-0.0456035490822584,-0.970449053613908,-0.178667474419881,0.85934241936257,0.86928554965878,-8.15421440211797,-0.177211300841783
"ENSG00000078808",-0.466329849124624,5.21014725769277,-7.40658928768349,3.18078181218798e-08,5.74303310533071e-08,7.98803910823016,-5.53118304868054
"ENSG00000176022",-1.28188477913054,3.51025774289423,-14.6963156713288,8.49948999787594e-16,3.29747349214607e-15,26.9675577633195,-8.04678847026005
"ENSG00000184163",1.28765341230659,-1.6066202965417,5.51653652586826,5.04441152368977e-06,7.70492194329366e-06,2.86609479781152,4.56293217173336
