"","cell_type","term","estimate","std.error","statistic","p.value","p.bonf","p.bonf.sig","p.bonf.cat","p.fdr","log.p.bonf"
"1","Astro","Nucleus_Area",0.169882236420564,0.000495076240760297,343.143585641826,0,0,TRUE,"<= 0.005",0,Inf
"2","Endo","Nucleus_Area",0.0647039899883861,0.000616134281795474,105.016052344681,0,0,TRUE,"<= 0.005",0,Inf
"3","Excit","Nucleus_Area",0.251191075474189,0.000566780414743361,443.189406232268,0,0,TRUE,"<= 0.005",0,Inf
"4","Inhib","Nucleus_Area",0.137350633530971,0.00067149823745134,204.543550333479,0,0,TRUE,"<= 0.005",0,Inf
"5","Micro","Nucleus_Area",0.0771826123287935,0.00107629457528516,71.7114199970249,0,0,TRUE,"<= 0.005",0,Inf
"6","Oligo","Nucleus_Area",0.0783360977644454,0.000619290012389148,126.493397596118,0,0,TRUE,"<= 0.005",0,Inf
"7","Other","Nucleus_Area",0.162207069527153,0.000227896957073267,711.756188455842,0,0,TRUE,"<= 0.005",0,Inf
