Mixture	Inhib	Oligo	OPC	Excit	Astro	EndoMural	Micro	P-value	Correlation	RMSE
2107UNHS-0291_Br2720_Mid_Bulk	0.03644045389653320	0.02627020388309879	0.13134991668654408	0.68724123280172644	0.02258652773969076	0.05196340262256097	0.04414826236984577	9999.00000000000000000	0.93070065086594866	0.51061269451153546
2107UNHS-0291_Br2720_Mid_Cyto	0.00000000000000000	0.01350223105949119	0.10155015540914623	0.79384622217121836	0.01240034942078815	0.03986004587977944	0.03884099605957674	9999.00000000000000000	0.82170702497613513	0.61265371000031221
2107UNHS-0291_Br2720_Mid_Nuc	0.00000000000000000	0.01208953457117924	0.03688180054042214	0.83263402542166687	0.01325933528152511	0.07929174545311664	0.02584355873208995	9999.00000000000000000	0.86874567101498412	0.57575882844224546
2107UNHS-0291_Br6432_Ant_Bulk	0.00000000000000000	0.04040345812214485	0.09804813063080868	0.69708939384257040	0.04423248781156613	0.07424049094531839	0.04598603864759153	9999.00000000000000000	0.90805493856013564	0.55365945647546055
2107UNHS-0291_Br6432_Ant_Cyto	0.00000000000000000	0.01947546234027662	0.03534531053654522	0.80372703728913275	0.04142697338510039	0.05413353992068363	0.04589167652826141	9999.00000000000000000	0.77286827856922347	0.66906190185573788
2107UNHS-0291_Br6432_Ant_Nuc	0.00000000000000000	0.02307060250671337	0.04053328144195941	0.79654579904833045	0.03052870380266855	0.07954490687326812	0.02977670632705990	9999.00000000000000000	0.87012940599493582	0.58383565085212896
2107UNHS-0291_Br6432_Mid_Bulk	0.00496602261611463	0.04880182234236340	0.05097333880213580	0.67740321655420799	0.06964598040783443	0.08924744321537474	0.05896217606196903	9999.00000000000000000	0.89241200656130293	0.59657233704685042
2107UNHS-0291_Br6432_Mid_Cyto	0.00000000000000000	0.01276293285106321	0.00808592087407395	0.81502688213386942	0.04693573643348464	0.07429411062160710	0.04289441708590153	9999.00000000000000000	0.78161314798669534	0.66222758583425745
2107UNHS-0291_Br6432_Mid_Nuc	0.00000000000000000	0.02449200166594652	0.01649419042277636	0.77735239279513679	0.04708133367989498	0.09424635633251495	0.04033372510373024	9999.00000000000000000	0.85676459067566979	0.60547466585419352
2107UNHS-0291_Br6471_Ant_Bulk	0.01296549383920203	0.02524460478821518	0.13421109862550482	0.70929292873165373	0.02115832829566122	0.05680221038264904	0.04032533533711396	9999.00000000000000000	0.92336434646494325	0.50993099269832132
2107UNHS-0291_Br6471_Ant_Cyto	0.00000000000000000	0.00848840191776067	0.13914409374968664	0.73393751902655302	0.01617189910933425	0.04703866260034102	0.05521942359632460	9999.00000000000000000	0.79139112110900511	0.63849339813255135
2107UNHS-0291_Br6471_Ant_Nuc	0.00000000000000000	0.01905991176239140	0.08015265597741771	0.76897664008716082	0.01593008409801319	0.08409986581357717	0.03178084226143966	9999.00000000000000000	0.87779792936451773	0.57151622884099751
2107UNHS-0293_Br2720_Mid_Bulk	0.15024580241105598	0.06750129469871050	0.11142136153560776	0.46556823570901923	0.09428340615279665	0.05532568903061854	0.05565421046219140	9999.00000000000000000	0.92931579181359092	0.59834555496802777
2107UNHS-0293_Br2720_Mid_Cyto	0.12194514669214773	0.07203692523175340	0.11505114129440606	0.51084825126846756	0.06016833751854710	0.05624576166713565	0.06370443632754261	9999.00000000000000000	0.93066505895866525	0.58177137855444350
2107UNHS-0293_Br6432_Ant_Bulk	0.14518688251996262	0.13124366942647858	0.06208582189646230	0.44810103163371706	0.10935591496208437	0.05888795697859365	0.04513872258270140	9999.00000000000000000	0.92496369835762171	0.64811952482968038
2107UNHS-0293_Br6432_Ant_Cyto	0.12072554077263201	0.12563568034225503	0.04848095141755022	0.48560472043787944	0.10063691332770067	0.05719218384587123	0.06172400985611123	9999.00000000000000000	0.91156000656782343	0.65171517961680825
2107UNHS-0293_Br6432_Ant_Nuc	0.12900400416464028	0.12956660370780562	0.05574402810129511	0.45379604247026817	0.10176716879144032	0.07077381530792738	0.05934833745662305	9999.00000000000000000	0.90488425840803721	0.66314932672961990
2107UNHS-0293_Br6432_Mid_Bulk	0.13684431029622637	0.13982497926131213	0.02777503154886046	0.42576653392651687	0.13778376119448943	0.08166047503996988	0.05034490873262477	9999.00000000000000000	0.91217955964053032	0.67801984376097491
2107UNHS-0293_Br6432_Mid_Cyto	0.12644403639311719	0.12952752082808958	0.01207395223854129	0.50321605415145143	0.10908268923456250	0.06725602679588077	0.05239972035835729	9999.00000000000000000	0.91962212628355389	0.65334269382388099
2107UNHS-0293_Br6432_Mid_Nuc	0.12438828836414086	0.15218287164194380	0.03007300097796944	0.42356137996163395	0.13207024246552906	0.07306889700209487	0.06465531958668801	9999.00000000000000000	0.88122771778394038	0.69535235155328823
2107UNHS-0293_Br6471_Ant_Bulk	0.15535316196624702	0.09329428331755900	0.09473384034241072	0.44659192502743028	0.08850691297608412	0.07317922519426800	0.04834065117600098	9999.00000000000000000	0.93416748514831027	0.61871456526215529
2107UNHS-0293_Br6471_Ant_Cyto	0.13616018627252530	0.06320883286528073	0.12376198612721447	0.45035409914095620	0.08265944095328459	0.07370976046124773	0.07014569417949100	9999.00000000000000000	0.92983375007263791	0.59098348263303857
2107UNHS-0293_Br6471_Ant_Nuc	0.13499501086110344	0.06888908363934362	0.08194503219469040	0.50731288642874861	0.06578459293210698	0.08064171127680629	0.06043168266720070	9999.00000000000000000	0.91406641603975081	0.62319743367799019
AN00000904_Br2720_Post_Bulk	0.01437228480089030	0.01930705017998915	0.09039324325023709	0.76536804983791074	0.00836068583363607	0.06190825175495675	0.04029043434237980	9999.00000000000000000	0.91037754983372832	0.53449712190757515
AN00000904_Br2720_Post_Cyto	0.00000000000000000	0.00258769241379315	0.02445915940366087	0.86258463701945065	0.00513987047576294	0.06728159091772509	0.03794704976960714	9999.00000000000000000	0.72184309745465969	0.70435450796133026
AN00000904_Br2720_Post_Nuc	0.00000000000000000	0.00188018483223191	0.01281501075688586	0.88993668834199069	0.00506242939451813	0.06325181659258168	0.02705387008179186	9999.00000000000000000	0.84002887221887179	0.59326348082954505
