SAMPLE_ID,Dataset,BrNum,pos,library_prep,cell_type,prop,method,marker,Sample,RNAscope_prop,library_type,rna_extract,library_combo
2107UNHS-0291_Br6432_Ant_Bulk,2107UNHS-0291,Br6432,Ant,Bulk,Excit,0.4519626684678035,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,2107UNHS-0291,Br6432,Ant,Bulk,Inhib,0.11337492122533994,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Cyto,2107UNHS-0291,Br6432,Ant,Cyto,Astro,0.05236084962221693,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,2107UNHS-0291,Br6432,Ant,Cyto,EndoMural,0.06359636680695371,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,2107UNHS-0291,Br6432,Ant,Cyto,Micro,0.06010978707537209,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,2107UNHS-0291,Br6432,Ant,Cyto,Oligo,0.1722832396380573,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,2107UNHS-0291,Br6432,Ant,Cyto,OPC,0.04109788219761541,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,2107UNHS-0291,Br6432,Ant,Cyto,Excit,0.5254847493806052,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,2107UNHS-0291,Br6432,Ant,Cyto,Inhib,0.08506712527917967,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Nuc,2107UNHS-0291,Br6432,Ant,Nuc,Astro,0.05547817527744864,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Ant_Nuc,2107UNHS-0291,Br6432,Ant,Nuc,EndoMural,0.07877316511617513,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Ant_Nuc,2107UNHS-0291,Br6432,Ant,Nuc,Micro,0.05703764619418445,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Ant_Nuc,2107UNHS-0291,Br6432,Ant,Nuc,Oligo,0.20875702577519473,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Ant_Nuc,2107UNHS-0291,Br6432,Ant,Nuc,OPC,0.06481746479948597,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Ant_Nuc,2107UNHS-0291,Br6432,Ant,Nuc,Excit,0.44744114705916566,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Ant_Nuc,2107UNHS-0291,Br6432,Ant,Nuc,Inhib,0.08769537577834582,Bisque,1vALL_top25,Br6432_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Mid_Bulk,2107UNHS-0291,Br6432,Mid,Bulk,Astro,0.059841974820852906,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Mid_Bulk,2107UNHS-0291,Br6432,Mid,Bulk,EndoMural,0.06316493025998027,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Mid_Bulk,2107UNHS-0291,Br6432,Mid,Bulk,Micro,0.05647736000588853,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Mid_Bulk,2107UNHS-0291,Br6432,Mid,Bulk,Oligo,0.21418722045897537,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Mid_Bulk,2107UNHS-0291,Br6432,Mid,Bulk,OPC,0.08996611858758793,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Mid_Bulk,2107UNHS-0291,Br6432,Mid,Bulk,Excit,0.40689583728996676,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Mid_Bulk,2107UNHS-0291,Br6432,Mid,Bulk,Inhib,0.10946655857674874,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Mid_Cyto,2107UNHS-0291,Br6432,Mid,Cyto,Astro,0.06037441954185563,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Mid_Cyto,2107UNHS-0291,Br6432,Mid,Cyto,EndoMural,0.08423305480180071,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Mid_Cyto,2107UNHS-0291,Br6432,Mid,Cyto,Micro,0.07536356785937044,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Mid_Cyto,2107UNHS-0291,Br6432,Mid,Cyto,Oligo,0.1809500263578057,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Mid_Cyto,2107UNHS-0291,Br6432,Mid,Cyto,OPC,0.04807573187455688,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Mid_Cyto,2107UNHS-0291,Br6432,Mid,Cyto,Excit,0.46562208445175524,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Mid_Cyto,2107UNHS-0291,Br6432,Mid,Cyto,Inhib,0.08538111511285564,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Mid_Nuc,2107UNHS-0291,Br6432,Mid,Nuc,Astro,0.06076334570370989,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Mid_Nuc,2107UNHS-0291,Br6432,Mid,Nuc,EndoMural,0.09342426600868377,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Mid_Nuc,2107UNHS-0291,Br6432,Mid,Nuc,Micro,0.06699952952672544,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Mid_Nuc,2107UNHS-0291,Br6432,Mid,Nuc,Oligo,0.21887366425348298,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Mid_Nuc,2107UNHS-0291,Br6432,Mid,Nuc,OPC,0.07417569356289538,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Mid_Nuc,2107UNHS-0291,Br6432,Mid,Nuc,Excit,0.42102996595672554,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Mid_Nuc,2107UNHS-0291,Br6432,Mid,Nuc,Inhib,0.06473353498777745,Bisque,1vALL_top25,Br6432_mid,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6471_Ant_Bulk,2107UNHS-0291,Br6471,Ant,Bulk,Astro,0.04086967694862931,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6471_Ant_Bulk,2107UNHS-0291,Br6471,Ant,Bulk,EndoMural,0.05000330040319667,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6471_Ant_Bulk,2107UNHS-0291,Br6471,Ant,Bulk,Micro,0.04026500925858548,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6471_Ant_Bulk,2107UNHS-0291,Br6471,Ant,Bulk,Oligo,0.2504973500487218,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6471_Ant_Bulk,2107UNHS-0291,Br6471,Ant,Bulk,OPC,0.037740975349019906,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6471_Ant_Bulk,2107UNHS-0291,Br6471,Ant,Bulk,Excit,0.4838673402713022,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6471_Ant_Bulk,2107UNHS-0291,Br6471,Ant,Bulk,Inhib,0.09675634772054462,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br6471_Ant_Cyto,2107UNHS-0291,Br6471,Ant,Cyto,Astro,0.045586858663467955,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6471_Ant_Cyto,2107UNHS-0291,Br6471,Ant,Cyto,EndoMural,0.0667497158537628,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Cyto,polyA_Cyto
