SAMPLE_ID,Dataset,BrNum,pos,library_prep,cell_type,method,mean_prop,median_prop,sd,rsd,Sample,RNAscope_prop,snRNA_prop,library_type,rna_extract,library_combo
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Astro,Bisque,0.0809177209135258,0.08100408197884432,0.0020532149638571914,0.025374107682189877,Br2720_mid,NA,0.049439683586025046,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Astro,hspe,0.035725842112207855,0.03267357028318162,0.0146704692153861,0.4106402634067809,Br2720_mid,NA,0.049439683586025046,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,EndoMural,Bisque,0.10586159045561905,0.10592136795882864,0.0013139659474188268,0.012412112285141684,Br2720_mid,NA,0.012195121951219513,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,EndoMural,hspe,0.07990337891986016,0.07714275108808001,0.02175735667938092,0.27229582745433917,Br2720_mid,NA,0.012195121951219513,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Excit,Bisque,0.12694412192386884,0.1269946966933963,0.002289321001042872,0.018034084338429058,Br2720_mid,NA,0.11634805537244562,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Excit,hspe,0.3660445876380917,0.3622416306889668,0.0602187805525154,0.16451214574999729,Br2720_mid,NA,0.11634805537244562,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Inhib,Bisque,0.252543304102303,0.25251579444038175,0.00352264913752512,0.013948693472776164,Br2720_mid,NA,0.571193144363876,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Inhib,hspe,0.16577332730535366,0.1617254518063258,0.03567138963911426,0.21518171963459318,Br2720_mid,NA,0.571193144363876,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Micro,Bisque,0.08698914236855423,0.08698529901964383,7.20869162852801e-4,0.008286886653033477,Br2720_mid,NA,0.004943968358602505,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Micro,hspe,0.03543728075944737,0.035307001197660504,0.009150174500345911,0.25820757982133064,Br2720_mid,NA,0.004943968358602505,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,OligoOPC,Bisque,0.3467441202361293,0.3467586533052132,0.0022969397552574725,0.00662430772782327,Br2720_mid,NA,0.24588002636783124,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,OligoOPC,hspe,0.3171155832650392,0.3084555167406782,0.06740721401267098,0.21256354960119797,Br2720_mid,NA,0.24588002636783124,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,Astro,Bisque,0.10686130410076859,0.10691910450124466,0.0021889853220464278,0.020484359052761022,Br2720_mid,NA,0.049439683586025046,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,Astro,hspe,0.041466849103111256,0.038021646251457465,0.01661577249149233,0.40070014604137477,Br2720_mid,NA,0.049439683586025046,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,EndoMural,Bisque,0.10004256970666403,0.10007336707702702,0.0014866900028949023,0.01486057392622004,Br2720_mid,NA,0.012195121951219513,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,EndoMural,hspe,0.07675349169718804,0.07409190324481414,0.020969448045056405,0.27320513479420827,Br2720_mid,NA,0.012195121951219513,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,Excit,Bisque,0.19055447468337774,0.1906748019826378,0.0028842190377581438,0.015135929201088118,Br2720_mid,NA,0.11634805537244562,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,Excit,hspe,0.4120729976848685,0.4084521133286128,0.06235106773675326,0.15131073398902017,Br2720_mid,NA,0.11634805537244562,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,Inhib,Bisque,0.2319263514619986,0.23194959475598198,0.004346085429253446,0.018739075580920164,Br2720_mid,NA,0.571193144363876,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,Inhib,hspe,0.1585593755728875,0.15381098443446284,0.03382166982693613,0.21330602308905278,Br2720_mid,NA,0.571193144363876,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,Micro,Bisque,0.12386611330592827,0.12386500089761299,8.249021395268759e-4,0.006659627217732325,Br2720_mid,NA,0.004943968358602505,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,Micro,hspe,0.04490624108035931,0.04455227223614816,0.011649076737098843,0.2594088584758837,Br2720_mid,NA,0.004943968358602505,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,OligoOPC,Bisque,0.24674918674126298,0.24668912158597642,0.0023300536850332887,0.009443004517281525,Br2720_mid,NA,0.24588002636783124,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,OligoOPC,hspe,0.2662410448615854,0.2571621132387002,0.06095842108229845,0.22895951716982554,Br2720_mid,NA,0.24588002636783124,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Nuc,2107UNHS-0291,Br2720,Mid,Nuc,Astro,Bisque,0.10683562522133087,0.10695046630128754,0.002103933020839225,0.019693178342715893,Br2720_mid,NA,0.049439683586025046,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,2107UNHS-0291,Br2720,Mid,Nuc,Astro,hspe,0.04442332834315108,0.04079413229849042,0.017567011274594757,0.39544563475517097,Br2720_mid,NA,0.049439683586025046,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,2107UNHS-0291,Br2720,Mid,Nuc,EndoMural,Bisque,0.15379985917877442,0.15385025702218286,0.0012986228527293612,0.008443589348283235,Br2720_mid,NA,0.012195121951219513,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,2107UNHS-0291,Br2720,Mid,Nuc,EndoMural,hspe,0.11378522964423499,0.11038440059572871,0.02903676908201847,0.2551892646594455,Br2720_mid,NA,0.012195121951219513,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,2107UNHS-0291,Br2720,Mid,Nuc,Excit,Bisque,0.1763059571420617,0.17627318041098236,0.002339295725820794,0.013268387317938805,Br2720_mid,NA,0.11634805537244562,polyA,Nuc,polyA_Nuc
