"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Excit","log2fold_change","Auc"
"731","ENSG00000154146","hurdle",0,0.5193742,4.3099336,3.7905594,0.917
"71","ENSG00000070808","hurdle",0,0.04537156,4.00104236,3.9556708,0.913
"439","ENSG00000128656","hurdle",0,1.17141,4.664773,3.493363,0.91
"1128","ENSG00000185518","hurdle",0,-0.7174146,4.0040211,4.7214357,0.905
"776","ENSG00000157782","hurdle",0,-0.8101552,3.7410605,4.5512157,0.897
"453","ENSG00000130558","hurdle",0,0.2715667,3.6148411,3.3432744,0.89
"1113","ENSG00000184613","hurdle",0,0.01802662,4.38279593,4.36476931,0.888
"956","ENSG00000171617","hurdle",0,-0.3216773,3.6650687,3.986746,0.888
"600","ENSG00000143013","hurdle",0,-0.06001893,3.61081029,3.67082922,0.879
"209","ENSG00000104888","hurdle",0,-1.629021,2.215442,3.844463,0.876
"441","ENSG00000128989","hurdle",0,-0.2813279,2.9272652,3.2085931,0.871
"401","ENSG00000123416","hurdle",0,0.5191514,3.3781051,2.8589537,0.861
"203","ENSG00000104435","hurdle",0,0.6237379,3.5907559,2.967018,0.861
"629","ENSG00000145335","hurdle",0,-0.189129,3.033787,3.222916,0.86
"372","ENSG00000119042","hurdle",0,-1.677791,3.360395,5.038186,0.86
"878","ENSG00000166501","hurdle",0,1.526708,4.70848,3.181772,0.859
"398","ENSG00000123119","hurdle",0,0.1729638,3.7342906,3.5613268,0.858
"1186","ENSG00000196872","hurdle",0,-1.603716,3.113171,4.716887,0.852
"977","ENSG00000172995","hurdle",0,0.8214944,4.6930262,3.8715318,0.851
"961","ENSG00000172020","hurdle",0,0.3575738,3.260224,2.9026502,0.851
"813","ENSG00000163032","hurdle",0,1.428141,4.065802,2.637661,0.851
"1","ENSG00000002746","hurdle",0,0.3764898,4.3328856,3.9563958,0.851
"1383","ENSG00000277586","hurdle",0,-0.1119005,3.07284,3.1847405,0.85
"1011","ENSG00000175874","hurdle",0,-0.248346,2.996389,3.244735,0.85
"943","ENSG00000171246","hurdle",0,-1.811131,1.920813,3.731944,0.848
"790","ENSG00000160014","hurdle",0,0.8005981,3.3004263,2.4998282,0.848
"430","ENSG00000128245","hurdle",0,0.181232,3.045991,2.864759,0.848
"1154","ENSG00000188191","hurdle",0,-0.1266605,2.6276377,2.7542982,0.846
"648","ENSG00000146147","hurdle",0,-1.960012,3.069152,5.029164,0.843
"405","ENSG00000124785","hurdle",0,-1.755414,1.887362,3.642776,0.842
"275","ENSG00000110931","hurdle",0,-1.063217,2.184331,3.247548,0.842
"118","ENSG00000081189","hurdle",0,2.016749,4.714398,2.697649,0.841
"1132","ENSG00000185760","hurdle",0,1.885826,5.555112,3.669286,0.839
"730","ENSG00000154096","hurdle",0,0.4803563,3.0962029,2.6158466,0.839
"120","ENSG00000081803","hurdle",0,0.09009666,4.55962172,4.46952506,0.839
"84","ENSG00000074590","hurdle",0,-0.4108302,2.8063901,3.2172203,0.838
"58","ENSG00000066248","hurdle",0,-1.613869,2.023746,3.637615,0.837
"735","ENSG00000154277","hurdle",0,0.4113323,2.8289325,2.4176002,0.836
"482","ENSG00000133019","hurdle",0,1.48382,4.728182,3.244362,0.836
"35","ENSG00000048540","hurdle",0,-0.04691087,2.98274159,3.02965246,0.836
"896","ENSG00000168490","hurdle",0,-1.345768,1.750012,3.09578,0.835
"373","ENSG00000119125","hurdle",0,-1.529042,2.128745,3.657787,0.835
"1377","ENSG00000273032","hurdle",0,-0.5910767,2.6325974,3.2236741,0.834
"483","ENSG00000133083","hurdle",0,2.125793,5.064278,2.938485,0.833
"1146","ENSG00000187094","hurdle",0,0.1861702,3.2398272,3.053657,0.831
"842","ENSG00000164742","hurdle",0,0.2803418,2.9029728,2.622631,0.831
"780","ENSG00000158445","hurdle",0,0.5099584,3.2779524,2.767994,0.831
"779","ENSG00000158258","hurdle",0,0.2766199,4.3109887,4.0343688,0.831
"385","ENSG00000120899","hurdle",0,-1.64348,2.170809,3.814289,0.831
"520","ENSG00000135750","hurdle",0,-0.8998795,2.3385323,3.2384118,0.829
"915","ENSG00000169744","hurdle",0,1.315783,4.958319,3.642536,0.827
"359","ENSG00000117632","hurdle",0,0.5480694,3.0219224,2.473853,0.827
"352","ENSG00000117152","hurdle",0,-0.7736809,2.2893693,3.0630502,0.826
"294","ENSG00000112186","hurdle",0,0.2295586,2.7360544,2.5064958,0.826
"1124","ENSG00000185274","hurdle",0,1.332049,4.290598,2.958549,0.825
"103","ENSG00000078328","hurdle",0,4.668858,7.446907,2.778049,0.825
"1187","ENSG00000196950","hurdle",0,0.425594,3.117734,2.69214,0.824
"791","ENSG00000160145","hurdle",0,2.072659,5.482584,3.409925,0.824
"39","ENSG00000053108","hurdle",0,-0.3120214,3.9843668,4.2963882,0.824
"1086","ENSG00000183049","hurdle",0,1.111659,4.140004,3.028345,0.823
"744","ENSG00000154917","hurdle",0,0.02377946,2.48560854,2.46182908,0.823
"414","ENSG00000125851","hurdle",0,0.2489515,3.3954399,3.1464884,0.823
"1266","ENSG00000225206","hurdle",0,-0.5915576,2.9405821,3.5321397,0.822
"1091","ENSG00000183454","hurdle",0,2.526432,4.985854,2.459422,0.822
"234","ENSG00000106123","hurdle",0,-0.9819824,1.88035,2.8623324,0.822
"883","ENSG00000167281","hurdle",0,0.8329313,3.8194368,2.9865055,0.82
"848","ENSG00000164951","hurdle",0,-1.583759,1.69703,3.280789,0.82
"626","ENSG00000145087","hurdle",0,2.429718,5.659467,3.229749,0.82
"1260","ENSG00000221946","hurdle",0,-1.770115,1.396571,3.166686,0.819
"1251","ENSG00000214548","hurdle",0,3.276838,6.11452,2.837682,0.819
"1198","ENSG00000198010","hurdle",0,2.220865,5.583987,3.363122,0.819
"1253","ENSG00000215196","hurdle",0,-0.5487715,2.8839004,3.4326719,0.818
"532","ENSG00000136928","hurdle",0,1.874143,4.240375,2.366232,0.818
"247","ENSG00000107295","hurdle",0,0.9480918,3.8311777,2.8830859,0.818
"1207","ENSG00000198626","hurdle",0,2.449129,5.440189,2.99106,0.816
"820","ENSG00000163536","hurdle",0,0.6571154,2.9993158,2.3422004,0.816
"721","ENSG00000152931","hurdle",0,-2.426103,1.774253,4.200356,0.816
"542","ENSG00000137642","hurdle",0,0.449266,3.12601,2.676744,0.816
"468","ENSG00000131773","hurdle",0,0.8190927,4.4920583,3.6729656,0.816
"326","ENSG00000114948","hurdle",0,0.9615249,3.8058418,2.8443169,0.816
"133","ENSG00000088986","hurdle",0,-0.2460187,2.1689219,2.4149406,0.816
"5","ENSG00000006116","hurdle",0,-0.5695322,2.7144922,3.2840244,0.816
"495","ENSG00000133816","hurdle",0,0.1244695,3.0527203,2.9282508,0.814
"501","ENSG00000134343","hurdle",0,-1.549719,2.485712,4.035431,0.812
"488","ENSG00000133169","hurdle",0,0.01559274,2.51797005,2.50237731,0.812
"1283","ENSG00000229618","hurdle",0,-1.299351,3.902919,5.20227,0.811
"1114","ENSG00000184672","hurdle",0,3.349528,5.98204,2.632512,0.81
"686","ENSG00000150995","hurdle",0,0.5907512,3.2007872,2.610036,0.81
"529","ENSG00000136267","hurdle",0,1.112397,4.603593,3.491196,0.81
"1298","ENSG00000234423","hurdle",0,-0.7667592,3.2750778,4.041837,0.809
"1099","ENSG00000183780","hurdle",0,0.383463,3.929664,3.546201,0.809
"1384","ENSG00000283154","hurdle",0,1.91881,5.634354,3.715544,0.808
"1077","ENSG00000182674","hurdle",0,0.2688443,3.6955417,3.4266974,0.808
"239","ENSG00000106617","hurdle",0,-0.1123441,3.1594058,3.2717499,0.808
"137","ENSG00000089169","hurdle",0,0.278576,2.606777,2.328201,0.808
"16","ENSG00000022355","hurdle",0,0.6167368,2.8962788,2.279542,0.808
"964","ENSG00000172260","hurdle",0,3.024169,5.810295,2.786126,0.807
"602","ENSG00000143473","hurdle",0,0.7659692,4.3160483,3.5500791,0.807
"233","ENSG00000106089","hurdle",0,-2.008543,1.199995,3.208538,0.807
"151","ENSG00000099308","hurdle",0,-1.31141,1.596871,2.908281,0.806
"270","ENSG00000110427","hurdle",0,1.336389,3.714758,2.378369,0.805
"63","ENSG00000067715","hurdle",0,5.035327,6.827589,1.792262,0.805
"1043","ENSG00000178980","hurdle",0,0.2110049,2.457362,2.2463571,0.804
"679","ENSG00000149970","hurdle",0,1.256285,3.982676,2.726391,0.804
"21","ENSG00000034510","hurdle",0,-0.106932,2.283075,2.390007,0.804
"1200","ENSG00000198053","hurdle",0,-0.7474154,1.8361972,2.5836126,0.803
"1147","ENSG00000187122","hurdle",0,-0.934496,2.245368,3.179864,0.803
"1254","ENSG00000216863","hurdle",0,-2.461079,2.610962,5.072041,0.802
"226","ENSG00000105696","hurdle",0,-0.1617334,2.0547996,2.216533,0.802
"1389","ENSG00000286214","hurdle",0,0.188733,2.559184,2.370451,0.801
"1362","ENSG00000260032","hurdle",0,0.68163,2.858187,2.176557,0.801
"879","ENSG00000166681","hurdle",0,0.1261418,2.4480035,2.3218617,0.801
"700","ENSG00000151952","hurdle",0,1.232224,4.366811,3.134587,0.801
"316","ENSG00000114279","hurdle",0,3.146216,5.269591,2.123375,0.801
"283","ENSG00000111674","hurdle",0,0.0370846,2.2312322,2.1941476,0.801
"717","ENSG00000152583","hurdle",0,2.096717,3.872063,1.775346,0.8
"465","ENSG00000131378","hurdle",0,-1.552525,2.138366,3.690891,0.8
"292","ENSG00000112137","hurdle",0,2.568312,5.899513,3.331201,0.8
"189","ENSG00000103034","hurdle",0,0.188933,2.354448,2.165515,0.8
"1142","ENSG00000186487","hurdle",0,2.27245,4.479343,2.206893,0.799
"803","ENSG00000162374","hurdle",0,0.1961952,2.762853,2.5666578,0.799
"754","ENSG00000155980","hurdle",0,0.06590487,2.15857832,2.09267345,0.799
"729","ENSG00000154027","hurdle",0,1.124955,3.772103,2.647148,0.799
"643","ENSG00000145864","hurdle",0,2.25255,4.241529,1.988979,0.799
"366","ENSG00000118733","hurdle",0,1.481928,4.045484,2.563556,0.799
"1269","ENSG00000225783","hurdle",0,1.16983,3.755656,2.585826,0.798
"1112","ENSG00000184611","hurdle",0,0.9525991,4.3415796,3.3889805,0.798
"1094","ENSG00000183662","hurdle",0,0.1005543,4.6770027,4.5764484,0.798
"946","ENSG00000171385","hurdle",0,0.1005118,2.7161834,2.6156716,0.798
"628","ENSG00000145242","hurdle",0,-0.2800539,2.8794344,3.1594883,0.798
"527","ENSG00000136237","hurdle",0,1.281697,4.296132,3.014435,0.798
"1332","ENSG00000248994","hurdle",0,-1.288506,2.314137,3.602643,0.797
"1164","ENSG00000189241","hurdle",0,-0.108701,2.178704,2.287405,0.797
"874","ENSG00000166206","hurdle",0,1.957435,4.308925,2.35149,0.797
"70","ENSG00000070087","hurdle",0,-1.134008,1.518558,2.652566,0.797
"514","ENSG00000135426","hurdle",0,-2.282747,2.288929,4.571676,0.796
"178","ENSG00000101638","hurdle",0,-0.3724259,2.3262934,2.6987193,0.796
"1310","ENSG00000239498","hurdle",0,-2.275885,3.30484,5.580725,0.795
"1103","ENSG00000184156","hurdle",0,1.86165,4.464724,2.603074,0.795
"849","ENSG00000165023","hurdle",0,-0.4082258,2.2981928,2.7064186,0.795
"838","ENSG00000164588","hurdle",0,1.631959,3.943239,2.31128,0.795
"1264","ENSG00000224271","hurdle",0,-2.035958,3.804619,5.840577,0.794
"1138","ENSG00000186094","hurdle",0,2.547754,5.384355,2.836601,0.794
"713","ENSG00000152413","hurdle",0,0.3080834,3.1462441,2.8381607,0.794
"207","ENSG00000104722","hurdle",0,-0.8775062,2.2204418,3.097948,0.794
"105","ENSG00000078902","hurdle",0,-1.140226,1.450866,2.591092,0.794
"1141","ENSG00000186472","hurdle",0,2.209168,4.332054,2.122886,0.793
"1005","ENSG00000175471","hurdle",0,0.8721242,3.8846411,3.0125169,0.793
"983","ENSG00000173726","hurdle",0,0.1635899,2.3428717,2.1792818,0.793
"256","ENSG00000108684","hurdle",0,1.510778,4.446967,2.936189,0.793
"1301","ENSG00000236451","hurdle",0,-2.470652,2.856975,5.327627,0.792
"689","ENSG00000151090","hurdle",0,1.60445,4.37382,2.76937,0.792
"571","ENSG00000140538","hurdle",0,1.489304,4.032693,2.543389,0.792
"611","ENSG00000144331","hurdle",0,1.403807,4.253523,2.849716,0.791
"561","ENSG00000139364","hurdle",0,1.909251,4.341975,2.432724,0.79
"872","ENSG00000166165","hurdle",0,0.6074286,2.6166053,2.0091767,0.789
"805","ENSG00000162545","hurdle",0,0.8911318,2.9431022,2.0519704,0.789
"336","ENSG00000116106","hurdle",0,0.7362486,3.1325965,2.3963479,0.789
"622","ENSG00000144834","hurdle",0,-0.5899095,1.7394448,2.3293543,0.788
"1297","ENSG00000233928","hurdle",0,-1.14839,2.60077,3.74916,0.787
"1277","ENSG00000228566","hurdle",0,-1.049466,4.135055,5.184521,0.787
"1058","ENSG00000180354","hurdle",0,0.02861565,2.09110677,2.06249112,0.787
"857","ENSG00000165434","hurdle",0,0.2977334,2.5332499,2.2355165,0.787
"37","ENSG00000049759","hurdle",0,0.7361665,3.245001,2.5088345,0.787
"1331","ENSG00000248905","hurdle",0,0.9654067,3.9242657,2.958859,0.786
"756","ENSG00000156113","hurdle",0,2.775914,5.228331,2.452417,0.786
"589","ENSG00000141668","hurdle",0,-1.83501,3.104354,4.939364,0.786
"519","ENSG00000135643","hurdle",0,-0.6515374,2.0945965,2.7461339,0.786
"243","ENSG00000107130","hurdle",0,-0.3637744,1.7243714,2.0881458,0.786
"36","ENSG00000048991","hurdle",0,2.287912,4.970879,2.682967,0.786
"1288","ENSG00000231533","hurdle",0,-1.130509,2.281652,3.412161,0.785
"1201","ENSG00000198108","hurdle",0,0.9649162,3.8590089,2.8940927,0.785
"1070","ENSG00000182256","hurdle",0,1.540317,3.881673,2.341356,0.784
"452","ENSG00000130540","hurdle",0,-0.5275163,1.7172617,2.244778,0.784
"249","ENSG00000107518","hurdle",0,3.284973,5.612797,2.327824,0.784
"1095","ENSG00000183715","hurdle",0,4.207823,6.45658,2.248757,0.783
"480","ENSG00000132938","hurdle",0,1.688143,4.075188,2.387045,0.783
"410","ENSG00000125675","hurdle",0,1.667118,3.926593,2.259475,0.783
"766","ENSG00000157064","hurdle",0,1.155613,3.128526,1.972913,0.781
"665","ENSG00000148408","hurdle",0,1.677077,3.991707,2.31463,0.781
"1041","ENSG00000178531","hurdle",0,-1.775569,1.06881,2.844379,0.78
"646","ENSG00000145934","hurdle",0,2.932328,5.314128,2.3818,0.78
"1089","ENSG00000183117","hurdle",0,4.636981,7.052236,2.415255,0.779
"913","ENSG00000169567","hurdle",0,-0.617698,1.6537,2.271398,0.779
"13","ENSG00000014641","hurdle",0,-0.04014334,1.88475016,1.9248935,0.779
"1133","ENSG00000185774","hurdle",0,5.950836,8.074436,2.1236,0.778
"715","ENSG00000152495","hurdle",0,0.8159878,3.140637,2.3246492,0.778
"544","ENSG00000137726","hurdle",0,0.2384761,2.0543516,1.8158755,0.778
"538","ENSG00000137267","hurdle",0,-0.4459922,2.1790248,2.625017,0.778
"486","ENSG00000133134","hurdle",0,-0.4515938,1.8330669,2.2846607,0.778
"645","ENSG00000145920","hurdle",0,-0.6275977,1.6668724,2.2944701,0.777
"238","ENSG00000106536","hurdle",0,-0.4371982,3.7035984,4.1407966,0.777
"210","ENSG00000104904","hurdle",0,-0.4235564,1.720424,2.1439804,0.777
"1203","ENSG00000198216","hurdle",0,0.8464355,3.1652517,2.3188162,0.776
"844","ENSG00000164830","hurdle",0,2.837217,5.084209,2.246992,0.776
"565","ENSG00000139973","hurdle",0,1.290821,3.386248,2.095427,0.776
"350","ENSG00000117114","hurdle",0,1.474645,4.021651,2.547006,0.776
"314","ENSG00000113805","hurdle",0,-0.1194598,3.0249119,3.1443717,0.776
"112","ENSG00000079841","hurdle",0,2.045433,4.399193,2.35376,0.776
"104","ENSG00000078725","hurdle",0,0.5213453,3.0802298,2.5588845,0.776
"93","ENSG00000076554","hurdle",0,-0.2687475,2.0181581,2.2869056,0.776
"1079","ENSG00000182768","hurdle",0,-0.4957915,1.6751086,2.1709001,0.775
"858","ENSG00000165495","hurdle",0,0.2622438,2.8072544,2.5450106,0.775
"847","ENSG00000164929","hurdle",0,-0.2930688,1.9843878,2.2774566,0.775
"610","ENSG00000144290","hurdle",0,2.255103,4.271231,2.016128,0.775
"1025","ENSG00000176884","hurdle",0,1.034598,2.582507,1.547909,0.774
"892","ENSG00000167996","hurdle",0,1.46678,3.228785,1.762005,0.774
"382","ENSG00000120694","hurdle",0,0.682028,2.537633,1.855605,0.774
"274","ENSG00000110841","hurdle",0,0.1128778,2.73051,2.6176322,0.774
"1267","ENSG00000225689","hurdle",0,1.061612,3.894274,2.832662,0.773
"1258","ENSG00000221866","hurdle",0,1.16015,3.278078,2.117928,0.773
"1159","ENSG00000188580","hurdle",0,3.05714,5.79422,2.73708,0.773
"875","ENSG00000166257","hurdle",0,0.1455234,2.2025122,2.0569888,0.773
"642","ENSG00000145819","hurdle",0,1.855564,4.502669,2.647105,0.773
"384","ENSG00000120885","hurdle",0,1.317485,3.115568,1.798083,0.773
"153","ENSG00000099365","hurdle",0,-0.7736029,1.3985131,2.172116,0.773
"1136","ENSG00000185883","hurdle",0,0.6038325,2.4255237,1.8216912,0.772
"503","ENSG00000134504","hurdle",0,0.1610228,3.1046984,2.9436756,0.772
"1378","ENSG00000273079","hurdle",0,2.777232,4.511344,1.734112,0.771
"920","ENSG00000169933","hurdle",0,3.111889,5.32914,2.217251,0.771
