"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"49","ENSG00000107099","hurdle",0,-2.725664,2.364739,5.090403,0.942
"120","ENSG00000148655","hurdle",0,0.60436,3.818007,3.213647,0.937
"20","ENSG00000077420","hurdle",0,-2.85272,2.465905,5.318625,0.93
"146","ENSG00000168918","hurdle",0,-1.86432,1.824401,3.688721,0.9
"15","ENSG00000059377","hurdle",0,-2.7094,1.555252,4.264652,0.883
"11","ENSG00000042980","hurdle",0,-2.285897,1.524886,3.810783,0.882
"18","ENSG00000073849","hurdle",0,0.4392296,3.0264628,2.5872332,0.864
"68","ENSG00000120594","hurdle",0,2.083025,4.151946,2.068921,0.86
"181","ENSG00000198879","hurdle",0,0.9387381,3.1221957,2.1834576,0.854
"79","ENSG00000125730","hurdle",0,-2.97831,1.066522,4.044832,0.854
"50","ENSG00000107719","hurdle",0,-1.783586,1.341831,3.125417,0.848
"23","ENSG00000082074","hurdle",0,-3.003192,1.227186,4.230378,0.848
"166","ENSG00000182578","hurdle",0,-2.9797619,0.9663133,3.9460752,0.844
"99","ENSG00000137491","hurdle",0,-2.073483,1.357038,3.430521,0.844
"78","ENSG00000125257","hurdle",0,-1.138627,1.720772,2.859399,0.838
"92","ENSG00000134516","hurdle",0,-1.418595,1.347154,2.765749,0.836
"105","ENSG00000138639","hurdle",0,1.058781,2.886514,1.827733,0.835
"73","ENSG00000123104","hurdle",0,1.45299,3.006866,1.553876,0.831
"194","ENSG00000266028","hurdle",0,0.7709926,2.735717,1.9647244,0.83
"42","ENSG00000104043","hurdle",0,-0.9611449,1.5963616,2.5575065,0.829
"97","ENSG00000136250","hurdle",0,-1.324416,1.355982,2.680398,0.82
"190","ENSG00000254087","hurdle",0,-2.6090576,0.8401156,3.4491732,0.813
"108","ENSG00000139679","hurdle",0,-1.7975086,0.8886208,2.6861294,0.811
"22","ENSG00000081237","hurdle",0,-2.9014165,0.6504948,3.5519113,0.806
"140","ENSG00000165025","hurdle",0,-2.8423074,0.6738417,3.5161491,0.803
"46","ENSG00000106034","hurdle",0,-2.2370888,0.9570596,3.1941484,0.802
"144","ENSG00000168329","hurdle",0,-3.1342434,0.9556664,4.0899098,0.796
"135","ENSG00000162946","hurdle",0,-0.03464532,1.75614852,1.79079384,0.793
"122","ENSG00000151702","hurdle",0,-2.092765,0.6794792,2.7722442,0.792
"116","ENSG00000146090","hurdle",0,-0.943028,1.450013,2.393041,0.792
"83","ENSG00000129667","hurdle",0,-3.083415,0.4153303,3.4987453,0.792
"147","ENSG00000169313","hurdle",0,-1.648724,1.342542,2.991266,0.791
"21","ENSG00000079215","hurdle",0,0.6947443,2.2196414,1.5248971,0.789
"110","ENSG00000140678","hurdle",0,-3.191246,0.365141,3.556387,0.78
"170","ENSG00000184384","hurdle",0,0.8391991,2.3492599,1.5100608,0.778
"197","ENSG00000273749","hurdle",0,0.0830425,1.8751489,1.7921064,0.776
"152","ENSG00000171310","hurdle",0,0.8101045,2.2194479,1.4093434,0.773
"82","ENSG00000128815","hurdle",0,-2.8986676,0.3232611,3.2219287,0.773
"109","ENSG00000140548","hurdle",0,-1.213144,1.031244,2.244388,0.772
"128","ENSG00000155307","hurdle",0,-2.8655079,0.6337499,3.4992578,0.77
"196","ENSG00000273409","hurdle",0,-3.1076981,0.7384607,3.8461588,0.769
"171","ENSG00000185650","hurdle",0,-1.666901,0.923246,2.590147,0.768
"121","ENSG00000148908","hurdle",0,-3.1407247,0.1882115,3.3289362,0.767
"103","ENSG00000138185","hurdle",0,-2.0224697,0.6470462,2.6695159,0.761
"113","ENSG00000142347","hurdle",0,-2.5525642,0.3029524,2.8555166,0.758
"115","ENSG00000145685","hurdle",0,-0.710855,1.378685,2.08954,0.757
"96","ENSG00000136205","hurdle",0,-1.4209171,0.6957045,2.1166216,0.757
"17","ENSG00000067066","hurdle",0,-2.4868016,0.2493781,2.7361797,0.757
"16","ENSG00000065413","hurdle",0,0.4262704,1.9519214,1.525651,0.752
"162","ENSG00000178573","hurdle",0,-1.5244145,0.5432748,2.0676893,0.751
"136","ENSG00000163219","hurdle",0,-1.9821086,0.6822897,2.6643983,0.75
"5","ENSG00000019582","hurdle",0,-2.8747392,0.2956294,3.1703686,0.749
"57","ENSG00000112799","hurdle",0,-2.3069599,0.3901101,2.69707,0.748
"175","ENSG00000196782","hurdle",8.40536651654398e-296,0.8000176,2.0208226,1.220805,0.746
"26","ENSG00000087253","hurdle",0,-1.793035,0.614456,2.407491,0.745
"137","ENSG00000163513","hurdle",0,-2.4475307,0.4119479,2.8594786,0.744
"129","ENSG00000155629","hurdle",0,-3.0180308,0.1001603,3.1181911,0.744
"164","ENSG00000181804","hurdle",4.07262823585401e-279,0.6609717,1.9916631,1.3306914,0.743
"160","ENSG00000175899","hurdle",0,-1.339514,0.607967,1.947481,0.743
"174","ENSG00000196369","hurdle",0,-0.2593901,1.3580926,1.6174827,0.741
"67","ENSG00000119535","hurdle",0,-3.2274975,-0.1260061,3.1014914,0.739
"187","ENSG00000236963","hurdle",0,-2.4725698,0.1810757,2.6536455,0.738
"80","ENSG00000128512","hurdle",5.83712991388729e-237,3.261324,4.304207,1.042883,0.736
"188","ENSG00000245532","hurdle",2.07089893847246e-240,1.948424,2.669981,0.721557,0.734
"125","ENSG00000153208","hurdle",0,-1.165163,0.934134,2.099297,0.733
"74","ENSG00000123338","hurdle",0,-3.056686,-0.149802,2.906884,0.731
"34","ENSG00000101096","hurdle",0,-2.4766636,0.1554143,2.6320779,0.731
"84","ENSG00000130066","hurdle",2.63941700985446e-284,0.07878977,1.67888832,1.60009855,0.73
"6","ENSG00000026297","hurdle",3.118679466649e-312,-0.8366497,0.8360831,1.6727328,0.729
"59","ENSG00000114013","hurdle",0,-3.208893,0.169905,3.378798,0.726
"173","ENSG00000196218","hurdle",0,-1.1333083,0.6372304,1.7705387,0.725
"133","ENSG00000161791","hurdle",4.68027925783507e-294,-0.6803527,0.9579877,1.6383404,0.725
"123","ENSG00000152518","hurdle",0,-2.2809033,0.3225407,2.603444,0.725
"36","ENSG00000101463","hurdle",4.84292716503143e-230,1.597417,2.844099,1.246682,0.725
"75","ENSG00000124126","hurdle",5.07751055358717e-260,-0.1789017,1.2152042,1.3941059,0.723
"111","ENSG00000140836","hurdle",3.80490441403368e-226,1.131398,1.721865,0.590467,0.722
"138","ENSG00000163565","hurdle",0,-2.5034108,-0.0153099,2.4881009,0.72
"85","ENSG00000131724","hurdle",0,-2.8678102,-0.1408325,2.7269777,0.72
"4","ENSG00000012779","hurdle",0,-2.8994525,-0.1668982,2.7325543,0.716
"156","ENSG00000173391","hurdle",0,-2.9605919,0.3859785,3.3465704,0.715
"151","ENSG00000170776","hurdle",2.06106186879072e-224,0.5372479,1.4938662,0.9566183,0.713
"106","ENSG00000138756","hurdle",4.25927538562344e-215,0.3531963,1.5831892,1.2299929,0.711
"53","ENSG00000109794","hurdle",0,-1.562211,0.492938,2.055149,0.709
"13","ENSG00000053254","hurdle",2.12565961362165e-193,1.862515,2.822224,0.959709,0.709
"33","ENSG00000100599","hurdle",5.72948660921906e-318,-1.536878,0.3693326,1.9062106,0.708
"145","ENSG00000168461","hurdle",3.93935099018225e-253,-0.7621738,0.8044427,1.5666165,0.707
"27","ENSG00000090376","hurdle",0,-2.424189,-0.123059,2.30113,0.7
"107","ENSG00000139132","hurdle",5.32245329352335e-180,0.3886899,1.503433,1.1147431,0.695
"168","ENSG00000184005","hurdle",3.60100105364173e-167,1.681892,2.743139,1.061247,0.692
"9","ENSG00000028137","hurdle",0,-3.0176047,-0.1132787,2.904326,0.691
"179","ENSG00000198286","hurdle",0,-2.7840749,-0.3603962,2.4236787,0.69
"169","ENSG00000184060","hurdle",0,-2.433253,-0.159834,2.273419,0.69
"155","ENSG00000173193","hurdle",0,-2.214571,-0.21734,1.997231,0.69
"24","ENSG00000082781","hurdle",1.69468172609327e-316,-1.9323665,0.1317577,2.0641242,0.688
"150","ENSG00000170677","hurdle",1.1240458391554e-295,-0.9929362,0.7395405,1.7324767,0.686
"102","ENSG00000138119","hurdle",0,-2.5343157,-0.4062334,2.1280823,0.686
"76","ENSG00000124782","hurdle",1.34330390164263e-278,-1.74674888,0.02066716,1.76741604,0.682
"60","ENSG00000114450","hurdle",1.27385670487831e-194,-0.8108563,0.3290115,1.1398678,0.679
"81","ENSG00000128805","hurdle",1.19269871045961e-149,0.5553863,1.5481824,0.9927961,0.678
"153","ENSG00000171316","hurdle",5.48444532480891e-188,-0.5124553,0.52523,1.0376853,0.677
"192","ENSG00000260314","hurdle",0,-3.0883285,-0.1191389,2.9691896,0.675
"186","ENSG00000227082","hurdle",2.26459296651378e-160,-0.1683102,0.9986928,1.167003,0.675
"180","ENSG00000198771","hurdle",6.65669176982251e-282,-1.7403189,-0.1201179,1.620201,0.674
