"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Excit","log2fold_change","Auc"
"1806","ENSG00000154146","hurdle",0,0.5193742,4.3099336,3.7905594,0.917
"204","ENSG00000070808","hurdle",0,0.04537156,4.00104236,3.9556708,0.913
"1155","ENSG00000128656","hurdle",0,1.17141,4.664773,3.493363,0.91
"2772","ENSG00000185518","hurdle",0,-0.7174146,4.0040211,4.7214357,0.905
"1884","ENSG00000157782","hurdle",0,-0.8101552,3.7410605,4.5512157,0.897
"1205","ENSG00000130558","hurdle",0,0.2715667,3.6148411,3.3432744,0.89
"2734","ENSG00000184613","hurdle",0,0.01802662,4.38279593,4.36476931,0.888
"2346","ENSG00000171617","hurdle",0,-0.3216773,3.6650687,3.986746,0.888
"1543","ENSG00000143013","hurdle",0,-0.06001893,3.61081029,3.67082922,0.879
"570","ENSG00000104888","hurdle",0,-1.629021,2.215442,3.844463,0.876
"1159","ENSG00000128989","hurdle",0,-0.2813279,2.9272652,3.2085931,0.871
"1036","ENSG00000123416","hurdle",0,0.5191514,3.3781051,2.8589537,0.861
"551","ENSG00000104435","hurdle",0,0.6237379,3.5907559,2.967018,0.861
"1611","ENSG00000145335","hurdle",0,-0.189129,3.033787,3.222916,0.86
"955","ENSG00000119042","hurdle",0,-1.677791,3.360395,5.038186,0.86
"2149","ENSG00000166501","hurdle",0,1.526708,4.70848,3.181772,0.859
"1029","ENSG00000123119","hurdle",0,0.1729638,3.7342906,3.5613268,0.858
"2908","ENSG00000196872","hurdle",0,-1.603716,3.113171,4.716887,0.852
"2393","ENSG00000172995","hurdle",0,0.8214944,4.6930262,3.8715318,0.851
"2358","ENSG00000172020","hurdle",0,0.3575738,3.260224,2.9026502,0.851
"1990","ENSG00000163032","hurdle",0,1.428141,4.065802,2.637661,0.851
"7","ENSG00000002746","hurdle",0,0.3764898,4.3328856,3.9563958,0.851
"3362","ENSG00000277586","hurdle",0,-0.1119005,3.07284,3.1847405,0.85
"2486","ENSG00000175874","hurdle",0,-0.248346,2.996389,3.244735,0.85
"2326","ENSG00000171246","hurdle",0,-1.811131,1.920813,3.731944,0.848
"1914","ENSG00000160014","hurdle",0,0.8005981,3.3004263,2.4998282,0.848
"1141","ENSG00000128245","hurdle",0,0.181232,3.045991,2.864759,0.848
"2847","ENSG00000188191","hurdle",0,-0.1266605,2.6276377,2.7542982,0.846
"1639","ENSG00000146147","hurdle",0,-1.960012,3.069152,5.029164,0.843
"1060","ENSG00000124785","hurdle",0,-1.755414,1.887362,3.642776,0.842
"741","ENSG00000110931","hurdle",0,-1.063217,2.184331,3.247548,0.842
