"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.OPC","log2fold_change","Auc"
"328","ENSG00000187416","hurdle",0,0.490803,5.143891,4.653088,0.978
"10","ENSG00000038427","hurdle",0,-1.703082,3.497198,5.20028,0.974
"78","ENSG00000106278","hurdle",0,0.9340344,4.3747885,3.4407541,0.954
"226","ENSG00000157890","hurdle",0,-1.417116,2.584467,4.001583,0.94
"84","ENSG00000110693","hurdle",0,0.8353265,3.9541483,3.1188218,0.928
"151","ENSG00000134853","hurdle",0,-2.556781,1.949487,4.506268,0.927
"94","ENSG00000112902","hurdle",0,-0.005444154,3.215870702,3.221314856,0.922
"347","ENSG00000198732","hurdle",0,-1.951801,2.02049,3.972291,0.913
"200","ENSG00000150275","hurdle",0,2.108379,4.638432,2.530053,0.911
"28","ENSG00000072134","hurdle",0,1.140488,3.600924,2.460436,0.911
"277","ENSG00000171310","hurdle",0,0.5988215,3.4410618,2.8422403,0.903
"365","ENSG00000227036","hurdle",0,0.146666,2.700211,2.553545,0.892
"107","ENSG00000116147","hurdle",0,2.514602,4.761428,2.246826,0.892
"114","ENSG00000122584","hurdle",0,1.839669,3.367097,1.527428,0.887
"327","ENSG00000187398","hurdle",0,1.571451,3.827557,2.256106,0.886
"315","ENSG00000184384","hurdle",0,0.7014627,3.1850491,2.4835864,0.875
"269","ENSG00000169302","hurdle",0,-2.558183,1.340254,3.898437,0.863
"237","ENSG00000162946","hurdle",0,-0.1272658,2.2215423,2.3488081,0.863
"177","ENSG00000140470","hurdle",0,0.1750524,2.2114619,2.0364095,0.858
"97","ENSG00000114166","hurdle",0,-0.07090992,2.25433221,2.32524213,0.856
"339","ENSG00000196562","hurdle",0,-1.219458,1.36385,2.583308,0.852
"88","ENSG00000112280","hurdle",0,-2.852333,1.005937,3.85827,0.847
"18","ENSG00000058866","hurdle",0,0.8642578,2.5354117,1.6711539,0.843
"22","ENSG00000064787","hurdle",0,-0.2815684,2.0864126,2.367981,0.841
