"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Excit","log2fold_change","Auc"
"439","ENSG00000154146","hurdle",0,0.5193742,4.3099336,3.7905594,0.917
"34","ENSG00000070808","hurdle",0,0.04537156,4.00104236,3.9556708,0.913
"252","ENSG00000128656","hurdle",0,1.17141,4.664773,3.493363,0.91
"695","ENSG00000185518","hurdle",0,-0.7174146,4.0040211,4.7214357,0.905
"474","ENSG00000157782","hurdle",0,-0.8101552,3.7410605,4.5512157,0.897
"258","ENSG00000130558","hurdle",0,0.2715667,3.6148411,3.3432744,0.89
"683","ENSG00000184613","hurdle",0,0.01802662,4.38279593,4.36476931,0.888
"588","ENSG00000171617","hurdle",0,-0.3216773,3.6650687,3.986746,0.888
"348","ENSG00000143013","hurdle",0,-0.06001893,3.61081029,3.67082922,0.879
"123","ENSG00000104888","hurdle",0,-1.629021,2.215442,3.844463,0.876
"254","ENSG00000128989","hurdle",0,-0.2813279,2.9272652,3.2085931,0.871
"230","ENSG00000123416","hurdle",0,0.5191514,3.3781051,2.8589537,0.861
"118","ENSG00000104435","hurdle",0,0.6237379,3.5907559,2.967018,0.861
"372","ENSG00000145335","hurdle",0,-0.189129,3.033787,3.222916,0.86
"210","ENSG00000119042","hurdle",0,-1.677791,3.360395,5.038186,0.86
"541","ENSG00000166501","hurdle",0,1.526708,4.70848,3.181772,0.859
"227","ENSG00000123119","hurdle",0,0.1729638,3.7342906,3.5613268,0.858
"739","ENSG00000196872","hurdle",0,-1.603716,3.113171,4.716887,0.852
"603","ENSG00000172995","hurdle",0,0.8214944,4.6930262,3.8715318,0.851
"593","ENSG00000172020","hurdle",0,0.3575738,3.260224,2.9026502,0.851
"1","ENSG00000002746","hurdle",0,0.3764898,4.3328856,3.9563958,0.851
"879","ENSG00000277586","hurdle",0,-0.1119005,3.07284,3.1847405,0.85
"624","ENSG00000175874","hurdle",0,-0.248346,2.996389,3.244735,0.85
"579","ENSG00000171246","hurdle",0,-1.811131,1.920813,3.731944,0.848
"482","ENSG00000160014","hurdle",0,0.8005981,3.3004263,2.4998282,0.848
"247","ENSG00000128245","hurdle",0,0.181232,3.045991,2.864759,0.848
"385","ENSG00000146147","hurdle",0,-1.960012,3.069152,5.029164,0.843
"232","ENSG00000124785","hurdle",0,-1.755414,1.887362,3.642776,0.842
"164","ENSG00000110931","hurdle",0,-1.063217,2.184331,3.247548,0.842
"63","ENSG00000081189","hurdle",0,2.016749,4.714398,2.697649,0.841
"699","ENSG00000185760","hurdle",0,1.885826,5.555112,3.669286,0.839
"438","ENSG00000154096","hurdle",0,0.4803563,3.0962029,2.6158466,0.839
"64","ENSG00000081803","hurdle",0,0.09009666,4.55962172,4.46952506,0.839
"42","ENSG00000074590","hurdle",0,-0.4108302,2.8063901,3.2172203,0.838
"443","ENSG00000154277","hurdle",0,0.4113323,2.8289325,2.4176002,0.836
"273","ENSG00000133019","hurdle",0,1.48382,4.728182,3.244362,0.836
"18","ENSG00000048540","hurdle",0,-0.04691087,2.98274159,3.02965246,0.836
"552","ENSG00000168490","hurdle",0,-1.345768,1.750012,3.09578,0.835
"211","ENSG00000119125","hurdle",0,-1.529042,2.128745,3.657787,0.835
"274","ENSG00000133083","hurdle",0,2.125793,5.064278,2.938485,0.833
"711","ENSG00000187094","hurdle",0,0.1861702,3.2398272,3.053657,0.831
"518","ENSG00000164742","hurdle",0,0.2803418,2.9029728,2.622631,0.831
"476","ENSG00000158258","hurdle",0,0.2766199,4.3109887,4.0343688,0.831
"219","ENSG00000120899","hurdle",0,-1.64348,2.170809,3.814289,0.831
"295","ENSG00000135750","hurdle",0,-0.8998795,2.3385323,3.2384118,0.829
"562","ENSG00000169744","hurdle",0,1.315783,4.958319,3.642536,0.827
"205","ENSG00000117632","hurdle",0,0.5480694,3.0219224,2.473853,0.827
"202","ENSG00000117152","hurdle",0,-0.7736809,2.2893693,3.0630502,0.826
"691","ENSG00000185274","hurdle",0,1.332049,4.290598,2.958549,0.825
"52","ENSG00000078328","hurdle",0,4.668858,7.446907,2.778049,0.825
"740","ENSG00000196950","hurdle",0,0.425594,3.117734,2.69214,0.824
"483","ENSG00000160145","hurdle",0,2.072659,5.482584,3.409925,0.824
"21","ENSG00000053108","hurdle",0,-0.3120214,3.9843668,4.2963882,0.824
"663","ENSG00000183049","hurdle",0,1.111659,4.140004,3.028345,0.823
"450","ENSG00000154917","hurdle",0,0.02377946,2.48560854,2.46182908,0.823
"237","ENSG00000125851","hurdle",0,0.2489515,3.3954399,3.1464884,0.823
"796","ENSG00000225206","hurdle",0,-0.5915576,2.9405821,3.5321397,0.822
"666","ENSG00000183454","hurdle",0,2.526432,4.985854,2.459422,0.822
"135","ENSG00000106123","hurdle",0,-0.9819824,1.88035,2.8623324,0.822
"545","ENSG00000167281","hurdle",0,0.8329313,3.8194368,2.9865055,0.82
"369","ENSG00000145087","hurdle",0,2.429718,5.659467,3.229749,0.82
"784","ENSG00000214548","hurdle",0,3.276838,6.11452,2.837682,0.819
"749","ENSG00000198010","hurdle",0,2.220865,5.583987,3.363122,0.819
"786","ENSG00000215196","hurdle",0,-0.5487715,2.8839004,3.4326719,0.818
"303","ENSG00000136928","hurdle",0,1.874143,4.240375,2.366232,0.818
"146","ENSG00000107295","hurdle",0,0.9480918,3.8311777,2.8830859,0.818
"755","ENSG00000198626","hurdle",0,2.449129,5.440189,2.99106,0.816
"308","ENSG00000137642","hurdle",0,0.449266,3.12601,2.676744,0.816
"268","ENSG00000131773","hurdle",0,0.8190927,4.4920583,3.6729656,0.816
"73","ENSG00000088986","hurdle",0,-0.2460187,2.1689219,2.4149406,0.816
"2","ENSG00000006116","hurdle",0,-0.5695322,2.7144922,3.2840244,0.816
"282","ENSG00000133816","hurdle",0,0.1244695,3.0527203,2.9282508,0.814
"285","ENSG00000134343","hurdle",0,-1.549719,2.485712,4.035431,0.812
"278","ENSG00000133169","hurdle",0,0.01559274,2.51797005,2.50237731,0.812
"811","ENSG00000229618","hurdle",0,-1.299351,3.902919,5.20227,0.811
"684","ENSG00000184672","hurdle",0,3.349528,5.98204,2.632512,0.81
"410","ENSG00000150995","hurdle",0,0.5907512,3.2007872,2.610036,0.81
"301","ENSG00000136267","hurdle",0,1.112397,4.603593,3.491196,0.81
"824","ENSG00000234423","hurdle",0,-0.7667592,3.2750778,4.041837,0.809
"672","ENSG00000183780","hurdle",0,0.383463,3.929664,3.546201,0.809
"880","ENSG00000283154","hurdle",0,1.91881,5.634354,3.715544,0.808
