"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Astro","log2fold_change","Auc"
"237","ENSG00000234377","hurdle",0,-0.9107694,3.3026889,4.2134583,0.892
"22","ENSG00000079215","hurdle",0,-0.1943336,3.6622273,3.8565609,0.883
"59","ENSG00000110436","hurdle",0,1.654632,5.411065,3.756433,0.864
"175","ENSG00000164199","hurdle",0,0.07573211,4.03264283,3.95691072,0.861
"210","ENSG00000179399","hurdle",0,1.813891,4.699532,2.885641,0.838
"7","ENSG00000018625","hurdle",0,-0.0903243,2.1275229,2.2178472,0.838
"104","ENSG00000135540","hurdle",0,-1.768433,2.262861,4.031294,0.827
"110","ENSG00000136297","hurdle",0,-1.038013,1.766313,2.804326,0.813
"240","ENSG00000236790","hurdle",0,0.007673126,2.573855202,2.566182076,0.811
"122","ENSG00000142611","hurdle",0,-2.581974,1.061731,3.643705,0.806
"54","ENSG00000106571","hurdle",0,-2.546361,1.456746,4.003107,0.798
"82","ENSG00000124440","hurdle",0,-2.140137,1.23532,3.375457,0.795
"157","ENSG00000154217","hurdle",0,1.763338,3.956216,2.192878,0.79
"28","ENSG00000080573","hurdle",0,-1.674333,1.660069,3.334402,0.79
"11","ENSG00000046889","hurdle",0,-0.3444649,2.4118092,2.7562741,0.789
"222","ENSG00000185942","hurdle",0,1.12378,3.138109,2.014329,0.788
"115","ENSG00000138696","hurdle",0,-0.91709,1.850462,2.767552,0.788
"218","ENSG00000183580","hurdle",0,0.78247,2.998,2.21553,0.786
"159","ENSG00000154930","hurdle",0,-2.30156,0.9839394,3.2854994,0.786
"216","ENSG00000182902","hurdle",0,-2.254223,1.126269,3.380492,0.785
"72","ENSG00000116117","hurdle",0,-0.5635863,2.0432972,2.6068835,0.784
"17","ENSG00000068078","hurdle",0,-2.6404369,0.5594546,3.1998915,0.783
"120","ENSG00000140022","hurdle",0,-2.267004,1.189476,3.45648,0.782
"57","ENSG00000107317","hurdle",0,0.4352591,1.9130317,1.4777726,0.782
"88","ENSG00000127249","hurdle",0,-1.320238,1.691841,3.012079,0.78
"46","ENSG00000103740","hurdle",0,-2.315453,0.935282,3.250735,0.779
"242","ENSG00000245532","hurdle",0,1.73786,3.558092,1.820232,0.778
"61","ENSG00000111783","hurdle",0,-0.7867592,2.0803773,2.8671365,0.777
"126","ENSG00000144749","hurdle",0,-0.911183,1.880315,2.791498,0.773
"156","ENSG00000153944","hurdle",0,1.593095,3.575471,1.982376,0.772
"143","ENSG00000149090","hurdle",0,-1.294582,1.493137,2.787719,0.772
"138","ENSG00000148498","hurdle",0,0.2604704,2.3851968,2.1247264,0.772
"160","ENSG00000155324","hurdle",0,-0.8438498,1.6845272,2.528377,0.766
"86","ENSG00000125462","hurdle",0,0.09856233,2.07608435,1.97752202,0.766
"167","ENSG00000162407","hurdle",0,-1.38397,1.500972,2.884942,0.765
"21","ENSG00000076555","hurdle",0,-1.750373,1.031896,2.782269,0.762
"147","ENSG00000151012","hurdle",0,-1.801118,1.313696,3.114814,0.759
"20","ENSG00000072952","hurdle",0,-2.4584998,0.7454755,3.2039753,0.756
"202","ENSG00000172987","hurdle",0,-0.9804021,2.6664282,3.6468303,0.754
"166","ENSG00000162390","hurdle",0,-0.6525057,1.3241598,1.9766655,0.752
"14","ENSG00000064655","hurdle",0,-2.0391538,0.7250018,2.7641556,0.752
"103","ENSG00000135063","hurdle",0,-2.248332,1.018356,3.266688,0.75
"134","ENSG00000147509","hurdle",0,-1.841739,1.301391,3.14313,0.745
"41","ENSG00000101542","hurdle",0,1.369888,3.061005,1.691117,0.743
"174","ENSG00000164188","hurdle",0,-1.800065,1.168821,2.968886,0.742
"124","ENSG00000143772","hurdle",0,-1.393401,1.153581,2.546982,0.742
"27","ENSG00000080493","hurdle",0,0.5778103,2.6054172,2.0276069,0.741
"69","ENSG00000114790","hurdle",0,-1.838982,0.9486816,2.7876636,0.738
"217","ENSG00000183579","hurdle",0,0.2454721,2.4253049,2.1798328,0.737
"131","ENSG00000146005","hurdle",0,-1.713564,0.774592,2.488156,0.736
"56","ENSG00000107249","hurdle",0,1.343215,2.502195,1.15898,0.734
"106","ENSG00000135821","hurdle",0,-0.6570078,1.880413,2.5374208,0.733
"127","ENSG00000144908","hurdle",0,-2.727902,0.29119,3.019092,0.732
"12","ENSG00000056487","hurdle",0,-1.753058,0.68271,2.435768,0.732
"180","ENSG00000165795","hurdle",0,-1.3485274,0.6255743,1.9741017,0.73
"239","ENSG00000236197","hurdle",0,-0.425901,2.254906,2.680807,0.728
"173","ENSG00000164089","hurdle",0,-2.7910158,0.6765982,3.467614,0.728
"198","ENSG00000171885","hurdle",0,-1.397452,1.388033,2.785485,0.727
"119","ENSG00000139155","hurdle",0,-2.3041379,0.8033403,3.1074782,0.726
"70","ENSG00000115380","hurdle",0,-2.6191636,0.6892458,3.3084094,0.726
"235","ENSG00000231252","hurdle",0,-2.6063811,0.6606312,3.2670123,0.725
"220","ENSG00000184384","hurdle",0,0.7147564,2.3417261,1.6269697,0.724
"227","ENSG00000197360","hurdle",0,-1.223515,2.19147,3.414985,0.723
"33","ENSG00000092820","hurdle",0,-2.5750757,0.4659499,3.0410256,0.723
"38","ENSG00000100767","hurdle",0,-2.98766836,0.05788682,3.04555518,0.72
"60","ENSG00000110693","hurdle",0,1.118787,1.749805,0.631018,0.719
"246","ENSG00000262655","hurdle",0,-0.1243575,1.4249606,1.5493181,0.716
"232","ENSG00000215244","hurdle",0,-2.5219928,0.2185751,2.7405679,0.714
"102","ENSG00000134569","hurdle",0,-2.0179511,0.4402596,2.4582107,0.714
"229","ENSG00000198838","hurdle",0,1.842725,2.81983,0.977105,0.713
"55","ENSG00000107104","hurdle",0,-0.4317121,1.737571,2.1692831,0.713
"94","ENSG00000131095","hurdle",0,-1.045939,1.55799,2.603929,0.71
"121","ENSG00000141469","hurdle",0,-2.7687323,0.7042334,3.4729657,0.709
"132","ENSG00000146122","hurdle",0,-0.3373256,1.3034493,1.6407749,0.707
"111","ENSG00000137693","hurdle",0,-2.5044117,0.2506233,2.755035,0.705
"241","ENSG00000243069","hurdle",0,-1.6314468,0.6923904,2.3238372,0.704
"151","ENSG00000152661","hurdle",0,-2.480275,0.273001,2.753276,0.704
"50","ENSG00000105854","hurdle",0,-1.841542,0.5007034,2.3422454,0.702
"47","ENSG00000104313","hurdle",0,-2.1013909,0.4847274,2.5861183,0.7
"153","ENSG00000152990","hurdle",0,-1.10073,1.022824,2.123554,0.699
