"","parameter_name","value","priority","index","algo.name","algo.settings","filename","dirname"
"1","Class List","","","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"2","Classifier","","","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"3","Classifier Output Type","Mask","","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"4","Classify Registered","","","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"5","Image Zoom","2","","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"6","Nuclear Masker","","","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"7","Nuclear Masker Type","Traditional","","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"8","Phenotyper","","","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"9","num_markers","2","0","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"10","num_probes","3","1","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"11","num_phenotypes","7","2","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"12","use_nn","false","3","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"13","nuclear_contrast","0.5","4","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"14","nuclear_min_intensity","6.97","5","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"15","nuclear_segg_agg","0","6","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"16","nuclear_fill_holes","true","7","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"17","nuclear_min_area","5","8","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"18","nuclear_max_area","200","9","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"19","nuclear_roundness","0.3","10","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
