input,method,cor,rmse,eval,library_type,rna_extract,library_combo
Tran,hspe,0.49576058224709774,0.13745829426550318,global,NA,NA,NA
Tran,Bisque,0.17607781830693886,0.19718873172511994,global,NA,NA,NA
Mathys,hspe,0.6262964828982771,0.2136145364023071,global,NA,NA,NA
Mathys,Bisque,0.5418423537718713,0.1597684414097525,global,NA,NA,NA
Tran,hspe,0.5847390045811972,0.13209594228131247,library_combo,polyA,Cyto,polyA_Cyto
Tran,hspe,0.5117970734726872,0.1345173929142458,library_combo,RiboZeroGold,Total,RiboZeroGold_Total
Tran,hspe,0.48571546968491985,0.14669366682104382,library_combo,RiboZeroGold,Nuc,RiboZeroGold_Nuc
Tran,hspe,0.4843377504475279,0.13361074259090033,library_combo,polyA,Nuc,polyA_Nuc
Tran,hspe,0.4665752963516638,0.1388975119283005,library_combo,RiboZeroGold,Cyto,RiboZeroGold_Cyto
Tran,hspe,0.4582136717515953,0.13805347959995992,library_combo,polyA,Total,polyA_Total
Tran,Bisque,0.2101030909994122,0.20844796638888569,library_combo,RiboZeroGold,Nuc,RiboZeroGold_Nuc
Tran,Bisque,0.19918138478022315,0.18714828892721216,library_combo,RiboZeroGold,Cyto,RiboZeroGold_Cyto
Tran,Bisque,0.19673911614099773,0.19069199907281967,library_combo,RiboZeroGold,Total,RiboZeroGold_Total
Tran,Bisque,0.18643068358519754,0.196269209704203,library_combo,polyA,Cyto,polyA_Cyto
Tran,Bisque,0.14228141175649256,0.2052812663102688,library_combo,polyA,Total,polyA_Total
Tran,Bisque,0.1203547098681971,0.1946271727857176,library_combo,polyA,Nuc,polyA_Nuc
Mathys,hspe,0.7220606289998532,0.20667592651496774,library_combo,polyA,Cyto,polyA_Cyto
Mathys,hspe,0.6183483140518607,0.2000346141244247,library_combo,RiboZeroGold,Total,RiboZeroGold_Total
Mathys,hspe,0.6161638266548184,0.2240791072294322,library_combo,polyA,Nuc,polyA_Nuc
Mathys,hspe,0.6160731768033948,0.21601820501238164,library_combo,RiboZeroGold,Nuc,RiboZeroGold_Nuc
Mathys,hspe,0.6145825090951988,0.208724409413995,library_combo,RiboZeroGold,Cyto,RiboZeroGold_Cyto
Mathys,hspe,0.5908107852691378,0.22540329311238455,library_combo,polyA,Total,polyA_Total
Mathys,Bisque,0.6674752129699044,0.156661209772577,library_combo,polyA,Cyto,polyA_Cyto
Mathys,Bisque,0.5404409830840257,0.16618686763470558,library_combo,polyA,Nuc,polyA_Nuc
Mathys,Bisque,0.5383274203143046,0.17567398286083055,library_combo,polyA,Total,polyA_Total
Mathys,Bisque,0.5278467398425539,0.15427070290724781,library_combo,RiboZeroGold,Cyto,RiboZeroGold_Cyto
Mathys,Bisque,0.5211494607534364,0.1530239249031548,library_combo,RiboZeroGold,Total,RiboZeroGold_Total
Mathys,Bisque,0.47427868774934545,0.15132764639649493,library_combo,RiboZeroGold,Nuc,RiboZeroGold_Nuc
