cell_type,nuc_area,akt3,nuc_area_akt3
Astro,30.222355,3,76.513854
EndoMural,32.38551,3,101.79185999999999
Micro,28.18281,2,61.371774
OligoOPC,29.04807,3,68.046657
Excit,35.0431,10,351.6671
Inhib,36.773624,7,260.32016699999997
