"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Oligo","log2fold_change","Auc"
"13","ENSG00000147488","hurdle",0,-1.325726,3.843306,5.169032,0.935
"18","ENSG00000168314","hurdle",0,-1.31773,2.550778,3.868508,0.895
"5","ENSG00000091513","hurdle",0,-1.105845,2.267503,3.373348,0.869
"12","ENSG00000136960","hurdle",0,-1.737663,1.890872,3.628535,0.857
"17","ENSG00000167123","hurdle",0,-1.931465,1.370237,3.301702,0.819
"20","ENSG00000204655","hurdle",0,-2.6263813,0.9653134,3.5916947,0.817
"23","ENSG00000253877","hurdle",0,-2.469055,1.722835,4.19189,0.814
"14","ENSG00000150656","hurdle",0,-2.413668,1.211572,3.62524,0.811
"3","ENSG00000013297","hurdle",0,-2.4274018,0.8023442,3.229746,0.791
"21","ENSG00000227088","hurdle",0,-1.723578,2.018795,3.742373,0.779
"4","ENSG00000086205","hurdle",0,-2.8446955,0.5828774,3.4275729,0.767
"16","ENSG00000158865","hurdle",0,-2.392727,1.535176,3.927903,0.763
"10","ENSG00000124920","hurdle",0,-2.6965037,0.3387699,3.0352736,0.761
"7","ENSG00000108381","hurdle",0,-2.6852562,0.4539458,3.139202,0.761
"6","ENSG00000105695","hurdle",0,-2.6960931,0.2078734,2.9039665,0.752
"1","ENSG00000011426","hurdle",0,-2.209453,0.5924826,2.8019356,0.751
"8","ENSG00000117266","hurdle",0,-0.9992528,1.1071857,2.1064385,0.75
"19","ENSG00000197430","hurdle",0,-2.7203083,0.3976577,3.117966,0.744
"2","ENSG00000012124","hurdle",0,-2.9367542,0.2043145,3.1410687,0.743
"25","ENSG00000286749","hurdle",0,-1.358484,2.098232,3.456716,0.742
"15","ENSG00000154864","hurdle",0,-1.7692698,0.8130118,2.5822816,0.741
"11","ENSG00000136541","hurdle",0,-2.5914124,0.1459064,2.7373188,0.733
"9","ENSG00000122367","hurdle",0,-2.253173,0.4040771,2.6572501,0.733
"24","ENSG00000285051","hurdle",0,-0.663016,1.73283,2.395846,0.728
"22","ENSG00000227115","hurdle",0,-1.7348136,0.6600821,2.3948957,0.716
