"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"11","ENSG00000151136","hurdle",0,-1.560157,3.467452,5.027609,0.912
"6","ENSG00000136750","hurdle",0,-2.165703,3.120188,5.285891,0.911
"9","ENSG00000144596","hurdle",0,-2.546442,1.737267,4.283709,0.887
"3","ENSG00000029534","hurdle",0,-1.390784,2.071578,3.462362,0.884
"25","ENSG00000198785","hurdle",0,-0.5883682,2.3257738,2.914142,0.835
"17","ENSG00000163630","hurdle",0,1.00335,4.201832,3.198482,0.83
"26","ENSG00000203727","hurdle",0,-0.1938627,2.8080382,3.0019009,0.808
"10","ENSG00000150556","hurdle",0,-2.139412,1.561954,3.701366,0.801
"23","ENSG00000189056","hurdle",0,-2.08229,2.746412,4.828702,0.799
"14","ENSG00000155966","hurdle",0,-0.2449382,2.0190271,2.2639653,0.799
"22","ENSG00000181072","hurdle",0,0.1315085,4.014097,3.8825885,0.784
"18","ENSG00000164512","hurdle",0,-2.0818863,0.8370268,2.9189131,0.778
"15","ENSG00000157404","hurdle",0,-2.661609,2.441814,5.103423,0.776
"16","ENSG00000158089","hurdle",0,0.1052679,2.689472,2.5842041,0.773
"13","ENSG00000153820","hurdle",0,0.2951544,3.8285835,3.5334291,0.771
"21","ENSG00000180875","hurdle",0,-1.075105,1.545525,2.62063,0.753
"20","ENSG00000169330","hurdle",0,-2.564006,0.441744,3.00575,0.734
"1","ENSG00000007402","hurdle",0,-1.820962,0.3259844,2.1469464,0.731
"7","ENSG00000143061","hurdle",0,-1.3333385,0.8878599,2.2211984,0.722
"5","ENSG00000120049","hurdle",0,-1.5925807,0.4023401,1.9949208,0.716
"24","ENSG00000196132","hurdle",0,-1.8093273,-0.7377262,1.0716011,0.614
"4","ENSG00000075461","hurdle",0,-1.897424,-0.7731561,1.1242679,0.582
"12","ENSG00000152527","hurdle",0,-1.249844,0.200687,1.450531,0.574
"2","ENSG00000011465","hurdle",4.88697642639403e-310,-2.338555,-1.31708,1.021475,0.555
"19","ENSG00000165025","hurdle",6.64866884389128e-214,-2.58942,-2.055844,0.533576,0.535
"8","ENSG00000143248","hurdle",2.38872826979039e-164,-1.08829363,-0.04990787,1.03838576,0.519
"27","ENSG00000203805","hurdle",3.77834383533308e-53,-2.102218,-1.494875,0.607343,0.518
