"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Excit","log2fold_change","Auc"
"190","ENSG00000154146","hurdle",0,0.5193742,4.3099336,3.7905594,0.917
"12","ENSG00000070808","hurdle",0,0.04537156,4.00104236,3.9556708,0.913
"318","ENSG00000185518","hurdle",0,-0.7174146,4.0040211,4.7214357,0.905
"211","ENSG00000157782","hurdle",0,-0.8101552,3.7410605,4.5512157,0.897
"100","ENSG00000130558","hurdle",0,0.2715667,3.6148411,3.3432744,0.89
"308","ENSG00000184613","hurdle",0,0.01802662,4.38279593,4.36476931,0.888
"259","ENSG00000171617","hurdle",0,-0.3216773,3.6650687,3.986746,0.888
"132","ENSG00000143013","hurdle",0,-0.06001893,3.61081029,3.67082922,0.879
"44","ENSG00000104888","hurdle",0,-1.629021,2.215442,3.844463,0.876
"98","ENSG00000128989","hurdle",0,-0.2813279,2.9272652,3.2085931,0.871
"93","ENSG00000123416","hurdle",0,0.5191514,3.3781051,2.8589537,0.861
"40","ENSG00000104435","hurdle",0,0.6237379,3.5907559,2.967018,0.861
"148","ENSG00000145335","hurdle",0,-0.189129,3.033787,3.222916,0.86
"85","ENSG00000119042","hurdle",0,-1.677791,3.360395,5.038186,0.86
"92","ENSG00000123119","hurdle",0,0.1729638,3.7342906,3.5613268,0.858
"343","ENSG00000196872","hurdle",0,-1.603716,3.113171,4.716887,0.852
"263","ENSG00000172995","hurdle",0,0.8214944,4.6930262,3.8715318,0.851
"1","ENSG00000002746","hurdle",0,0.3764898,4.3328856,3.9563958,0.851
"412","ENSG00000277586","hurdle",0,-0.1119005,3.07284,3.1847405,0.85
"270","ENSG00000175874","hurdle",0,-0.248346,2.996389,3.244735,0.85
"254","ENSG00000171246","hurdle",0,-1.811131,1.920813,3.731944,0.848
"214","ENSG00000160014","hurdle",0,0.8005981,3.3004263,2.4998282,0.848
"96","ENSG00000128245","hurdle",0,0.181232,3.045991,2.864759,0.848
"154","ENSG00000146147","hurdle",0,-1.960012,3.069152,5.029164,0.843
"24","ENSG00000081189","hurdle",0,2.016749,4.714398,2.697649,0.841
"322","ENSG00000185760","hurdle",0,1.885826,5.555112,3.669286,0.839
"189","ENSG00000154096","hurdle",0,0.4803563,3.0962029,2.6158466,0.839
"25","ENSG00000081803","hurdle",0,0.09009666,4.55962172,4.46952506,0.839
"104","ENSG00000133019","hurdle",0,1.48382,4.728182,3.244362,0.836
"105","ENSG00000133083","hurdle",0,2.125793,5.064278,2.938485,0.833
"327","ENSG00000187094","hurdle",0,0.1861702,3.2398272,3.053657,0.831
"212","ENSG00000158258","hurdle",0,0.2766199,4.3109887,4.0343688,0.831
"245","ENSG00000169744","hurdle",0,1.315783,4.958319,3.642536,0.827
"83","ENSG00000117152","hurdle",0,-0.7736809,2.2893693,3.0630502,0.826
"315","ENSG00000185274","hurdle",0,1.332049,4.290598,2.958549,0.825
"19","ENSG00000078328","hurdle",0,4.668858,7.446907,2.778049,0.825
"215","ENSG00000160145","hurdle",0,2.072659,5.482584,3.409925,0.824
"8","ENSG00000053108","hurdle",0,-0.3120214,3.9843668,4.2963882,0.824
"291","ENSG00000183049","hurdle",0,1.111659,4.140004,3.028345,0.823
"95","ENSG00000125851","hurdle",0,0.2489515,3.3954399,3.1464884,0.823
"371","ENSG00000225206","hurdle",0,-0.5915576,2.9405821,3.5321397,0.822
"294","ENSG00000183454","hurdle",0,2.526432,4.985854,2.459422,0.822
"241","ENSG00000167281","hurdle",0,0.8329313,3.8194368,2.9865055,0.82
"145","ENSG00000145087","hurdle",0,2.429718,5.659467,3.229749,0.82
"364","ENSG00000214548","hurdle",0,3.276838,6.11452,2.837682,0.819
"345","ENSG00000198010","hurdle",0,2.220865,5.583987,3.363122,0.819
"115","ENSG00000136928","hurdle",0,1.874143,4.240375,2.366232,0.818
"51","ENSG00000107295","hurdle",0,0.9480918,3.8311777,2.8830859,0.818
"347","ENSG00000198626","hurdle",0,2.449129,5.440189,2.99106,0.816
"101","ENSG00000131773","hurdle",0,0.8190927,4.4920583,3.6729656,0.816
"110","ENSG00000134343","hurdle",0,-1.549719,2.485712,4.035431,0.812
"107","ENSG00000133169","hurdle",0,0.01559274,2.51797005,2.50237731,0.812
"379","ENSG00000229618","hurdle",0,-1.299351,3.902919,5.20227,0.811
"309","ENSG00000184672","hurdle",0,3.349528,5.98204,2.632512,0.81
"114","ENSG00000136267","hurdle",0,1.112397,4.603593,3.491196,0.81
"387","ENSG00000234423","hurdle",0,-0.7667592,3.2750778,4.041837,0.809
"300","ENSG00000183780","hurdle",0,0.383463,3.929664,3.546201,0.809
"413","ENSG00000283154","hurdle",0,1.91881,5.634354,3.715544,0.808
"286","ENSG00000182674","hurdle",0,0.2688443,3.6955417,3.4266974,0.808
"47","ENSG00000106617","hurdle",0,-0.1123441,3.1594058,3.2717499,0.808
"261","ENSG00000172260","hurdle",0,3.024169,5.810295,2.786126,0.807
"133","ENSG00000143473","hurdle",0,0.7659692,4.3160483,3.5500791,0.807
"168","ENSG00000149970","hurdle",0,1.256285,3.982676,2.726391,0.804
"4","ENSG00000034510","hurdle",0,-0.106932,2.283075,2.390007,0.804
"366","ENSG00000216863","hurdle",0,-2.461079,2.610962,5.072041,0.802
"179","ENSG00000151952","hurdle",0,1.232224,4.366811,3.134587,0.801
"75","ENSG00000114279","hurdle",0,3.146216,5.269591,2.123375,0.801
"184","ENSG00000152583","hurdle",0,2.096717,3.872063,1.775346,0.8
