"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"10","ENSG00000107099","hurdle",0,-2.725664,2.364739,5.090403,0.942
"29","ENSG00000148655","hurdle",0,0.60436,3.818007,3.213647,0.937
"6","ENSG00000077420","hurdle",0,-2.85272,2.465905,5.318625,0.93
"35","ENSG00000168918","hurdle",0,-1.86432,1.824401,3.688721,0.9
"4","ENSG00000073849","hurdle",0,0.4392296,3.0264628,2.5872332,0.864
"16","ENSG00000120594","hurdle",0,2.083025,4.151946,2.068921,0.86
"46","ENSG00000198879","hurdle",0,0.9387381,3.1221957,2.1834576,0.854
"11","ENSG00000107719","hurdle",0,-1.783586,1.341831,3.125417,0.848
"25","ENSG00000137491","hurdle",0,-2.073483,1.357038,3.430521,0.844
"26","ENSG00000138639","hurdle",0,1.058781,2.886514,1.827733,0.835
"19","ENSG00000123104","hurdle",0,1.45299,3.006866,1.553876,0.831
"32","ENSG00000162946","hurdle",0,-0.03464532,1.75614852,1.79079384,0.793
"30","ENSG00000151702","hurdle",0,-2.092765,0.6794792,2.7722442,0.792
"7","ENSG00000079215","hurdle",0,0.6947443,2.2196414,1.5248971,0.789
"42","ENSG00000184384","hurdle",0,0.8391991,2.3492599,1.5100608,0.778
"36","ENSG00000171310","hurdle",0,0.8101045,2.2194479,1.4093434,0.773
"43","ENSG00000185650","hurdle",0,-1.666901,0.923246,2.590147,0.768
"24","ENSG00000136205","hurdle",0,-1.4209171,0.6957045,2.1166216,0.757
"3","ENSG00000065413","hurdle",0,0.4262704,1.9519214,1.525651,0.752
"44","ENSG00000196782","hurdle",8.53356013233452e-296,0.8000176,2.0208226,1.220805,0.746
"39","ENSG00000181804","hurdle",4.27870214106493e-279,0.6609717,1.9916631,1.3306914,0.743
"38","ENSG00000175899","hurdle",0,-1.339514,0.607967,1.947481,0.743
"47","ENSG00000245532","hurdle",2.09323460602077e-240,1.948424,2.669981,0.721557,0.734
"31","ENSG00000153208","hurdle",0,-1.165163,0.934134,2.099297,0.733
"21","ENSG00000130066","hurdle",3.03966068439474e-284,0.07878977,1.67888832,1.60009855,0.73
"9","ENSG00000101463","hurdle",5.06031612836445e-230,1.597417,2.844099,1.246682,0.725
"20","ENSG00000124126","hurdle",5.84316161901902e-260,-0.1789017,1.2152042,1.3941059,0.723
"28","ENSG00000140836","hurdle",3.81958409002601e-226,1.131398,1.721865,0.590467,0.722
"34","ENSG00000168461","hurdle",4.13055438086469e-253,-0.7621738,0.8044427,1.5666165,0.707
"27","ENSG00000139132","hurdle",5.63049957683832e-180,0.3886899,1.503433,1.1147431,0.695
"41","ENSG00000184005","hurdle",3.71592110337414e-167,1.681892,2.743139,1.061247,0.692
"37","ENSG00000171316","hurdle",5.48724091300866e-188,-0.5124553,0.52523,1.0376853,0.677
"17","ENSG00000120690","hurdle",2.28326189494168e-188,-1.28388492,0.03832474,1.32220966,0.668
"33","ENSG00000166033","hurdle",1.60755484326305e-170,-0.9375766,0.3665396,1.3041162,0.666
"5","ENSG00000074706","hurdle",5.07268716493046e-130,1.461784,2.342702,0.880918,0.664
"22","ENSG00000132669","hurdle",4.89059809744993e-158,-0.09584837,0.73142207,0.82727044,0.661
"45","ENSG00000196935","hurdle",4.02310373602346e-100,-0.03173832,0.77367484,0.80541316,0.637
"14","ENSG00000117115","hurdle",8.29887953203464e-253,-1.6266249,0.6273473,2.2539722,0.635
"40","ENSG00000182185","hurdle",6.08871675620127e-85,0.1334086,0.9616939,0.8282853,0.629
"15","ENSG00000118785","hurdle",7.37265173359457e-233,-1.6173947,0.8630866,2.4804813,0.628
"2","ENSG00000031081","hurdle",1.1099437283889e-147,-1.4770736,-0.4449626,1.032111,0.621
"13","ENSG00000115935","hurdle",2.05493711235032e-102,-1.1439647,-0.1279742,1.0159905,0.62
"1","ENSG00000027075","hurdle",4.9854039346702e-122,-1.2844615,-0.3182158,0.9662457,0.611
"18","ENSG00000123094","hurdle",4.69362831251466e-75,-0.4033671,0.6020424,1.0054095,0.61
"23","ENSG00000135540","hurdle",4.21105824822595e-90,-0.7416642,0.08409827,0.82576247,0.603
"12","ENSG00000115183","hurdle",1.22758962492007e-62,-0.3441347,0.2697023,0.613837,0.6
"8","ENSG00000099954","hurdle",3.31339713417958e-43,-0.9829194,-0.4709556,0.5119638,0.575
