marker,method,library_combo,cor,cor_spearman,rmse,concordance,cor_anno,cor_spear_anno,n_markers
HVG80,CIBERSORTx,polyA_Cyto,0.6434339803898519,0.3073247754935924,0.21542063004952455,0.6236559139784946,"cor:0.643
rmse:0.215","cor:0.307
rmse:0.215",6490
HVG30,Bisque,polyA_Cyto,0.6423844951079284,0.4041907185237118,0.13329138537497184,0.5481310803891449,"cor:0.642
rmse:0.133","cor:0.404
rmse:0.133",2434
HVG100,CIBERSORTx,polyA_Cyto,0.6404171026097357,0.316877677103307,0.2168742232503619,0.6185355862775218,"cor:0.640
rmse:0.217","cor:0.317
rmse:0.217",8113
HVG40,Bisque,polyA_Cyto,0.6386308590918393,0.4011809327266776,0.13333948074655116,0.6264720942140297,"cor:0.639
rmse:0.133","cor:0.401
rmse:0.133",3245
HVG50,Bisque,polyA_Cyto,0.636242684901328,0.40015363114976793,0.13299192876278615,0.5965181771633384,"cor:0.636
rmse:0.133","cor:0.400
rmse:0.133",4056
HVG60,Bisque,polyA_Cyto,0.6357990983902516,0.40015363114976793,0.13267678113780357,0.663594470046083,"cor:0.636
rmse:0.133","cor:0.400
rmse:0.133",4868
HVG70,Bisque,polyA_Cyto,0.635262962585659,0.40072973715742205,0.13254412209379637,0.39528929851510497,"cor:0.635
rmse:0.133","cor:0.401
rmse:0.133",5679
HVG40,CIBERSORTx,polyA_Cyto,0.6318640484556336,0.4040025748115547,0.19122724440080047,0.6177675371223759,"cor:0.632
rmse:0.191","cor:0.404
rmse:0.191",3245
HVG50,CIBERSORTx,polyA_Cyto,0.6297806842317678,0.33243214427169004,0.20914117809286642,0.5983102918586789,"cor:0.630
rmse:0.209","cor:0.332
rmse:0.209",4056
HVG40,CIBERSORTx,RiboZeroGold_Total,0.623538057221217,0.6157471684325905,0.13219790541403606,0.690537084398977,"cor:0.624
rmse:0.132","cor:0.616
rmse:0.132",3245
HVG10,CIBERSORTx,RiboZeroGold_Total,0.6220144982893347,0.6732188527584949,0.15070824174976583,0.6357630008525149,"cor:0.622
rmse:0.151","cor:0.673
rmse:0.151",811
HVG90,CIBERSORTx,polyA_Cyto,0.6215716980197062,0.2887587901519339,0.21256646259112777,0.6349206349206349,"cor:0.622
rmse:0.213","cor:0.289
rmse:0.213",7302
1vALL_top25,Bisque,polyA_Cyto,0.6189270677257346,0.3535370533637542,0.1362280842106408,0.6036866359447004,"cor:0.619
rmse:0.136","cor:0.354
rmse:0.136",145
HVG70,CIBERSORTx,polyA_Cyto,0.6137995211678973,0.28322747327553305,0.20089183503858773,0.5192012288786483,"cor:0.614
rmse:0.201","cor:0.283
rmse:0.201",5679
FULL,Bisque,polyA_Cyto,0.6137371973313945,0.3700556835637481,0.14336243750833064,0.4935995903737839,"cor:0.614
rmse:0.143","cor:0.370
rmse:0.143",17804
HVG100,CIBERSORTx,RiboZeroGold_Total,0.611074565804061,0.626927292656193,0.15115691581755786,0.7421142369991475,"cor:0.611
rmse:0.151","cor:0.627
rmse:0.151",8113
HVG80,CIBERSORTx,RiboZeroGold_Total,0.610823772908434,0.6436609426379248,0.14123835505862886,0.7212276214833759,"cor:0.611
rmse:0.141","cor:0.644
rmse:0.141",6490
HVG50,CIBERSORTx,RiboZeroGold_Total,0.6089212255039971,0.6301790281329924,0.13732538517580106,0.7310315430520034,"cor:0.609
rmse:0.137","cor:0.630
rmse:0.137",4056
FULL,CIBERSORTx,RiboZeroGold_Total,0.6086160157266469,0.6389842893679212,0.1380160870074673,0.5775788576300085,"cor:0.609
rmse:0.138","cor:0.639
rmse:0.138",17804
HVG80,Bisque,polyA_Cyto,0.6080140058236089,0.3655433947772658,0.14067310876545727,0.6461853558627753,"cor:0.608
rmse:0.141","cor:0.366
rmse:0.141",6490
HVG90,Bisque,polyA_Cyto,0.6077230691674139,0.3661674347158218,0.14038308336508434,0.6300563236047108,"cor:0.608
rmse:0.140","cor:0.366
rmse:0.140",7302
HVG100,Bisque,polyA_Cyto,0.6075205628209908,0.36688748079877115,0.140303759736607,0.6195596518177163,"cor:0.608
rmse:0.140","cor:0.367
rmse:0.140",8113
HVG20,CIBERSORTx,RiboZeroGold_Total,0.6070345633532392,0.5589331384727805,0.1509986406485323,0.4703751065643649,"cor:0.607
rmse:0.151","cor:0.559
rmse:0.151",1623
HVG30,CIBERSORTx,RiboZeroGold_Total,0.6058669036543758,0.6123858238947755,0.15315557911930486,0.7310315430520034,"cor:0.606
rmse:0.153","cor:0.612
rmse:0.153",2434
HVG70,CIBERSORTx,RiboZeroGold_Total,0.6053942838629606,0.6275849470222873,0.1413611363711305,0.6581415174765558,"cor:0.605
rmse:0.141","cor:0.628
rmse:0.141",5679
MeanRatio_top25,hspe,polyA_Cyto,0.6052889825292374,0.48108678955453155,0.13783294726270587,0.48131080389144903,"cor:0.605
rmse:0.138","cor:0.481
rmse:0.138",151
HVG60,CIBERSORTx,polyA_Cyto,0.6044284599617222,0.3509989908793519,0.20141616211360372,0.6589861751152074,"cor:0.604
rmse:0.201","cor:0.351
rmse:0.201",4868
HVG90,CIBERSORTx,RiboZeroGold_Total,0.6025447476646452,0.6187066130800147,0.1442852854591347,0.7276214833759591,"cor:0.603
rmse:0.144","cor:0.619
rmse:0.144",7302
HVG60,CIBERSORTx,RiboZeroGold_Total,0.5989639427985585,0.6211545487760322,0.13474353072916348,0.7148337595907929,"cor:0.599
rmse:0.135","cor:0.621
rmse:0.135",4868
HVG10,CIBERSORTx,polyA_Nuc,0.5936896495021802,0.390246430231984,0.24235803494316838,0.5942140296979007,"cor:0.594
rmse:0.242","cor:0.390
rmse:0.242",811
HVG10,CIBERSORTx,RiboZeroGold_Cyto,0.5935463210165873,0.6688710266715383,0.17272289807627594,0.611466325660699,"cor:0.594
rmse:0.173","cor:0.669
rmse:0.173",811
MeanRatio_over2,CIBERSORTx,polyA_Nuc,0.591400301455374,0.49410578858373994,0.26443069993918644,0.46543778801843316,"cor:0.591
rmse:0.264","cor:0.494
rmse:0.264",557
MeanRatio_over2,hspe,polyA_Nuc,0.5896473382198256,0.4952476958525346,0.22737835530691494,0.4833589349718382,"cor:0.590
rmse:0.227","cor:0.495
rmse:0.227",557
MeanRatio_over2,hspe,RiboZeroGold_Total,0.5885106388773036,0.5898428936792108,0.19866182259929907,0.5439045183290707,"cor:0.589
rmse:0.199","cor:0.590
rmse:0.199",557
HVG20,CIBERSORTx,RiboZeroGold_Cyto,0.5874732891547674,0.5192181220314214,0.16538208400100124,0.4641943734015345,"cor:0.587
rmse:0.165","cor:0.519
rmse:0.165",1623
MeanRatio_top25,Bisque,polyA_Nuc,0.5869641352745427,0.6021985407066053,0.12672058765149494,0.49257552483358935,"cor:0.587
rmse:0.127","cor:0.602
rmse:0.127",151
1vALL_top25,CIBERSORTx,polyA_Cyto,0.5863187856077449,0.24670963403674817,0.2075464870397657,0.5320020481310804,"cor:0.586
rmse:0.208","cor:0.247
rmse:0.208",145
1vALL_top25,hspe,RiboZeroGold_Total,0.584762911724265,0.5814029959810011,0.17990727337120466,0.5490196078431373,"cor:0.585
rmse:0.180","cor:0.581
rmse:0.180",145
