"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Excit","log2fold_change","Auc"
"24","ENSG00000070808","hurdle",0,0.04537156,4.00104236,3.9556708,0.913
"231","ENSG00000185518","hurdle",0,-0.7174146,4.0040211,4.7214357,0.905
"150","ENSG00000157782","hurdle",0,-0.8101552,3.7410605,4.5512157,0.897
"97","ENSG00000130558","hurdle",0,0.2715667,3.6148411,3.3432744,0.89
"228","ENSG00000184613","hurdle",0,0.01802662,4.38279593,4.36476931,0.888
"188","ENSG00000171617","hurdle",0,-0.3216773,3.6650687,3.986746,0.888
"124","ENSG00000143013","hurdle",0,-0.06001893,3.61081029,3.67082922,0.879
"52","ENSG00000104888","hurdle",0,-1.629021,2.215442,3.844463,0.876
"93","ENSG00000128989","hurdle",0,-0.2813279,2.9272652,3.2085931,0.871
"50","ENSG00000104435","hurdle",0,0.6237379,3.5907559,2.967018,0.861
"75","ENSG00000119042","hurdle",0,-1.677791,3.360395,5.038186,0.86
"245","ENSG00000196872","hurdle",0,-1.603716,3.113171,4.716887,0.852
"202","ENSG00000175874","hurdle",0,-0.248346,2.996389,3.244735,0.85
"186","ENSG00000171246","hurdle",0,-1.811131,1.920813,3.731944,0.848
"240","ENSG00000188191","hurdle",0,-0.1266605,2.6276377,2.7542982,0.846
"135","ENSG00000146147","hurdle",0,-1.960012,3.069152,5.029164,0.843
"85","ENSG00000124785","hurdle",0,-1.755414,1.887362,3.642776,0.842
"61","ENSG00000110931","hurdle",0,-1.063217,2.184331,3.247548,0.842
"18","ENSG00000066248","hurdle",0,-1.613869,2.023746,3.637615,0.837
"176","ENSG00000168490","hurdle",0,-1.345768,1.750012,3.09578,0.835
"76","ENSG00000119125","hurdle",0,-1.529042,2.128745,3.657787,0.835
"286","ENSG00000273032","hurdle",0,-0.5910767,2.6325974,3.2236741,0.834
"235","ENSG00000187094","hurdle",0,0.1861702,3.2398272,3.053657,0.831
"151","ENSG00000158258","hurdle",0,0.2766199,4.3109887,4.0343688,0.831
"78","ENSG00000120899","hurdle",0,-1.64348,2.170809,3.814289,0.831
"109","ENSG00000135750","hurdle",0,-0.8998795,2.3385323,3.2384118,0.829
"12","ENSG00000053108","hurdle",0,-0.3120214,3.9843668,4.2963882,0.824
"260","ENSG00000225206","hurdle",0,-0.5915576,2.9405821,3.5321397,0.822
"183","ENSG00000169783","hurdle",0,-0.8664899,2.1226821,2.989172,0.822
"55","ENSG00000106123","hurdle",0,-0.9819824,1.88035,2.8623324,0.822
"166","ENSG00000164951","hurdle",0,-1.583759,1.69703,3.280789,0.82
"256","ENSG00000221946","hurdle",0,-1.770115,1.396571,3.166686,0.819
"143","ENSG00000152931","hurdle",0,-2.426103,1.774253,4.200356,0.816
"42","ENSG00000102471","hurdle",0,-0.631831,2.301169,2.933,0.816
"3","ENSG00000006116","hurdle",0,-0.5695322,2.7144922,3.2840244,0.816
"267","ENSG00000229618","hurdle",0,-1.299351,3.902919,5.20227,0.811
"271","ENSG00000234423","hurdle",0,-0.7667592,3.2750778,4.041837,0.809
"287","ENSG00000283154","hurdle",0,1.91881,5.634354,3.715544,0.808
"220","ENSG00000182674","hurdle",0,0.2688443,3.6955417,3.4266974,0.808
"276","ENSG00000237720","hurdle",0,-2.239899,1.91027,4.150169,0.807
"125","ENSG00000143473","hurdle",0,0.7659692,4.3160483,3.5500791,0.807
"54","ENSG00000106089","hurdle",0,-2.008543,1.199995,3.208538,0.807
"2","ENSG00000005249","hurdle",0,-0.6007948,2.203775,2.8045698,0.805
"236","ENSG00000187122","hurdle",0,-0.934496,2.245368,3.179864,0.803
"254","ENSG00000216863","hurdle",0,-2.461079,2.610962,5.072041,0.802
"201","ENSG00000175866","hurdle",0,-1.408904,1.566525,2.975429,0.801
"227","ENSG00000184611","hurdle",0,0.9525991,4.3415796,3.3889805,0.798
"130","ENSG00000145242","hurdle",0,-0.2800539,2.8794344,3.1594883,0.798
"21","ENSG00000070087","hurdle",0,-1.134008,1.518558,2.652566,0.797
"107","ENSG00000135426","hurdle",0,-2.282747,2.288929,4.571676,0.796
"1","ENSG00000004660","hurdle",0,-1.707864,1.317978,3.025842,0.796
