"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"13","ENSG00000107099","hurdle",0,-2.725664,2.364739,5.090403,0.942
"5","ENSG00000077420","hurdle",0,-2.85272,2.465905,5.318625,0.93
"4","ENSG00000059377","hurdle",0,-2.7094,1.555252,4.264652,0.883
"3","ENSG00000042980","hurdle",0,-2.285897,1.524886,3.810783,0.882
"17","ENSG00000125730","hurdle",0,-2.97831,1.066522,4.044832,0.854
"7","ENSG00000082074","hurdle",0,-3.003192,1.227186,4.230378,0.848
"37","ENSG00000182578","hurdle",0,-2.9797619,0.9663133,3.9460752,0.844
"16","ENSG00000125257","hurdle",0,-1.138627,1.720772,2.859399,0.838
"20","ENSG00000134516","hurdle",0,-1.418595,1.347154,2.765749,0.836
"11","ENSG00000104043","hurdle",0,-0.9611449,1.5963616,2.5575065,0.829
"21","ENSG00000136250","hurdle",0,-1.324416,1.355982,2.680398,0.82
"40","ENSG00000254087","hurdle",0,-2.6090576,0.8401156,3.4491732,0.813
"22","ENSG00000139679","hurdle",0,-1.7975086,0.8886208,2.6861294,0.811
"6","ENSG00000081237","hurdle",0,-2.9014165,0.6504948,3.5519113,0.806
"32","ENSG00000165025","hurdle",0,-2.8423074,0.6738417,3.5161491,0.803
"12","ENSG00000106034","hurdle",0,-2.2370888,0.9570596,3.1941484,0.802
"33","ENSG00000168329","hurdle",0,-3.1342434,0.9556664,4.0899098,0.796
"26","ENSG00000146090","hurdle",0,-0.943028,1.450013,2.393041,0.792
"19","ENSG00000129667","hurdle",0,-3.083415,0.4153303,3.4987453,0.792
"34","ENSG00000169313","hurdle",0,-1.648724,1.342542,2.991266,0.791
"24","ENSG00000140678","hurdle",0,-3.191246,0.365141,3.556387,0.78
"18","ENSG00000128815","hurdle",0,-2.8986676,0.3232611,3.2219287,0.773
"23","ENSG00000140548","hurdle",0,-1.213144,1.031244,2.244388,0.772
"29","ENSG00000155307","hurdle",0,-2.8655079,0.6337499,3.4992578,0.77
"41","ENSG00000273409","hurdle",0,-3.1076981,0.7384607,3.8461588,0.769
"27","ENSG00000148908","hurdle",0,-3.1407247,0.1882115,3.3289362,0.767
"25","ENSG00000142347","hurdle",0,-2.5525642,0.3029524,2.8555166,0.758
"36","ENSG00000178573","hurdle",0,-1.5244145,0.5432748,2.0676893,0.751
"31","ENSG00000163219","hurdle",0,-1.9821086,0.6822897,2.6643983,0.75
"1","ENSG00000019582","hurdle",0,-2.8747392,0.2956294,3.1703686,0.749
"15","ENSG00000112799","hurdle",0,-2.3069599,0.3901101,2.69707,0.748
"8","ENSG00000087253","hurdle",0,-1.793035,0.614456,2.407491,0.745
"30","ENSG00000155629","hurdle",0,-3.0180308,0.1001603,3.1181911,0.744
"39","ENSG00000236963","hurdle",0,-2.4725698,0.1810757,2.6536455,0.738
"10","ENSG00000101096","hurdle",0,-2.4766636,0.1554143,2.6320779,0.731
"2","ENSG00000026297","hurdle",3.15304256749077e-312,-0.8366497,0.8360831,1.6727328,0.729
"14","ENSG00000109794","hurdle",0,-1.562211,0.492938,2.055149,0.709
"9","ENSG00000100599","hurdle",5.7925886735059e-318,-1.536878,0.3693326,1.9062106,0.708
"35","ENSG00000170677","hurdle",1.16599128686819e-295,-0.9929362,0.7395405,1.7324767,0.686
"38","ENSG00000204592","hurdle",4.53626150746936e-127,-2.123269,-1.368401,0.754868,0.586
"28","ENSG00000152953","hurdle",1.53572855341963e-46,-1.663731,-1.117085,0.546646,0.555
